Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;0;12;0|88;0;12;0|,0.0|0.0|,88;0;12;0|88;0;12;0|,80;8;9;3|80;8;9;3|,80;8;9;3|80;8;9;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,80;8;9;3|80;8;9;3|,80;8;9;3|80;8;9;3|,100|100|,100|100|
1,100|100|,80;8;9;3|80;8;9;3|,0.0|0.0|,80;8;9;3|80;8;9;3|,79;4;12;5|79;4;12;5|,79;4;12;5|79;4;12;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,79;4;12;5|79;4;12;5|,79;4;12;5|79;4;12;5|,100|100|,100|100|
2,100|100|,79;4;12;5|79;4;12;5|,0.0|0.0|,79;4;12;5|79;4;12;5|,77;5;12;6|77;5;12;6|,77;5;12;6|77;5;12;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,77;5;12;6|77;5;12;6|,77;5;12;6|77;5;12;6|,100|100|,100|100|
3,100|100|,77;5;12;6|77;5;12;6|,0.0|0.0|,77;5;12;6|77;5;12;6|,73;7;8;12|73;7;8;12|,73;7;8;12|73;7;8;12|,100|100|,0;0;0;0|0;0;0;0|,100|100|,73;7;8;12|73;7;8;12|,73;7;8;12|73;7;8;12|,100|100|,100|100|
4,100|100|,73;7;8;12|73;7;8;12|,0.0|0.0|,73;7;8;12|73;7;8;12|,72;3;11;14|72;3;11;14|,72;3;11;14|72;3;11;14|,100|100|,0;0;0;0|0;0;0;0|,100|100|,72;3;11;14|72;3;11;14|,72;3;11;14|72;3;11;14|,100|100|,100|100|
5,100|100|,72;3;11;14|72;3;11;14|,0.0|0.0|,72;3;11;14|72;3;11;14|,69;5;11;15|69;5;11;15|,69;5;11;15|69;5;11;15|,100|100|,0;0;0;0|0;0;0;0|,100|100|,69;5;11;15|69;5;11;15|,69;5;11;15|69;5;11;15|,100|100|,100|100|
6,100|100|,69;5;11;15|69;5;11;15|,0.0|0.0|,69;5;11;15|69;5;11;15|,64;8;12;16|64;8;12;16|,64;8;12;16|64;8;12;16|,100|100|,0;0;0;0|0;0;0;0|,100|100|,64;8;12;16|64;8;12;16|,64;8;12;16|64;8;12;16|,100|100|,100|100|
7,100|100|,64;8;12;16|64;8;12;16|,0.0|0.0|,64;8;12;16|64;8;12;16|,57;12;10;21|57;12;10;21|,57;12;10;21|57;12;10;21|,100|100|,0;0;0;0|0;0;0;0|,100|100|,57;12;10;21|57;12;10;21|,57;12;10;21|57;12;10;21|,100|100|,100|100|
8,100|100|,57;12;10;21|57;12;10;21|,0.0|0.0|,57;12;10;21|57;12;10;21|,52;12;14;22|52;12;14;22|,52;12;14;22|52;12;14;22|,100|100|,0;0;0;0|0;0;0;0|,100|100|,52;12;14;22|52;12;14;22|,52;12;14;22|52;12;14;22|,100|100|,100|100|
9,100|100|,52;12;14;22|52;12;14;22|,0.0|0.0|,52;12;14;22|52;12;14;22|,47;12;18;23|47;12;18;23|,47;12;18;23|47;12;18;23|,100|100|,0;0;0;0|0;0;0;0|,100|100|,47;12;18;23|47;12;18;23|,47;12;18;23|47;12;18;23|,100|100|,100|100|
10,100|100|,47;12;18;23|47;12;18;23|,0.0|0.0|,47;12;18;23|47;12;18;23|,42;10;22;26|42;10;22;26|,42;10;22;26|42;10;22;26|,100|100|,0;0;0;0|0;0;0;0|,100|100|,42;10;22;26|42;10;22;26|,42;10;22;26|42;10;22;26|,100|100|,100|100|
11,100|100|,42;10;22;26|42;10;22;26|,0.0|0.0|,42;10;22;26|42;10;22;26|,35;13;18;34|35;13;18;34|,35;13;18;34|35;13;18;34|,100|100|,0;0;0;0|0;0;0;0|,100|100|,35;13;18;34|35;13;18;34|,35;13;18;34|35;13;18;34|,100|100|,100|100|
12,100|100|,35;13;18;34|35;13;18;34|,0.0|0.0|,35;13;18;34|35;13;18;34|,33;9;20;38|33;9;20;38|,33;9;20;38|33;9;20;38|,100|100|,0;0;0;0|0;0;0;0|,100|100|,33;9;20;38|33;9;20;38|,33;9;20;38|33;9;20;38|,100|100|,100|100|
13,100|100|,33;9;20;38|33;9;20;38|,0.0|0.0|,33;9;20;38|33;9;20;38|,30;8;20;42|30;8;20;42|,30;8;20;42|30;8;20;42|,100|100|,0;0;0;0|0;0;0;0|,100|100|,30;8;20;42|30;8;20;42|,30;8;20;42|30;8;20;42|,100|100|,100|100|
14,100|100|,30;8;20;42|30;8;20;42|,0.0|0.0|,30;8;20;42|30;8;20;42|,24;10;19;47|24;10;19;47|,24;10;19;47|24;10;19;47|,100|100|,0;0;0;0|0;0;0;0|,100|100|,24;10;19;47|24;10;19;47|,24;10;19;47|24;10;19;47|,100|100|,100|100|
