Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;8;0|92;8;0|,92;8;0|92;8;0|,86;14;0|86;14;0|,86;14;0|86;14;0|,100|100|,0;0;0|0;0;0|,100|100|,86;14;0|86;14;0|,86;14;0|86;14;0|,100|100|,100|100|
1,100|100|,86;14;0|86;14;0|,86;14;0|86;14;0|,79;20;1|79;20;1|,79;20;1|79;20;1|,100|100|,0;0;0|0;0;0|,100|100|,79;20;1|79;20;1|,79;20;1|79;20;1|,100|100|,100|100|
2,100|100|,79;20;1|79;20;1|,79;20;1|79;20;1|,74;20;6|74;20;6|,74;20;6|74;20;6|,100|100|,0;0;0|0;0;0|,100|100|,74;20;6|74;20;6|,74;20;6|74;20;6|,100|100|,100|100|
3,100|100|,74;20;6|74;20;6|,74;20;6|74;20;6|,65;26;9|65;26;9|,65;26;9|65;26;9|,100|100|,0;0;0|0;0;0|,100|100|,65;26;9|65;26;9|,65;26;9|65;26;9|,100|100|,100|100|
4,100|100|,65;26;9|65;26;9|,65;26;9|65;26;9|,59;29;12|59;29;12|,59;29;12|59;29;12|,100|100|,0;0;0|0;0;0|,100|100|,59;29;12|59;29;12|,59;29;12|59;29;12|,100|100|,100|100|
5,100|100|,59;29;12|59;29;12|,59;29;12|59;29;12|,53;26;21|53;26;21|,53;26;21|53;26;21|,100|100|,0;0;0|0;0;0|,100|100|,53;26;21|53;26;21|,53;26;21|53;26;21|,100|100|,100|100|
6,100|100|,53;26;21|53;26;21|,53;26;21|53;26;21|,46;26;28|46;26;28|,46;26;28|46;26;28|,100|100|,0;0;0|0;0;0|,100|100|,46;26;28|46;26;28|,46;26;28|46;26;28|,100|100|,100|100|
7,100|100|,46;26;28|46;26;28|,46;26;28|46;26;28|,41;22;37|41;22;37|,41;22;37|41;22;37|,100|100|,0;0;0|0;0;0|,100|100|,41;22;37|41;22;37|,41;22;37|41;22;37|,100|100|,100|100|
8,100|100|,41;22;37|41;22;37|,41;22;37|41;22;37|,34;24;42|34;24;42|,34;24;42|34;24;42|,100|100|,0;0;0|0;0;0|,100|100|,34;24;42|34;24;42|,34;24;42|34;24;42|,100|100|,100|100|
9,100|100|,34;24;42|34;24;42|,34;24;42|34;24;42|,31;25;44|31;25;44|,31;25;44|31;25;44|,100|100|,0;0;0|0;0;0|,100|100|,31;25;44|31;25;44|,31;25;44|31;25;44|,100|100|,100|100|
10,100|100|,31;25;44|31;25;44|,31;25;44|31;25;44|,28;27;45|28;27;45|,28;27;45|28;27;45|,100|100|,0;0;0|0;0;0|,100|100|,28;27;45|28;27;45|,28;27;45|28;27;45|,100|100|,100|100|
