Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,90;10;0|90;10;0|,84;14;2|84;14;2|,84;14;2|84;14;2|,100|100|,0;0;0|0;0;0|,100|100|,84;14;2|84;14;2|,84;14;2|84;14;2|,100|100|,100|100|
1,100|100|,84;14;2|84;14;2|,84;14;2|84;14;2|,76;20;4|76;20;4|,76;20;4|76;20;4|,100|100|,0;0;0|0;0;0|,100|100|,76;20;4|76;20;4|,76;20;4|76;20;4|,100|100|,100|100|
2,100|100|,76;20;4|76;20;4|,76;20;4|76;20;4|,62;30;8|62;30;8|,62;30;8|62;30;8|,100|100|,0;0;0|0;0;0|,100|100|,62;30;8|62;30;8|,62;30;8|62;30;8|,100|100|,100|100|
3,100|100|,62;30;8|62;30;8|,62;30;8|62;30;8|,55;31;14|55;31;14|,55;31;14|55;31;14|,100|100|,0;0;0|0;0;0|,100|100|,55;31;14|55;31;14|,55;31;14|55;31;14|,100|100|,100|100|
4,100|100|,55;31;14|55;31;14|,55;31;14|55;31;14|,52;28;20|52;28;20|,52;28;20|52;28;20|,100|100|,0;0;0|0;0;0|,100|100|,52;28;20|52;28;20|,52;28;20|52;28;20|,100|100|,100|100|
5,100|100|,52;28;20|52;28;20|,52;28;20|52;28;20|,46;31;23|46;31;23|,46;31;23|46;31;23|,100|100|,0;0;0|0;0;0|,100|100|,46;31;23|46;31;23|,46;31;23|46;31;23|,100|100|,100|100|
6,100|100|,46;31;23|46;31;23|,46;31;23|46;31;23|,38;34;28|38;34;28|,38;34;28|38;34;28|,100|100|,0;0;0|0;0;0|,100|100|,38;34;28|38;34;28|,38;34;28|38;34;28|,100|100|,100|100|
7,100|100|,38;34;28|38;34;28|,38;34;28|38;34;28|,33;33;34|33;33;34|,33;33;34|33;33;34|,100|100|,0;0;0|0;0;0|,100|100|,33;33;34|33;33;34|,33;33;34|33;33;34|,100|100|,100|100|
8,100|100|,33;33;34|33;33;34|,33;33;34|33;33;34|,26;35;39|26;35;39|,26;35;39|26;35;39|,100|100|,0;0;0|0;0;0|,100|100|,26;35;39|26;35;39|,26;35;39|26;35;39|,100|100|,100|100|
9,100|100|,26;35;39|26;35;39|,26;35;39|26;35;39|,19;35;46|19;35;46|,19;35;46|19;35;46|,100|100|,0;0;0|0;0;0|,100|100|,19;35;46|19;35;46|,19;35;46|19;35;46|,100|100|,100|100|
10,100|100|,19;35;46|19;35;46|,19;35;46|19;35;46|,16;29;55|16;29;55|,16;29;55|16;29;55|,100|100|,0;0;0|0;0;0|,100|100|,16;29;55|16;29;55|,16;29;55|16;29;55|,100|100|,100|100|
