Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;8;0|92;8;0|,10.0|10.0|,92;8;0|92;8;0|,89;10;1|89;10;1|,89;10;1|89;10;1|,100|100|,0;0;0|0;0;0|,100|100|,89;10;1|89;10;1|,89;10;1|89;10;1|,100|100|,100|100|
1,100|100|,89;10;1|89;10;1|,9.3|9.3|,89;10;1|89;10;1|,85;14;1|85;14;1|,85;14;1|85;14;1|,100|100|,0;0;0|0;0;0|,100|100|,85;14;1|85;14;1|,85;14;1|85;14;1|,100|100|,100|100|
2,100|100|,85;14;1|85;14;1|,8.91|8.91|,85;14;1|85;14;1|,80;18;2|80;18;2|,80;18;2|80;18;2|,100|100|,0;0;0|0;0;0|,100|100|,80;18;2|80;18;2|,80;18;2|80;18;2|,100|100|,100|100|
3,100|100|,80;18;2|80;18;2|,8.97|8.97|,80;18;2|80;18;2|,74;24;2|74;24;2|,74;24;2|74;24;2|,100|100|,0;0;0|0;0;0|,100|100|,74;24;2|74;24;2|,74;24;2|74;24;2|,100|100|,100|100|
4,100|100|,74;24;2|74;24;2|,9.42|9.42|,74;24;2|74;24;2|,69;29;2|69;29;2|,69;29;2|69;29;2|,100|100|,0;0;0|0;0;0|,100|100|,69;29;2|69;29;2|,69;29;2|69;29;2|,100|100|,100|100|
5,100|100|,69;29;2|69;29;2|,10.41|10.41|,69;29;2|69;29;2|,61;34;5|61;34;5|,61;34;5|61;34;5|,100|100|,0;0;0|0;0;0|,100|100|,61;34;5|61;34;5|,61;34;5|61;34;5|,100|100|,100|100|
6,100|100|,61;34;5|61;34;5|,11.75|11.75|,61;34;5|61;34;5|,55;39;6|55;39;6|,55;39;6|55;39;6|,100|100|,0;0;0|0;0;0|,100|100|,55;39;6|55;39;6|,55;39;6|55;39;6|,100|100|,100|100|
7,100|100|,55;39;6|55;39;6|,13.39|13.39|,55;39;6|55;39;6|,47;47;6|47;47;6|,47;47;6|47;47;6|,100|100|,0;0;0|0;0;0|,100|100|,47;47;6|47;47;6|,47;47;6|47;47;6|,100|100|,100|100|
8,100|100|,47;47;6|47;47;6|,15.28|15.28|,47;47;6|47;47;6|,39;51;10|39;51;10|,39;51;10|39;51;10|,100|100|,0;0;0|0;0;0|,100|100|,39;51;10|39;51;10|,39;51;10|39;51;10|,100|100|,100|100|
9,100|100|,39;51;10|39;51;10|,17.69|17.69|,39;51;10|39;51;10|,33;55;12|33;55;12|,33;55;12|33;55;12|,100|100|,0;0;0|0;0;0|,100|100|,33;55;12|33;55;12|,33;55;12|33;55;12|,100|100|,100|100|
10,100|100|,33;55;12|33;55;12|,20.13|20.13|,33;55;12|33;55;12|,24;59;17|24;59;17|,24;59;17|24;59;17|,100|100|,0;0;0|0;0;0|,100|100|,24;59;17|24;59;17|,24;59;17|24;59;17|,100|100|,100|100|
11,100|100|,24;59;17|24;59;17|,22.61|22.61|,24;59;17|24;59;17|,16;60;24|16;60;24|,16;60;24|16;60;24|,100|100|,0;0;0|0;0;0|,100|100|,16;60;24|16;60;24|,16;60;24|16;60;24|,100|100|,100|100|
12,100|100|,16;60;24|16;60;24|,25.12|25.12|,16;60;24|16;60;24|,13;61;26|13;61;26|,13;61;26|13;61;26|,100|100|,0;0;0|0;0;0|,100|100|,13;61;26|13;61;26|,13;61;26|13;61;26|,100|100|,100|100|
13,100|100|,13;61;26|13;61;26|,27.35|27.35|,13;61;26|13;61;26|,10;59;31|10;59;31|,10;59;31|10;59;31|,100|100|,0;0;0|0;0;0|,100|100|,10;59;31|10;59;31|,10;59;31|10;59;31|,100|100|,100|100|
14,100|100|,10;59;31|10;59;31|,29.35|29.35|,10;59;31|10;59;31|,6;61;33|6;61;33|,6;61;33|6;61;33|,100|100|,0;0;0|0;0;0|,100|100|,6;61;33|6;61;33|,6;61;33|6;61;33|,100|100|,100|100|
15,100|100|,6;61;33|6;61;33|,30.85|30.85|,6;61;33|6;61;33|,5;55;40|5;55;40|,5;55;40|5;55;40|,100|100|,0;0;0|0;0;0|,100|100|,5;55;40|5;55;40|,5;55;40|5;55;40|,100|100|,100|100|
16,100|100|,5;55;40|5;55;40|,32.32|32.32|,5;55;40|5;55;40|,5;54;41|5;54;41|,5;54;41|5;54;41|,100|100|,0;0;0|0;0;0|,100|100|,5;54;41|5;54;41|,5;54;41|5;54;41|,100|100|,100|100|
