Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;9;0|91;9;0|,91;9;0|91;9;0|,88;11;1|88;11;1|,88;11;1|88;11;1|,100|100|,0;0;0|0;0;0|,100|100|,88;11;1|88;11;1|,88;11;1|88;11;1|,100|100|,100|100|
1,100|100|,88;11;1|88;11;1|,88;11;1|88;11;1|,83;16;1|83;16;1|,83;16;1|83;16;1|,100|100|,0;0;0|0;0;0|,100|100|,83;16;1|83;16;1|,83;16;1|83;16;1|,100|100|,100|100|
2,100|100|,83;16;1|83;16;1|,83;16;1|83;16;1|,79;16;5|79;16;5|,79;16;5|79;16;5|,100|100|,0;0;0|0;0;0|,100|100|,79;16;5|79;16;5|,79;16;5|79;16;5|,100|100|,100|100|
3,100|100|,79;16;5|79;16;5|,79;16;5|79;16;5|,75;17;8|75;17;8|,75;17;8|75;17;8|,100|100|,0;0;0|0;0;0|,100|100|,75;17;8|75;17;8|,75;17;8|75;17;8|,100|100|,100|100|
4,100|100|,75;17;8|75;17;8|,75;17;8|75;17;8|,70;17;13|70;17;13|,70;17;13|70;17;13|,100|100|,0;0;0|0;0;0|,100|100|,70;17;13|70;17;13|,70;17;13|70;17;13|,100|100|,100|100|
5,100|100|,70;17;13|70;17;13|,70;17;13|70;17;13|,68;16;16|68;16;16|,68;16;16|68;16;16|,100|100|,0;0;0|0;0;0|,100|100|,68;16;16|68;16;16|,68;16;16|68;16;16|,100|100|,100|100|
6,100|100|,68;16;16|68;16;16|,68;16;16|68;16;16|,62;19;19|62;19;19|,62;19;19|62;19;19|,100|100|,0;0;0|0;0;0|,100|100|,62;19;19|62;19;19|,62;19;19|62;19;19|,100|100|,100|100|
7,100|100|,62;19;19|62;19;19|,62;19;19|62;19;19|,54;21;25|54;21;25|,54;21;25|54;21;25|,100|100|,0;0;0|0;0;0|,100|100|,54;21;25|54;21;25|,54;21;25|54;21;25|,100|100|,100|100|
8,100|100|,54;21;25|54;21;25|,54;21;25|54;21;25|,45;23;32|45;23;32|,45;23;32|45;23;32|,100|100|,0;0;0|0;0;0|,100|100|,45;23;32|45;23;32|,45;23;32|45;23;32|,100|100|,100|100|
9,100|100|,45;23;32|45;23;32|,45;23;32|45;23;32|,35;28;37|35;28;37|,35;28;37|35;28;37|,100|100|,0;0;0|0;0;0|,100|100|,35;28;37|35;28;37|,35;28;37|35;28;37|,100|100|,100|100|
10,100|100|,35;28;37|35;28;37|,35;28;37|35;28;37|,32;26;42|32;26;42|,32;26;42|32;26;42|,100|100|,0;0;0|0;0;0|,100|100|,32;26;42|32;26;42|,32;26;42|32;26;42|,100|100|,100|100|
11,100|100|,32;26;42|32;26;42|,32;26;42|32;26;42|,29;26;45|29;26;45|,29;26;45|29;26;45|,100|100|,0;0;0|0;0;0|,100|100|,29;26;45|29;26;45|,29;26;45|29;26;45|,100|100|,100|100|
