Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,10.0|10.0|,90;10;0|90;10;0|,86;14;0|86;14;0|,86;14;0|86;14;0|,100|100|,0;0;0|0;0;0|,100|100|,86;14;0|86;14;0|,86;14;0|86;14;0|,100|100|,100|100|
1,100|100|,86;14;0|86;14;0|,9.9|9.9|,86;14;0|86;14;0|,83;17;0|83;17;0|,83;17;0|83;17;0|,100|100|,0;0;0|0;0;0|,100|100|,83;17;0|83;17;0|,83;17;0|83;17;0|,100|100|,100|100|
2,100|100|,83;17;0|83;17;0|,10.12|10.12|,83;17;0|83;17;0|,78;22;0|78;22;0|,78;22;0|78;22;0|,100|100|,0;0;0|0;0;0|,100|100|,78;22;0|78;22;0|,78;22;0|78;22;0|,100|100|,100|100|
3,100|100|,78;22;0|78;22;0|,10.8|10.8|,78;22;0|78;22;0|,71;28;1|71;28;1|,71;28;1|71;28;1|,100|100|,0;0;0|0;0;0|,100|100|,71;28;1|71;28;1|,71;28;1|71;28;1|,100|100|,100|100|
4,100|100|,71;28;1|71;28;1|,11.98|11.98|,71;28;1|71;28;1|,64;34;2|64;34;2|,64;34;2|64;34;2|,100|100|,0;0;0|0;0;0|,100|100|,64;34;2|64;34;2|,64;34;2|64;34;2|,100|100|,100|100|
5,100|100|,64;34;2|64;34;2|,13.58|13.58|,64;34;2|64;34;2|,56;38;6|56;38;6|,56;38;6|56;38;6|,100|100|,0;0;0|0;0;0|,100|100|,56;38;6|56;38;6|,56;38;6|56;38;6|,100|100|,100|100|
6,100|100|,56;38;6|56;38;6|,15.34|15.34|,56;38;6|56;38;6|,49;43;8|49;43;8|,49;43;8|49;43;8|,100|100|,0;0;0|0;0;0|,100|100|,49;43;8|49;43;8|,49;43;8|49;43;8|,100|100|,100|100|
7,100|100|,49;43;8|49;43;8|,17.34|17.34|,49;43;8|49;43;8|,40;49;11|40;49;11|,40;49;11|40;49;11|,100|100|,0;0;0|0;0;0|,100|100|,40;49;11|40;49;11|,40;49;11|40;49;11|,100|100|,100|100|
8,100|100|,40;49;11|40;49;11|,19.64|19.64|,40;49;11|40;49;11|,35;51;14|35;51;14|,35;51;14|35;51;14|,100|100|,0;0;0|0;0;0|,100|100|,35;51;14|35;51;14|,35;51;14|35;51;14|,100|100|,100|100|
9,100|100|,35;51;14|35;51;14|,21.79|21.79|,35;51;14|35;51;14|,31;54;15|31;54;15|,31;54;15|31;54;15|,100|100|,0;0;0|0;0;0|,100|100|,31;54;15|31;54;15|,31;54;15|31;54;15|,100|100|,100|100|
10,100|100|,31;54;15|31;54;15|,23.93|23.93|,31;54;15|31;54;15|,24;60;16|24;60;16|,24;60;16|24;60;16|,100|100|,0;0;0|0;0;0|,100|100|,24;60;16|24;60;16|,24;60;16|24;60;16|,100|100|,100|100|
11,100|100|,24;60;16|24;60;16|,26.34|26.34|,24;60;16|24;60;16|,20;59;21|20;59;21|,20;59;21|20;59;21|,100|100|,0;0;0|0;0;0|,100|100|,20;59;21|20;59;21|,20;59;21|20;59;21|,100|100|,100|100|
12,100|100|,20;59;21|20;59;21|,28.29|28.29|,20;59;21|20;59;21|,15;61;24|15;61;24|,15;61;24|15;61;24|,100|100|,0;0;0|0;0;0|,100|100|,15;61;24|15;61;24|,15;61;24|15;61;24|,100|100|,100|100|
13,100|100|,15;61;24|15;61;24|,30.14|30.14|,15;61;24|15;61;24|,11;63;26|11;63;26|,11;63;26|11;63;26|,100|100|,0;0;0|0;0;0|,100|100|,11;63;26|11;63;26|,11;63;26|11;63;26|,100|100|,100|100|
