Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,83;17;0|83;17;0|,10.0|10.0|,83;17;0|83;17;0|,76;24;0|76;24;0|,76;24;0|76;24;0|,100|100|,0;0;0|0;0;0|,100|100|,76;24;0|76;24;0|,76;24;0|76;24;0|,100|100|,100|100|
1,100|100|,76;24;0|76;24;0|,10.2|10.2|,76;24;0|76;24;0|,70;29;1|70;29;1|,70;29;1|70;29;1|,100|100|,0;0;0|0;0;0|,100|100|,70;29;1|70;29;1|,70;29;1|70;29;1|,100|100|,100|100|
2,100|100|,70;29;1|70;29;1|,11.07|11.07|,70;29;1|70;29;1|,62;35;3|62;35;3|,62;35;3|62;35;3|,100|100|,0;0;0|0;0;0|,100|100|,62;35;3|62;35;3|,62;35;3|62;35;3|,100|100|,100|100|
3,100|100|,62;35;3|62;35;3|,12.31|12.31|,62;35;3|62;35;3|,52;43;5|52;43;5|,52;43;5|52;43;5|,100|100|,0;0;0|0;0;0|,100|100|,52;43;5|52;43;5|,52;43;5|52;43;5|,100|100|,100|100|
4,100|100|,52;43;5|52;43;5|,13.96|13.96|,52;43;5|52;43;5|,44;50;6|44;50;6|,44;50;6|44;50;6|,100|100|,0;0;0|0;0;0|,100|100|,44;50;6|44;50;6|,44;50;6|44;50;6|,100|100|,100|100|
5,100|100|,44;50;6|44;50;6|,16.17|16.17|,44;50;6|44;50;6|,37;53;10|37;53;10|,37;53;10|37;53;10|,100|100|,0;0;0|0;0;0|,100|100|,37;53;10|37;53;10|,37;53;10|37;53;10|,100|100|,100|100|
6,100|100|,37;53;10|37;53;10|,18.74|18.74|,37;53;10|37;53;10|,29;60;11|29;60;11|,29;60;11|29;60;11|,100|100|,0;0;0|0;0;0|,100|100|,29;60;11|29;60;11|,29;60;11|29;60;11|,100|100|,100|100|
7,100|100|,29;60;11|29;60;11|,21.23|21.23|,29;60;11|29;60;11|,18;66;16|18;66;16|,18;66;16|18;66;16|,100|100|,0;0;0|0;0;0|,100|100|,18;66;16|18;66;16|,18;66;16|18;66;16|,100|100|,100|100|
8,100|100|,18;66;16|18;66;16|,24.05|24.05|,18;66;16|18;66;16|,15;63;22|15;63;22|,15;63;22|15;63;22|,100|100|,0;0;0|0;0;0|,100|100|,15;63;22|15;63;22|,15;63;22|15;63;22|,100|100|,100|100|
9,100|100|,15;63;22|15;63;22|,27.04|27.04|,15;63;22|15;63;22|,11;63;26|11;63;26|,11;63;26|11;63;26|,100|100|,0;0;0|0;0;0|,100|100|,11;63;26|11;63;26|,11;63;26|11;63;26|,100|100|,100|100|
10,100|100|,11;63;26|11;63;26|,29.28|29.28|,11;63;26|11;63;26|,7;66;27|7;66;27|,7;66;27|7;66;27|,100|100|,0;0;0|0;0;0|,100|100|,7;66;27|7;66;27|,7;66;27|7;66;27|,100|100|,100|100|
11,100|100|,7;66;27|7;66;27|,31.19|31.19|,7;66;27|7;66;27|,4;67;29|4;67;29|,4;67;29|4;67;29|,100|100|,0;0;0|0;0;0|,100|100|,4;67;29|4;67;29|,4;67;29|4;67;29|,100|100|,100|100|
