Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;0;9;0|91;0;9;0|,0.0|0.0|,91;0;9;0|91;0;9;0|,88;3;6;3|88;3;6;3|,88;3;6;3|88;3;6;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,88;3;6;3|88;3;6;3|,88;3;6;3|88;3;6;3|,100|100|,100|100|
1,100|100|,88;3;6;3|88;3;6;3|,0.0|0.0|,88;3;6;3|88;3;6;3|,86;4;4;6|86;4;4;6|,86;4;4;6|86;4;4;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,86;4;4;6|86;4;4;6|,86;4;4;6|86;4;4;6|,100|100|,100|100|
2,100|100|,86;4;4;6|86;4;4;6|,0.0|0.0|,86;4;4;6|86;4;4;6|,85;2;7;6|85;2;7;6|,85;2;7;6|85;2;7;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,85;2;7;6|85;2;7;6|,85;2;7;6|85;2;7;6|,100|100|,100|100|
3,100|100|,85;2;7;6|85;2;7;6|,0.0|0.0|,85;2;7;6|85;2;7;6|,81;5;6;8|81;5;6;8|,81;5;6;8|81;5;6;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,81;5;6;8|81;5;6;8|,81;5;6;8|81;5;6;8|,100|100|,100|100|
4,100|100|,81;5;6;8|81;5;6;8|,0.0|0.0|,81;5;6;8|81;5;6;8|,78;5;8;9|78;5;8;9|,78;5;8;9|78;5;8;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,78;5;8;9|78;5;8;9|,78;5;8;9|78;5;8;9|,100|100|,100|100|
5,100|100|,78;5;8;9|78;5;8;9|,0.0|0.0|,78;5;8;9|78;5;8;9|,77;6;7;10|77;6;7;10|,77;6;7;10|77;6;7;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,77;6;7;10|77;6;7;10|,77;6;7;10|77;6;7;10|,100|100|,100|100|
6,100|100|,77;6;7;10|77;6;7;10|,0.0|0.0|,77;6;7;10|77;6;7;10|,75;5;8;12|75;5;8;12|,75;5;8;12|75;5;8;12|,100|100|,0;0;0;0|0;0;0;0|,100|100|,75;5;8;12|75;5;8;12|,75;5;8;12|75;5;8;12|,100|100|,100|100|
7,100|100|,75;5;8;12|75;5;8;12|,0.0|0.0|,75;5;8;12|75;5;8;12|,73;3;9;15|73;3;9;15|,73;3;9;15|73;3;9;15|,100|100|,0;0;0;0|0;0;0;0|,100|100|,73;3;9;15|73;3;9;15|,73;3;9;15|73;3;9;15|,100|100|,100|100|
8,100|100|,73;3;9;15|73;3;9;15|,0.0|0.0|,73;3;9;15|73;3;9;15|,72;2;10;16|72;2;10;16|,72;2;10;16|72;2;10;16|,100|100|,0;0;0;0|0;0;0;0|,100|100|,72;2;10;16|72;2;10;16|,72;2;10;16|72;2;10;16|,100|100|,100|100|
9,100|100|,72;2;10;16|72;2;10;16|,0.0|0.0|,72;2;10;16|72;2;10;16|,72;1;9;18|72;1;9;18|,72;1;9;18|72;1;9;18|,100|100|,0;0;0;0|0;0;0;0|,100|100|,72;1;9;18|72;1;9;18|,72;1;9;18|72;1;9;18|,100|100|,100|100|
