Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;12;0|88;12;0|,88;12;0|88;12;0|,83;14;3|83;14;3|,83;14;3|83;14;3|,100|100|,0;0;0|0;0;0|,100|100|,83;14;3|83;14;3|,83;14;3|83;14;3|,100|100|,100|100|
1,100|100|,83;14;3|83;14;3|,83;14;3|83;14;3|,71;23;6|71;23;6|,71;23;6|71;23;6|,100|100|,0;0;0|0;0;0|,100|100|,71;23;6|71;23;6|,71;23;6|71;23;6|,100|100|,100|100|
2,100|100|,71;23;6|71;23;6|,71;23;6|71;23;6|,65;23;12|65;23;12|,65;23;12|65;23;12|,100|100|,0;0;0|0;0;0|,100|100|,65;23;12|65;23;12|,65;23;12|65;23;12|,100|100|,100|100|
3,100|100|,65;23;12|65;23;12|,65;23;12|65;23;12|,52;32;16|52;32;16|,52;32;16|52;32;16|,100|100|,0;0;0|0;0;0|,100|100|,52;32;16|52;32;16|,52;32;16|52;32;16|,100|100|,100|100|
4,100|100|,52;32;16|52;32;16|,52;32;16|52;32;16|,45;32;23|45;32;23|,45;32;23|45;32;23|,100|100|,0;0;0|0;0;0|,100|100|,45;32;23|45;32;23|,45;32;23|45;32;23|,100|100|,100|100|
5,100|100|,45;32;23|45;32;23|,45;32;23|45;32;23|,36;33;31|36;33;31|,36;33;31|36;33;31|,100|100|,0;0;0|0;0;0|,100|100|,36;33;31|36;33;31|,36;33;31|36;33;31|,100|100|,100|100|
6,100|100|,36;33;31|36;33;31|,36;33;31|36;33;31|,34;28;38|34;28;38|,34;28;38|34;28;38|,100|100|,0;0;0|0;0;0|,100|100|,34;28;38|34;28;38|,34;28;38|34;28;38|,100|100|,100|100|
7,100|100|,34;28;38|34;28;38|,34;28;38|34;28;38|,27;28;45|27;28;45|,27;28;45|27;28;45|,100|100|,0;0;0|0;0;0|,100|100|,27;28;45|27;28;45|,27;28;45|27;28;45|,100|100|,100|100|
8,100|100|,27;28;45|27;28;45|,27;28;45|27;28;45|,24;23;53|24;23;53|,24;23;53|24;23;53|,100|100|,0;0;0|0;0;0|,100|100|,24;23;53|24;23;53|,24;23;53|24;23;53|,100|100|,100|100|
9,100|100|,24;23;53|24;23;53|,24;23;53|24;23;53|,22;20;58|22;20;58|,22;20;58|22;20;58|,100|100|,0;0;0|0;0;0|,100|100|,22;20;58|22;20;58|,22;20;58|22;20;58|,100|100|,100|100|
10,100|100|,22;20;58|22;20;58|,22;20;58|22;20;58|,21;14;65|21;14;65|,21;14;65|21;14;65|,100|100|,0;0;0|0;0;0|,100|100|,21;14;65|21;14;65|,21;14;65|21;14;65|,100|100|,100|100|
