Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;9;0|91;9;0|,0.0|0.0|,91;9;0|91;9;0|,87;11;2|87;11;2|,87;11;2|87;11;2|,100|100|,0;0;0|0;0;0|,100|100|,87;11;2|87;11;2|,87;11;2|87;11;2|,100|100|,100|100|
1,100|100|,87;11;2|87;11;2|,0.0|0.0|,87;11;2|87;11;2|,84;14;2|84;14;2|,84;14;2|84;14;2|,100|100|,0;0;0|0;0;0|,100|100|,84;14;2|84;14;2|,84;14;2|84;14;2|,100|100|,100|100|
2,100|100|,84;14;2|84;14;2|,0.0|0.0|,84;14;2|84;14;2|,81;15;4|81;15;4|,81;15;4|81;15;4|,100|100|,0;0;0|0;0;0|,100|100|,81;15;4|81;15;4|,81;15;4|81;15;4|,100|100|,100|100|
3,100|100|,81;15;4|81;15;4|,0.0|0.0|,81;15;4|81;15;4|,73;25;2|73;25;2|,73;25;2|73;25;2|,100|100|,0;0;0|0;0;0|,100|100|,73;25;2|73;25;2|,73;25;2|73;25;2|,100|100|,100|100|
4,100|100|,73;25;2|73;25;2|,0.0|0.0|,73;25;2|73;25;2|,64;31;5|64;31;5|,64;31;5|64;31;5|,100|100|,0;0;0|0;0;0|,100|100|,64;31;5|64;31;5|,64;31;5|64;31;5|,100|100|,100|100|
5,100|100|,64;31;5|64;31;5|,0.0|0.0|,64;31;5|64;31;5|,54;35;11|54;35;11|,54;35;11|54;35;11|,100|100|,0;0;0|0;0;0|,100|100|,54;35;11|54;35;11|,54;35;11|54;35;11|,100|100|,100|100|
6,100|100|,54;35;11|54;35;11|,0.0|0.0|,54;35;11|54;35;11|,48;33;19|48;33;19|,48;33;19|48;33;19|,100|100|,0;0;0|0;0;0|,100|100|,48;33;19|48;33;19|,48;33;19|48;33;19|,100|100|,100|100|
7,100|100|,48;33;19|48;33;19|,0.0|0.0|,48;33;19|48;33;19|,41;39;20|41;39;20|,41;39;20|41;39;20|,100|100|,0;0;0|0;0;0|,100|100|,41;39;20|41;39;20|,41;39;20|41;39;20|,100|100|,100|100|
8,100|100|,41;39;20|41;39;20|,0.0|0.0|,41;39;20|41;39;20|,39;42;19|39;42;19|,39;42;19|39;42;19|,100|100|,0;0;0|0;0;0|,100|100|,39;42;19|39;42;19|,39;42;19|39;42;19|,100|100|,100|100|
9,100|100|,39;42;19|39;42;19|,0.0|0.0|,39;42;19|39;42;19|,41;40;19|41;40;19|,41;40;19|41;40;19|,100|100|,0;0;0|0;0;0|,100|100|,41;40;19|41;40;19|,41;40;19|41;40;19|,100|100|,100|100|
10,100|100|,41;40;19|41;40;19|,0.0|0.0|,41;40;19|41;40;19|,37;36;27|37;36;27|,37;36;27|37;36;27|,100|100|,0;0;0|0;0;0|,100|100|,37;36;27|37;36;27|,37;36;27|37;36;27|,100|100|,100|100|
11,100|100|,37;36;27|37;36;27|,0.0|0.0|,37;36;27|37;36;27|,36;36;28|36;36;28|,36;36;28|36;36;28|,100|100|,0;0;0|0;0;0|,100|100|,36;36;28|36;36;28|,36;36;28|36;36;28|,100|100|,100|100|
12,100|100|,36;36;28|36;36;28|,0.0|0.0|,36;36;28|36;36;28|,37;31;32|37;31;32|,37;31;32|37;31;32|,100|100|,0;0;0|0;0;0|,100|100|,37;31;32|37;31;32|,37;31;32|37;31;32|,100|100|,100|100|
13,100|100|,37;31;32|37;31;32|,0.0|0.0|,37;31;32|37;31;32|,37;32;31|37;32;31|,37;32;31|37;32;31|,100|100|,0;0;0|0;0;0|,100|100|,37;32;31|37;32;31|,37;32;31|37;32;31|,100|100|,100|100|
14,100|100|,37;32;31|37;32;31|,0.0|0.0|,37;32;31|37;32;31|,36;31;33|36;31;33|,36;31;33|36;31;33|,100|100|,0;0;0|0;0;0|,100|100|,36;31;33|36;31;33|,36;31;33|36;31;33|,100|100|,100|100|
15,100|100|,36;31;33|36;31;33|,0.0|0.0|,36;31;33|36;31;33|,37;29;34|37;29;34|,37;29;34|37;29;34|,100|100|,0;0;0|0;0;0|,100|100|,37;29;34|37;29;34|,37;29;34|37;29;34|,100|100|,100|100|
16,100|100|,37;29;34|37;29;34|,0.0|0.0|,37;29;34|37;29;34|,36;31;33|36;31;33|,36;31;33|36;31;33|,100|100|,0;0;0|0;0;0|,100|100|,36;31;33|36;31;33|,36;31;33|36;31;33|,100|100|,100|100|
17,100|100|,36;31;33|36;31;33|,0.0|0.0|,36;31;33|36;31;33|,38;29;33|38;29;33|,38;29;33|38;29;33|,100|100|,0;0;0|0;0;0|,100|100|,38;29;33|38;29;33|,38;29;33|38;29;33|,100|100|,100|100|
18,100|100|,38;29;33|38;29;33|,0.0|0.0|,38;29;33|38;29;33|,43;25;32|43;25;32|,43;25;32|43;25;32|,100|100|,0;0;0|0;0;0|,100|100|,43;25;32|43;25;32|,43;25;32|43;25;32|,100|100|,100|100|
19,100|100|,43;25;32|43;25;32|,0.0|0.0|,43;25;32|43;25;32|,42;27;31|42;27;31|,42;27;31|42;27;31|,100|100|,0;0;0|0;0;0|,100|100|,42;27;31|42;27;31|,42;27;31|42;27;31|,100|100|,100|100|
20,100|100|,42;27;31|42;27;31|,0.0|0.0|,42;27;31|42;27;31|,40;28;32|40;28;32|,40;28;32|40;28;32|,100|100|,0;0;0|0;0;0|,100|100|,40;28;32|40;28;32|,40;28;32|40;28;32|,100|100|,100|100|
21,100|100|,40;28;32|40;28;32|,0.0|0.0|,40;28;32|40;28;32|,43;24;33|43;24;33|,43;24;33|43;24;33|,100|100|,0;0;0|0;0;0|,100|100|,43;24;33|43;24;33|,43;24;33|43;24;33|,100|100|,100|100|
22,100|100|,43;24;33|43;24;33|,0.0|0.0|,43;24;33|43;24;33|,41;29;30|41;29;30|,41;29;30|41;29;30|,100|100|,0;0;0|0;0;0|,100|100|,41;29;30|41;29;30|,41;29;30|41;29;30|,100|100|,100|100|
23,100|100|,41;29;30|41;29;30|,0.0|0.0|,41;29;30|41;29;30|,41;31;28|41;31;28|,41;31;28|41;31;28|,100|100|,0;0;0|0;0;0|,100|100|,41;31;28|41;31;28|,41;31;28|41;31;28|,100|100|,100|100|
24,100|100|,41;31;28|41;31;28|,0.0|0.0|,41;31;28|41;31;28|,43;31;26|43;31;26|,43;31;26|43;31;26|,100|100|,0;0;0|0;0;0|,100|100|,43;31;26|43;31;26|,43;31;26|43;31;26|,100|100|,100|100|
25,100|100|,43;31;26|43;31;26|,0.0|0.0|,43;31;26|43;31;26|,38;30;32|38;30;32|,38;30;32|38;30;32|,100|100|,0;0;0|0;0;0|,100|100|,38;30;32|38;30;32|,38;30;32|38;30;32|,100|100|,100|100|
26,100|100|,38;30;32|38;30;32|,0.0|0.0|,38;30;32|38;30;32|,37;34;29|37;34;29|,37;34;29|37;34;29|,100|100|,0;0;0|0;0;0|,100|100|,37;34;29|37;34;29|,37;34;29|37;34;29|,100|100|,100|100|
27,100|100|,37;34;29|37;34;29|,0.0|0.0|,37;34;29|37;34;29|,31;36;33|31;36;33|,31;36;33|31;36;33|,100|100|,0;0;0|0;0;0|,100|100|,31;36;33|31;36;33|,31;36;33|31;36;33|,100|100|,100|100|
28,100|100|,31;36;33|31;36;33|,0.0|0.0|,31;36;33|31;36;33|,33;29;38|33;29;38|,33;29;38|33;29;38|,100|100|,0;0;0|0;0;0|,100|100|,33;29;38|33;29;38|,33;29;38|33;29;38|,100|100|,100|100|
29,100|100|,33;29;38|33;29;38|,0.0|0.0|,33;29;38|33;29;38|,34;29;37|34;29;37|,34;29;37|34;29;37|,100|100|,0;0;0|0;0;0|,100|100|,34;29;37|34;29;37|,34;29;37|34;29;37|,100|100|,100|100|
30,100|100|,34;29;37|34;29;37|,0.0|0.0|,34;29;37|34;29;37|,31;36;33|31;36;33|,31;36;33|31;36;33|,100|100|,0;0;0|0;0;0|,100|100|,31;36;33|31;36;33|,31;36;33|31;36;33|,100|100|,100|100|
31,100|100|,31;36;33|31;36;33|,0.0|0.0|,31;36;33|31;36;33|,31;35;34|31;35;34|,31;35;34|31;35;34|,100|100|,0;0;0|0;0;0|,100|100|,31;35;34|31;35;34|,31;35;34|31;35;34|,100|100|,100|100|
32,100|100|,31;35;34|31;35;34|,0.0|0.0|,31;35;34|31;35;34|,32;30;38|32;30;38|,32;30;38|32;30;38|,100|100|,0;0;0|0;0;0|,100|100|,32;30;38|32;30;38|,32;30;38|32;30;38|,100|100|,100|100|
33,100|100|,32;30;38|32;30;38|,0.0|0.0|,32;30;38|32;30;38|,38;22;40|38;22;40|,38;22;40|38;22;40|,100|100|,0;0;0|0;0;0|,100|100|,38;22;40|38;22;40|,38;22;40|38;22;40|,100|100|,100|100|
34,100|100|,38;22;40|38;22;40|,0.0|0.0|,38;22;40|38;22;40|,40;25;35|40;25;35|,40;25;35|40;25;35|,100|100|,0;0;0|0;0;0|,100|100|,40;25;35|40;25;35|,40;25;35|40;25;35|,100|100|,100|100|
