Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,87;0;13;0|87;0;13;0|,87;0;13;0|87;0;13;0|,79;8;12;1|79;8;12;1|,79;8;12;1|79;8;12;1|,100|100|,0;0;0;0|0;0;0;0|,100|100|,79;8;12;1|79;8;12;1|,79;8;12;1|79;8;12;1|,100|100|,100|100|
1,100|100|,79;8;12;1|79;8;12;1|,79;8;12;1|79;8;12;1|,73;9;15;3|73;9;15;3|,73;9;15;3|73;9;15;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,73;9;15;3|73;9;15;3|,73;9;15;3|73;9;15;3|,100|100|,100|100|
2,100|100|,73;9;15;3|73;9;15;3|,73;9;15;3|73;9;15;3|,68;10;17;5|68;10;17;5|,68;10;17;5|68;10;17;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,68;10;17;5|68;10;17;5|,68;10;17;5|68;10;17;5|,100|100|,100|100|
3,100|100|,68;10;17;5|68;10;17;5|,68;10;17;5|68;10;17;5|,59;13;23;5|59;13;23;5|,59;13;23;5|59;13;23;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,59;13;23;5|59;13;23;5|,59;13;23;5|59;13;23;5|,100|100|,100|100|
4,100|100|,59;13;23;5|59;13;23;5|,59;13;23;5|59;13;23;5|,51;15;26;8|51;15;26;8|,51;15;26;8|51;15;26;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,51;15;26;8|51;15;26;8|,51;15;26;8|51;15;26;8|,100|100|,100|100|
5,100|100|,51;15;26;8|51;15;26;8|,51;15;26;8|51;15;26;8|,41;20;27;12|41;20;27;12|,41;20;27;12|41;20;27;12|,100|100|,0;0;0;0|0;0;0;0|,100|100|,41;20;27;12|41;20;27;12|,41;20;27;12|41;20;27;12|,100|100|,100|100|
6,100|100|,41;20;27;12|41;20;27;12|,41;20;27;12|41;20;27;12|,36;14;32;18|36;14;32;18|,36;14;32;18|36;14;32;18|,100|100|,0;0;0;0|0;0;0;0|,100|100|,36;14;32;18|36;14;32;18|,36;14;32;18|36;14;32;18|,100|100|,100|100|
7,100|100|,36;14;32;18|36;14;32;18|,36;14;32;18|36;14;32;18|,32;11;32;25|32;11;32;25|,32;11;32;25|32;11;32;25|,100|100|,0;0;0;0|0;0;0;0|,100|100|,32;11;32;25|32;11;32;25|,32;11;32;25|32;11;32;25|,100|100|,100|100|
8,100|100|,32;11;32;25|32;11;32;25|,32;11;32;25|32;11;32;25|,27;11;32;30|27;11;32;30|,27;11;32;30|27;11;32;30|,100|100|,0;0;0;0|0;0;0;0|,100|100|,27;11;32;30|27;11;32;30|,27;11;32;30|27;11;32;30|,100|100|,100|100|
9,100|100|,27;11;32;30|27;11;32;30|,27;11;32;30|27;11;32;30|,24;9;31;36|24;9;31;36|,24;9;31;36|24;9;31;36|,100|100|,0;0;0;0|0;0;0;0|,100|100|,24;9;31;36|24;9;31;36|,24;9;31;36|24;9;31;36|,100|100|,100|100|
10,100|100|,24;9;31;36|24;9;31;36|,24;9;31;36|24;9;31;36|,20;8;32;40|20;8;32;40|,20;8;32;40|20;8;32;40|,100|100|,0;0;0;0|0;0;0;0|,100|100|,20;8;32;40|20;8;32;40|,20;8;32;40|20;8;32;40|,100|100|,100|100|
11,100|100|,20;8;32;40|20;8;32;40|,20;8;32;40|20;8;32;40|,15;9;31;45|15;9;31;45|,15;9;31;45|15;9;31;45|,100|100|,0;0;0;0|0;0;0;0|,100|100|,15;9;31;45|15;9;31;45|,15;9;31;45|15;9;31;45|,100|100|,100|100|
12,100|100|,15;9;31;45|15;9;31;45|,15;9;31;45|15;9;31;45|,14;5;29;52|14;5;29;52|,14;5;29;52|14;5;29;52|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;5;29;52|14;5;29;52|,14;5;29;52|14;5;29;52|,100|100|,100|100|
13,100|100|,14;5;29;52|14;5;29;52|,14;5;29;52|14;5;29;52|,14;4;26;56|14;4;26;56|,14;4;26;56|14;4;26;56|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;4;26;56|14;4;26;56|,14;4;26;56|14;4;26;56|,100|100|,100|100|
14,100|100|,14;4;26;56|14;4;26;56|,14;4;26;56|14;4;26;56|,12;6;18;64|12;6;18;64|,12;6;18;64|12;6;18;64|,100|100|,0;0;0;0|0;0;0;0|,100|100|,12;6;18;64|12;6;18;64|,12;6;18;64|12;6;18;64|,100|100|,100|100|
15,100|100|,12;6;18;64|12;6;18;64|,12;6;18;64|12;6;18;64|,11;2;20;67|11;2;20;67|,11;2;20;67|11;2;20;67|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;2;20;67|11;2;20;67|,11;2;20;67|11;2;20;67|,100|100|,100|100|
16,100|100|,11;2;20;67|11;2;20;67|,11;2;20;67|11;2;20;67|,11;2;17;70|11;2;17;70|,11;2;17;70|11;2;17;70|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;2;17;70|11;2;17;70|,11;2;17;70|11;2;17;70|,100|100|,100|100|
17,100|100|,11;2;17;70|11;2;17;70|,11;2;17;70|11;2;17;70|,10;1;17;72|10;1;17;72|,10;1;17;72|10;1;17;72|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;1;17;72|10;1;17;72|,10;1;17;72|10;1;17;72|,100|100|,100|100|
18,100|100|,10;1;17;72|10;1;17;72|,10;1;17;72|10;1;17;72|,10;0;15;75|10;0;15;75|,10;0;15;75|10;0;15;75|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;15;75|10;0;15;75|,10;0;15;75|10;0;15;75|,100|100|,100|100|
19,100|100|,10;0;15;75|10;0;15;75|,10;0;15;75|10;0;15;75|,8;2;14;76|8;2;14;76|,8;2;14;76|8;2;14;76|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;2;14;76|8;2;14;76|,8;2;14;76|8;2;14;76|,100|100|,100|100|
20,100|100|,8;2;14;76|8;2;14;76|,8;2;14;76|8;2;14;76|,8;1;13;78|8;1;13;78|,8;1;13;78|8;1;13;78|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;1;13;78|8;1;13;78|,8;1;13;78|8;1;13;78|,100|100|,100|100|
21,100|100|,8;1;13;78|8;1;13;78|,8;1;13;78|8;1;13;78|,7;2;13;78|7;2;13;78|,7;2;13;78|7;2;13;78|,100|100|,0;0;0;0|0;0;0;0|,100|100|,7;2;13;78|7;2;13;78|,7;2;13;78|7;2;13;78|,100|100|,100|100|
22,100|100|,7;2;13;78|7;2;13;78|,7;2;13;78|7;2;13;78|,7;1;11;81|7;1;11;81|,7;1;11;81|7;1;11;81|,100|100|,0;0;0;0|0;0;0;0|,100|100|,7;1;11;81|7;1;11;81|,7;1;11;81|7;1;11;81|,100|100|,100|100|
