Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;8;0|92;8;0|,92;8;0|92;8;0|,89;9;2|89;9;2|,89;9;2|89;9;2|,100|100|,0;0;0|0;0;0|,100|100|,89;9;2|89;9;2|,89;9;2|89;9;2|,100|100|,100|100|
1,100|100|,89;9;2|89;9;2|,89;9;2|89;9;2|,87;10;3|87;10;3|,87;10;3|87;10;3|,100|100|,0;0;0|0;0;0|,100|100|,87;10;3|87;10;3|,87;10;3|87;10;3|,100|100|,100|100|
2,100|100|,87;10;3|87;10;3|,87;10;3|87;10;3|,79;17;4|79;17;4|,79;17;4|79;17;4|,100|100|,0;0;0|0;0;0|,100|100|,79;17;4|79;17;4|,79;17;4|79;17;4|,100|100|,100|100|
3,100|100|,79;17;4|79;17;4|,79;17;4|79;17;4|,70;25;5|70;25;5|,70;25;5|70;25;5|,100|100|,0;0;0|0;0;0|,100|100|,70;25;5|70;25;5|,70;25;5|70;25;5|,100|100|,100|100|
4,100|100|,70;25;5|70;25;5|,70;25;5|70;25;5|,60;31;9|60;31;9|,60;31;9|60;31;9|,100|100|,0;0;0|0;0;0|,100|100|,60;31;9|60;31;9|,60;31;9|60;31;9|,100|100|,100|100|
5,100|100|,60;31;9|60;31;9|,60;31;9|60;31;9|,50;33;17|50;33;17|,50;33;17|50;33;17|,100|100|,0;0;0|0;0;0|,100|100|,50;33;17|50;33;17|,50;33;17|50;33;17|,100|100|,100|100|
6,100|100|,50;33;17|50;33;17|,50;33;17|50;33;17|,42;35;23|42;35;23|,42;35;23|42;35;23|,100|100|,0;0;0|0;0;0|,100|100|,42;35;23|42;35;23|,42;35;23|42;35;23|,100|100|,100|100|
7,100|100|,42;35;23|42;35;23|,42;35;23|42;35;23|,32;38;30|32;38;30|,32;38;30|32;38;30|,100|100|,0;0;0|0;0;0|,100|100|,32;38;30|32;38;30|,32;38;30|32;38;30|,100|100|,100|100|
8,100|100|,32;38;30|32;38;30|,32;38;30|32;38;30|,25;37;38|25;37;38|,25;37;38|25;37;38|,100|100|,0;0;0|0;0;0|,100|100|,25;37;38|25;37;38|,25;37;38|25;37;38|,100|100|,100|100|
9,100|100|,25;37;38|25;37;38|,25;37;38|25;37;38|,24;33;43|24;33;43|,24;33;43|24;33;43|,100|100|,0;0;0|0;0;0|,100|100|,24;33;43|24;33;43|,24;33;43|24;33;43|,100|100|,100|100|
10,100|100|,24;33;43|24;33;43|,24;33;43|24;33;43|,21;30;49|21;30;49|,21;30;49|21;30;49|,100|100|,0;0;0|0;0;0|,100|100|,21;30;49|21;30;49|,21;30;49|21;30;49|,100|100|,100|100|
