Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,93;7;0|93;7;0|,93;7;0|93;7;0|,90;9;1|90;9;1|,90;9;1|90;9;1|,100|100|,0;0;0|0;0;0|,100|100|,90;9;1|90;9;1|,90;9;1|90;9;1|,100|100|,100|100|
1,100|100|,90;9;1|90;9;1|,90;9;1|90;9;1|,86;12;2|86;12;2|,86;12;2|86;12;2|,100|100|,0;0;0|0;0;0|,100|100|,86;12;2|86;12;2|,86;12;2|86;12;2|,100|100|,100|100|
2,100|100|,86;12;2|86;12;2|,86;12;2|86;12;2|,78;18;4|78;18;4|,78;18;4|78;18;4|,100|100|,0;0;0|0;0;0|,100|100|,78;18;4|78;18;4|,78;18;4|78;18;4|,100|100|,100|100|
3,100|100|,78;18;4|78;18;4|,78;18;4|78;18;4|,74;19;7|74;19;7|,74;19;7|74;19;7|,100|100|,0;0;0|0;0;0|,100|100|,74;19;7|74;19;7|,74;19;7|74;19;7|,100|100|,100|100|
4,100|100|,74;19;7|74;19;7|,74;19;7|74;19;7|,69;21;10|69;21;10|,69;21;10|69;21;10|,100|100|,0;0;0|0;0;0|,100|100|,69;21;10|69;21;10|,69;21;10|69;21;10|,100|100|,100|100|
5,100|100|,69;21;10|69;21;10|,69;21;10|69;21;10|,61;22;17|61;22;17|,61;22;17|61;22;17|,100|100|,0;0;0|0;0;0|,100|100|,61;22;17|61;22;17|,61;22;17|61;22;17|,100|100|,100|100|
6,100|100|,61;22;17|61;22;17|,61;22;17|61;22;17|,52;27;21|52;27;21|,52;27;21|52;27;21|,100|100|,0;0;0|0;0;0|,100|100|,52;27;21|52;27;21|,52;27;21|52;27;21|,100|100|,100|100|
7,100|100|,52;27;21|52;27;21|,52;27;21|52;27;21|,46;26;28|46;26;28|,46;26;28|46;26;28|,100|100|,0;0;0|0;0;0|,100|100|,46;26;28|46;26;28|,46;26;28|46;26;28|,100|100|,100|100|
8,100|100|,46;26;28|46;26;28|,46;26;28|46;26;28|,40;25;35|40;25;35|,40;25;35|40;25;35|,100|100|,0;0;0|0;0;0|,100|100|,40;25;35|40;25;35|,40;25;35|40;25;35|,100|100|,100|100|
9,100|100|,40;25;35|40;25;35|,40;25;35|40;25;35|,35;28;37|35;28;37|,35;28;37|35;28;37|,100|100|,0;0;0|0;0;0|,100|100|,35;28;37|35;28;37|,35;28;37|35;28;37|,100|100|,100|100|
10,100|100|,35;28;37|35;28;37|,35;28;37|35;28;37|,30;24;46|30;24;46|,30;24;46|30;24;46|,100|100|,0;0;0|0;0;0|,100|100|,30;24;46|30;24;46|,30;24;46|30;24;46|,100|100|,100|100|
11,100|100|,30;24;46|30;24;46|,30;24;46|30;24;46|,26;22;52|26;22;52|,26;22;52|26;22;52|,100|100|,0;0;0|0;0;0|,100|100|,26;22;52|26;22;52|,26;22;52|26;22;52|,100|100|,100|100|
12,100|100|,26;22;52|26;22;52|,26;22;52|26;22;52|,24;20;56|24;20;56|,24;20;56|24;20;56|,100|100|,0;0;0|0;0;0|,100|100|,24;20;56|24;20;56|,24;20;56|24;20;56|,100|100|,100|100|
13,100|100|,24;20;56|24;20;56|,24;20;56|24;20;56|,20;19;61|20;19;61|,20;19;61|20;19;61|,100|100|,0;0;0|0;0;0|,100|100|,20;19;61|20;19;61|,20;19;61|20;19;61|,100|100|,100|100|
14,100|100|,20;19;61|20;19;61|,20;19;61|20;19;61|,18;17;65|18;17;65|,18;17;65|18;17;65|,100|100|,0;0;0|0;0;0|,100|100|,18;17;65|18;17;65|,18;17;65|18;17;65|,100|100|,100|100|
15,100|100|,18;17;65|18;17;65|,18;17;65|18;17;65|,18;14;68|18;14;68|,18;14;68|18;14;68|,100|100|,0;0;0|0;0;0|,100|100|,18;14;68|18;14;68|,18;14;68|18;14;68|,100|100|,100|100|
16,100|100|,18;14;68|18;14;68|,18;14;68|18;14;68|,17;12;71|17;12;71|,17;12;71|17;12;71|,100|100|,0;0;0|0;0;0|,100|100|,17;12;71|17;12;71|,17;12;71|17;12;71|,100|100|,100|100|
17,100|100|,17;12;71|17;12;71|,17;12;71|17;12;71|,15;13;72|15;13;72|,15;13;72|15;13;72|,100|100|,0;0;0|0;0;0|,100|100|,15;13;72|15;13;72|,15;13;72|15;13;72|,100|100|,100|100|
