Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,10.0|10.0|,90;10;0|90;10;0|,88;11;1|88;11;1|,88;11;1|88;11;1|,100|100|,0;0;0|0;0;0|,100|100|,88;11;1|88;11;1|,88;11;1|88;11;1|,100|100|,100|100|
1,100|100|,88;11;1|88;11;1|,9.6|9.6|,88;11;1|88;11;1|,85;13;2|85;13;2|,85;13;2|85;13;2|,100|100|,0;0;0|0;0;0|,100|100|,85;13;2|85;13;2|,85;13;2|85;13;2|,100|100|,100|100|
2,100|100|,85;13;2|85;13;2|,9.46|9.46|,85;13;2|85;13;2|,79;19;2|79;19;2|,79;19;2|79;19;2|,100|100|,0;0;0|0;0;0|,100|100|,79;19;2|79;19;2|,79;19;2|79;19;2|,100|100|,100|100|
3,100|100|,79;19;2|79;19;2|,9.94|9.94|,79;19;2|79;19;2|,76;21;3|76;21;3|,76;21;3|76;21;3|,100|100|,0;0;0|0;0;0|,100|100|,76;21;3|76;21;3|,76;21;3|76;21;3|,100|100|,100|100|
4,100|100|,76;21;3|76;21;3|,10.55|10.55|,76;21;3|76;21;3|,71;26;3|71;26;3|,71;26;3|71;26;3|,100|100|,0;0;0|0;0;0|,100|100|,71;26;3|71;26;3|,71;26;3|71;26;3|,100|100|,100|100|
5,100|100|,71;26;3|71;26;3|,11.57|11.57|,71;26;3|71;26;3|,64;32;4|64;32;4|,64;32;4|64;32;4|,100|100|,0;0;0|0;0;0|,100|100|,64;32;4|64;32;4|,64;32;4|64;32;4|,100|100|,100|100|
6,100|100|,64;32;4|64;32;4|,13.03|13.03|,64;32;4|64;32;4|,53;43;4|53;43;4|,53;43;4|53;43;4|,100|100|,0;0;0|0;0;0|,100|100|,53;43;4|53;43;4|,53;43;4|53;43;4|,100|100|,100|100|
7,100|100|,53;43;4|53;43;4|,15.38|15.38|,53;43;4|53;43;4|,46;46;8|46;46;8|,46;46;8|46;46;8|,100|100|,0;0;0|0;0;0|,100|100|,46;46;8|46;46;8|,46;46;8|46;46;8|,100|100|,100|100|
8,100|100|,46;46;8|46;46;8|,17.67|17.67|,46;46;8|46;46;8|,37;52;11|37;52;11|,37;52;11|37;52;11|,100|100|,0;0;0|0;0;0|,100|100|,37;52;11|37;52;11|,37;52;11|37;52;11|,100|100|,100|100|
9,100|100|,37;52;11|37;52;11|,20.22|20.22|,37;52;11|37;52;11|,29;56;15|29;56;15|,29;56;15|29;56;15|,100|100|,0;0;0|0;0;0|,100|100|,29;56;15|29;56;15|,29;56;15|29;56;15|,100|100|,100|100|
10,100|100|,29;56;15|29;56;15|,22.79|22.79|,29;56;15|29;56;15|,21;63;16|21;63;16|,21;63;16|21;63;16|,100|100|,0;0;0|0;0;0|,100|100|,21;63;16|21;63;16|,21;63;16|21;63;16|,100|100|,100|100|
11,100|100|,21;63;16|21;63;16|,25.67|25.67|,21;63;16|21;63;16|,16;66;18|16;66;18|,16;66;18|16;66;18|,100|100|,0;0;0|0;0;0|,100|100|,16;66;18|16;66;18|,16;66;18|16;66;18|,100|100|,100|100|
12,100|100|,16;66;18|16;66;18|,28.42|28.42|,16;66;18|16;66;18|,12;68;20|12;68;20|,12;68;20|12;68;20|,100|100|,0;0;0|0;0;0|,100|100|,12;68;20|12;68;20|,12;68;20|12;68;20|,100|100|,100|100|
13,100|100|,12;68;20|12;68;20|,30.96|30.96|,12;68;20|12;68;20|,10;69;21|10;69;21|,10;69;21|10;69;21|,100|100|,0;0;0|0;0;0|,100|100|,10;69;21|10;69;21|,10;69;21|10;69;21|,100|100|,100|100|
14,100|100|,10;69;21|10;69;21|,33.21|33.21|,10;69;21|10;69;21|,9;68;23|9;68;23|,9;68;23|9;68;23|,100|100|,0;0;0|0;0;0|,100|100|,9;68;23|9;68;23|,9;68;23|9;68;23|,100|100|,100|100|
15,100|100|,9;68;23|9;68;23|,35.03|35.03|,9;68;23|9;68;23|,8;67;25|8;67;25|,8;67;25|8;67;25|,100|100|,0;0;0|0;0;0|,100|100|,8;67;25|8;67;25|,8;67;25|8;67;25|,100|100|,100|100|
16,100|100|,8;67;25|8;67;25|,36.48|36.48|,8;67;25|8;67;25|,4;68;28|4;68;28|,4;68;28|4;68;28|,100|100|,0;0;0|0;0;0|,100|100|,4;68;28|4;68;28|,4;68;28|4;68;28|,100|100|,100|100|
17,100|100|,4;68;28|4;68;28|,37.8|37.8|,4;68;28|4;68;28|,2;66;32|2;66;32|,2;66;32|2;66;32|,100|100|,0;0;0|0;0;0|,100|100|,2;66;32|2;66;32|,2;66;32|2;66;32|,100|100|,100|100|
18,100|100|,2;66;32|2;66;32|,38.73|38.73|,2;66;32|2;66;32|,1;63;36|1;63;36|,1;63;36|1;63;36|,100|100|,0;0;0|0;0;0|,100|100|,1;63;36|1;63;36|,1;63;36|1;63;36|,100|100|,100|100|
19,100|100|,1;63;36|1;63;36|,39.22|39.22|,1;63;36|1;63;36|,1;62;37|1;62;37|,1;62;37|1;62;37|,100|100|,0;0;0|0;0;0|,100|100|,1;62;37|1;62;37|,1;62;37|1;62;37|,100|100|,100|100|
20,100|100|,1;62;37|1;62;37|,39.54|39.54|,1;62;37|1;62;37|,1;60;39|1;60;39|,1;60;39|1;60;39|,100|100|,0;0;0|0;0;0|,100|100|,1;60;39|1;60;39|,1;60;39|1;60;39|,100|100|,100|100|
21,100|100|,1;60;39|1;60;39|,39.61|39.61|,1;60;39|1;60;39|,0;59;41|0;59;41|,0;59;41|0;59;41|,100|100|,0;0;0|0;0;0|,100|100|,0;59;41|0;59;41|,0;59;41|0;59;41|,100|100|,100|100|
22,100|100|,0;59;41|0;59;41|,39.57|39.57|,0;59;41|0;59;41|,0;57;43|0;57;43|,0;57;43|0;57;43|,100|100|,0;0;0|0;0;0|,100|100|,0;57;43|0;57;43|,0;57;43|0;57;43|,100|100|,100|100|
23,100|100|,0;57;43|0;57;43|,39.33|39.33|,0;57;43|0;57;43|,0;54;46|0;54;46|,0;54;46|0;54;46|,100|100|,0;0;0|0;0;0|,100|100|,0;54;46|0;54;46|,0;54;46|0;54;46|,100|100|,100|100|
24,100|100|,0;54;46|0;54;46|,38.83|38.83|,0;54;46|0;54;46|,0;49;51|0;49;51|,0;49;51|0;49;51|,100|100|,0;0;0|0;0;0|,100|100|,0;49;51|0;49;51|,0;49;51|0;49;51|,100|100|,100|100|
