Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,90;10;0|90;10;0|,86;11;3|86;11;3|,86;11;3|86;11;3|,100|100|,0;0;0|0;0;0|,100|100|,86;11;3|86;11;3|,86;11;3|86;11;3|,100|100|,100|100|
1,100|100|,86;11;3|86;11;3|,86;11;3|86;11;3|,81;14;5|81;14;5|,81;14;5|81;14;5|,100|100|,0;0;0|0;0;0|,100|100|,81;14;5|81;14;5|,81;14;5|81;14;5|,100|100|,100|100|
2,100|100|,81;14;5|81;14;5|,81;14;5|81;14;5|,72;21;7|72;21;7|,72;21;7|72;21;7|,100|100|,0;0;0|0;0;0|,100|100|,72;21;7|72;21;7|,72;21;7|72;21;7|,100|100|,100|100|
3,100|100|,72;21;7|72;21;7|,72;21;7|72;21;7|,64;26;10|64;26;10|,64;26;10|64;26;10|,100|100|,0;0;0|0;0;0|,100|100|,64;26;10|64;26;10|,64;26;10|64;26;10|,100|100|,100|100|
4,100|100|,64;26;10|64;26;10|,64;26;10|64;26;10|,59;24;17|59;24;17|,59;24;17|59;24;17|,100|100|,0;0;0|0;0;0|,100|100|,59;24;17|59;24;17|,59;24;17|59;24;17|,100|100|,100|100|
5,100|100|,59;24;17|59;24;17|,59;24;17|59;24;17|,48;32;20|48;32;20|,48;32;20|48;32;20|,100|100|,0;0;0|0;0;0|,100|100|,48;32;20|48;32;20|,48;32;20|48;32;20|,100|100|,100|100|
6,100|100|,48;32;20|48;32;20|,48;32;20|48;32;20|,43;34;23|43;34;23|,43;34;23|43;34;23|,100|100|,0;0;0|0;0;0|,100|100|,43;34;23|43;34;23|,43;34;23|43;34;23|,100|100|,100|100|
7,100|100|,43;34;23|43;34;23|,43;34;23|43;34;23|,37;32;31|37;32;31|,37;32;31|37;32;31|,100|100|,0;0;0|0;0;0|,100|100|,37;32;31|37;32;31|,37;32;31|37;32;31|,100|100|,100|100|
8,100|100|,37;32;31|37;32;31|,37;32;31|37;32;31|,35;30;35|35;30;35|,35;30;35|35;30;35|,100|100|,0;0;0|0;0;0|,100|100|,35;30;35|35;30;35|,35;30;35|35;30;35|,100|100|,100|100|
9,100|100|,35;30;35|35;30;35|,35;30;35|35;30;35|,29;31;40|29;31;40|,29;31;40|29;31;40|,100|100|,0;0;0|0;0;0|,100|100|,29;31;40|29;31;40|,29;31;40|29;31;40|,100|100|,100|100|
10,100|100|,29;31;40|29;31;40|,29;31;40|29;31;40|,26;31;43|26;31;43|,26;31;43|26;31;43|,100|100|,0;0;0|0;0;0|,100|100|,26;31;43|26;31;43|,26;31;43|26;31;43|,100|100|,100|100|
11,100|100|,26;31;43|26;31;43|,26;31;43|26;31;43|,20;31;49|20;31;49|,20;31;49|20;31;49|,100|100|,0;0;0|0;0;0|,100|100|,20;31;49|20;31;49|,20;31;49|20;31;49|,100|100|,100|100|
12,100|100|,20;31;49|20;31;49|,20;31;49|20;31;49|,18;22;60|18;22;60|,18;22;60|18;22;60|,100|100|,0;0;0|0;0;0|,100|100|,18;22;60|18;22;60|,18;22;60|18;22;60|,100|100|,100|100|
13,100|100|,18;22;60|18;22;60|,18;22;60|18;22;60|,15;20;65|15;20;65|,15;20;65|15;20;65|,100|100|,0;0;0|0;0;0|,100|100|,15;20;65|15;20;65|,15;20;65|15;20;65|,100|100|,100|100|
14,100|100|,15;20;65|15;20;65|,15;20;65|15;20;65|,15;15;70|15;15;70|,15;15;70|15;15;70|,100|100|,0;0;0|0;0;0|,100|100|,15;15;70|15;15;70|,15;15;70|15;15;70|,100|100|,100|100|
15,100|100|,15;15;70|15;15;70|,15;15;70|15;15;70|,15;12;73|15;12;73|,15;12;73|15;12;73|,100|100|,0;0;0|0;0;0|,100|100|,15;12;73|15;12;73|,15;12;73|15;12;73|,100|100|,100|100|
16,100|100|,15;12;73|15;12;73|,15;12;73|15;12;73|,14;11;75|14;11;75|,14;11;75|14;11;75|,100|100|,0;0;0|0;0;0|,100|100|,14;11;75|14;11;75|,14;11;75|14;11;75|,100|100|,100|100|
17,100|100|,14;11;75|14;11;75|,14;11;75|14;11;75|,13;11;76|13;11;76|,13;11;76|13;11;76|,100|100|,0;0;0|0;0;0|,100|100|,13;11;76|13;11;76|,13;11;76|13;11;76|,100|100|,100|100|
