Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,87;13;0|87;13;0|,0.0|0.0|,87;13;0|87;13;0|,83;15;2|83;15;2|,83;15;2|83;15;2|,100|100|,0;0;0|0;0;0|,100|100|,83;15;2|83;15;2|,83;15;2|83;15;2|,100|100|,100|100|
1,100|100|,83;15;2|83;15;2|,0.0|0.0|,83;15;2|83;15;2|,80;16;4|80;16;4|,80;16;4|80;16;4|,100|100|,0;0;0|0;0;0|,100|100|,80;16;4|80;16;4|,80;16;4|80;16;4|,100|100|,100|100|
2,100|100|,80;16;4|80;16;4|,0.0|0.0|,80;16;4|80;16;4|,72;20;8|72;20;8|,72;20;8|72;20;8|,100|100|,0;0;0|0;0;0|,100|100|,72;20;8|72;20;8|,72;20;8|72;20;8|,100|100|,100|100|
3,100|100|,72;20;8|72;20;8|,0.0|0.0|,72;20;8|72;20;8|,64;22;14|64;22;14|,64;22;14|64;22;14|,100|100|,0;0;0|0;0;0|,100|100|,64;22;14|64;22;14|,64;22;14|64;22;14|,100|100|,100|100|
4,100|100|,64;22;14|64;22;14|,0.0|0.0|,64;22;14|64;22;14|,61;20;19|61;20;19|,61;20;19|61;20;19|,100|100|,0;0;0|0;0;0|,100|100|,61;20;19|61;20;19|,61;20;19|61;20;19|,100|100|,100|100|
5,100|100|,61;20;19|61;20;19|,0.0|0.0|,61;20;19|61;20;19|,52;24;24|52;24;24|,52;24;24|52;24;24|,100|100|,0;0;0|0;0;0|,100|100|,52;24;24|52;24;24|,52;24;24|52;24;24|,100|100|,100|100|
6,100|100|,52;24;24|52;24;24|,0.0|0.0|,52;24;24|52;24;24|,49;22;29|49;22;29|,49;22;29|49;22;29|,100|100|,0;0;0|0;0;0|,100|100|,49;22;29|49;22;29|,49;22;29|49;22;29|,100|100|,100|100|
7,100|100|,49;22;29|49;22;29|,0.0|0.0|,49;22;29|49;22;29|,46;19;35|46;19;35|,46;19;35|46;19;35|,100|100|,0;0;0|0;0;0|,100|100|,46;19;35|46;19;35|,46;19;35|46;19;35|,100|100|,100|100|
8,100|100|,46;19;35|46;19;35|,0.0|0.0|,46;19;35|46;19;35|,40;18;42|40;18;42|,40;18;42|40;18;42|,100|100|,0;0;0|0;0;0|,100|100|,40;18;42|40;18;42|,40;18;42|40;18;42|,100|100|,100|100|
9,100|100|,40;18;42|40;18;42|,0.0|0.0|,40;18;42|40;18;42|,38;17;45|38;17;45|,38;17;45|38;17;45|,100|100|,0;0;0|0;0;0|,100|100|,38;17;45|38;17;45|,38;17;45|38;17;45|,100|100|,100|100|
10,100|100|,38;17;45|38;17;45|,0.0|0.0|,38;17;45|38;17;45|,34;18;48|34;18;48|,34;18;48|34;18;48|,100|100|,0;0;0|0;0;0|,100|100|,34;18;48|34;18;48|,34;18;48|34;18;48|,100|100|,100|100|
