Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,87;13;0|87;13;0|,0.0|0.0|,87;13;0|87;13;0|,83;13;4|83;13;4|,83;13;4|83;13;4|,100|100|,0;0;0|0;0;0|,100|100|,83;13;4|83;13;4|,83;13;4|83;13;4|,100|100|,100|100|
1,100|100|,83;13;4|83;13;4|,0.0|0.0|,83;13;4|83;13;4|,75;21;4|75;21;4|,75;21;4|75;21;4|,100|100|,0;0;0|0;0;0|,100|100|,75;21;4|75;21;4|,75;21;4|75;21;4|,100|100|,100|100|
2,100|100|,75;21;4|75;21;4|,0.0|0.0|,75;21;4|75;21;4|,63;28;9|63;28;9|,63;28;9|63;28;9|,100|100|,0;0;0|0;0;0|,100|100|,63;28;9|63;28;9|,63;28;9|63;28;9|,100|100|,100|100|
3,100|100|,63;28;9|63;28;9|,0.0|0.0|,63;28;9|63;28;9|,52;35;13|52;35;13|,52;35;13|52;35;13|,100|100|,0;0;0|0;0;0|,100|100|,52;35;13|52;35;13|,52;35;13|52;35;13|,100|100|,100|100|
4,100|100|,52;35;13|52;35;13|,0.0|0.0|,52;35;13|52;35;13|,42;37;21|42;37;21|,42;37;21|42;37;21|,100|100|,0;0;0|0;0;0|,100|100|,42;37;21|42;37;21|,42;37;21|42;37;21|,100|100|,100|100|
5,100|100|,42;37;21|42;37;21|,0.0|0.0|,42;37;21|42;37;21|,35;37;28|35;37;28|,35;37;28|35;37;28|,100|100|,0;0;0|0;0;0|,100|100|,35;37;28|35;37;28|,35;37;28|35;37;28|,100|100|,100|100|
6,100|100|,35;37;28|35;37;28|,0.0|0.0|,35;37;28|35;37;28|,28;35;37|28;35;37|,28;35;37|28;35;37|,100|100|,0;0;0|0;0;0|,100|100|,28;35;37|28;35;37|,28;35;37|28;35;37|,100|100|,100|100|
7,100|100|,28;35;37|28;35;37|,0.0|0.0|,28;35;37|28;35;37|,23;34;43|23;34;43|,23;34;43|23;34;43|,100|100|,0;0;0|0;0;0|,100|100|,23;34;43|23;34;43|,23;34;43|23;34;43|,100|100|,100|100|
8,100|100|,23;34;43|23;34;43|,0.0|0.0|,23;34;43|23;34;43|,20;25;55|20;25;55|,20;25;55|20;25;55|,100|100|,0;0;0|0;0;0|,100|100|,20;25;55|20;25;55|,20;25;55|20;25;55|,100|100|,100|100|
9,100|100|,20;25;55|20;25;55|,0.0|0.0|,20;25;55|20;25;55|,19;20;61|19;20;61|,19;20;61|19;20;61|,100|100|,0;0;0|0;0;0|,100|100|,19;20;61|19;20;61|,19;20;61|19;20;61|,100|100|,100|100|
10,100|100|,19;20;61|19;20;61|,0.0|0.0|,19;20;61|19;20;61|,17;18;65|17;18;65|,17;18;65|17;18;65|,100|100|,0;0;0|0;0;0|,100|100|,17;18;65|17;18;65|,17;18;65|17;18;65|,100|100|,100|100|
