Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;0;12;0|88;0;12;0|,88;0;12;0|88;0;12;0|,83;5;8;4|83;5;8;4|,83;5;8;4|83;5;8;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,83;5;8;4|83;5;8;4|,83;5;8;4|83;5;8;4|,100|100|,100|100|
1,100|100|,83;5;8;4|83;5;8;4|,83;5;8;4|83;5;8;4|,76;11;7;6|76;11;7;6|,76;11;7;6|76;11;7;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,76;11;7;6|76;11;7;6|,76;11;7;6|76;11;7;6|,100|100|,100|100|
2,100|100|,76;11;7;6|76;11;7;6|,76;11;7;6|76;11;7;6|,71;10;12;7|71;10;12;7|,71;10;12;7|71;10;12;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,71;10;12;7|71;10;12;7|,71;10;12;7|71;10;12;7|,100|100|,100|100|
3,100|100|,71;10;12;7|71;10;12;7|,71;10;12;7|71;10;12;7|,70;6;17;7|70;6;17;7|,70;6;17;7|70;6;17;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,70;6;17;7|70;6;17;7|,70;6;17;7|70;6;17;7|,100|100|,100|100|
4,100|100|,70;6;17;7|70;6;17;7|,70;6;17;7|70;6;17;7|,64;9;18;9|64;9;18;9|,64;9;18;9|64;9;18;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,64;9;18;9|64;9;18;9|,64;9;18;9|64;9;18;9|,100|100|,100|100|
5,100|100|,64;9;18;9|64;9;18;9|,64;9;18;9|64;9;18;9|,56;15;17;12|56;15;17;12|,56;15;17;12|56;15;17;12|,100|100|,0;0;0;0|0;0;0;0|,100|100|,56;15;17;12|56;15;17;12|,56;15;17;12|56;15;17;12|,100|100|,100|100|
6,100|100|,56;15;17;12|56;15;17;12|,56;15;17;12|56;15;17;12|,49;18;19;14|49;18;19;14|,49;18;19;14|49;18;19;14|,100|100|,0;0;0;0|0;0;0;0|,100|100|,49;18;19;14|49;18;19;14|,49;18;19;14|49;18;19;14|,100|100|,100|100|
7,100|100|,49;18;19;14|49;18;19;14|,49;18;19;14|49;18;19;14|,46;11;27;16|46;11;27;16|,46;11;27;16|46;11;27;16|,100|100|,0;0;0;0|0;0;0;0|,100|100|,46;11;27;16|46;11;27;16|,46;11;27;16|46;11;27;16|,100|100|,100|100|
8,100|100|,46;11;27;16|46;11;27;16|,46;11;27;16|46;11;27;16|,38;12;26;24|38;12;26;24|,38;12;26;24|38;12;26;24|,100|100|,0;0;0;0|0;0;0;0|,100|100|,38;12;26;24|38;12;26;24|,38;12;26;24|38;12;26;24|,100|100|,100|100|
9,100|100|,38;12;26;24|38;12;26;24|,38;12;26;24|38;12;26;24|,35;11;23;31|35;11;23;31|,35;11;23;31|35;11;23;31|,100|100|,0;0;0;0|0;0;0;0|,100|100|,35;11;23;31|35;11;23;31|,35;11;23;31|35;11;23;31|,100|100|,100|100|
