Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,90;10;0|90;10;0|,88;9;3|88;9;3|,88;9;3|88;9;3|,100|100|,0;0;0|0;0;0|,100|100|,88;9;3|88;9;3|,88;9;3|88;9;3|,100|100|,100|100|
1,100|100|,88;9;3|88;9;3|,88;9;3|88;9;3|,86;11;3|86;11;3|,86;11;3|86;11;3|,100|100|,0;0;0|0;0;0|,100|100|,86;11;3|86;11;3|,86;11;3|86;11;3|,100|100|,100|100|
2,100|100|,86;11;3|86;11;3|,86;11;3|86;11;3|,86;10;4|86;10;4|,86;10;4|86;10;4|,100|100|,0;0;0|0;0;0|,100|100|,86;10;4|86;10;4|,86;10;4|86;10;4|,100|100|,100|100|
3,100|100|,86;10;4|86;10;4|,86;10;4|86;10;4|,77;17;6|77;17;6|,77;17;6|77;17;6|,100|100|,0;0;0|0;0;0|,100|100|,77;17;6|77;17;6|,77;17;6|77;17;6|,100|100|,100|100|
4,100|100|,77;17;6|77;17;6|,77;17;6|77;17;6|,68;25;7|68;25;7|,68;25;7|68;25;7|,100|100|,0;0;0|0;0;0|,100|100|,68;25;7|68;25;7|,68;25;7|68;25;7|,100|100|,100|100|
5,100|100|,68;25;7|68;25;7|,68;25;7|68;25;7|,56;30;14|56;30;14|,56;30;14|56;30;14|,100|100|,0;0;0|0;0;0|,100|100|,56;30;14|56;30;14|,56;30;14|56;30;14|,100|100|,100|100|
6,100|100|,56;30;14|56;30;14|,56;30;14|56;30;14|,49;29;22|49;29;22|,49;29;22|49;29;22|,100|100|,0;0;0|0;0;0|,100|100|,49;29;22|49;29;22|,49;29;22|49;29;22|,100|100|,100|100|
7,100|100|,49;29;22|49;29;22|,49;29;22|49;29;22|,39;32;29|39;32;29|,39;32;29|39;32;29|,100|100|,0;0;0|0;0;0|,100|100|,39;32;29|39;32;29|,39;32;29|39;32;29|,100|100|,100|100|
8,100|100|,39;32;29|39;32;29|,39;32;29|39;32;29|,30;37;33|30;37;33|,30;37;33|30;37;33|,100|100|,0;0;0|0;0;0|,100|100|,30;37;33|30;37;33|,30;37;33|30;37;33|,100|100|,100|100|
9,100|100|,30;37;33|30;37;33|,30;37;33|30;37;33|,26;34;40|26;34;40|,26;34;40|26;34;40|,100|100|,0;0;0|0;0;0|,100|100|,26;34;40|26;34;40|,26;34;40|26;34;40|,100|100|,100|100|
10,100|100|,26;34;40|26;34;40|,26;34;40|26;34;40|,22;31;47|22;31;47|,22;31;47|22;31;47|,100|100|,0;0;0|0;0;0|,100|100|,22;31;47|22;31;47|,22;31;47|22;31;47|,100|100|,100|100|
11,100|100|,22;31;47|22;31;47|,22;31;47|22;31;47|,18;31;51|18;31;51|,18;31;51|18;31;51|,100|100|,0;0;0|0;0;0|,100|100|,18;31;51|18;31;51|,18;31;51|18;31;51|,100|100|,100|100|
12,100|100|,18;31;51|18;31;51|,18;31;51|18;31;51|,16;26;58|16;26;58|,16;26;58|16;26;58|,100|100|,0;0;0|0;0;0|,100|100|,16;26;58|16;26;58|,16;26;58|16;26;58|,100|100|,100|100|
13,100|100|,16;26;58|16;26;58|,16;26;58|16;26;58|,15;22;63|15;22;63|,15;22;63|15;22;63|,100|100|,0;0;0|0;0;0|,100|100|,15;22;63|15;22;63|,15;22;63|15;22;63|,100|100|,100|100|
14,100|100|,15;22;63|15;22;63|,15;22;63|15;22;63|,13;22;65|13;22;65|,13;22;65|13;22;65|,100|100|,0;0;0|0;0;0|,100|100|,13;22;65|13;22;65|,13;22;65|13;22;65|,100|100|,100|100|
