Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;8;0|92;8;0|,92;8;0|92;8;0|,90;10;0|90;10;0|,90;10;0|90;10;0|,100|100|,0;0;0|0;0;0|,100|100|,90;10;0|90;10;0|,90;10;0|90;10;0|,100|100|,100|100|
1,100|100|,90;10;0|90;10;0|,90;10;0|90;10;0|,88;11;1|88;11;1|,88;11;1|88;11;1|,100|100|,0;0;0|0;0;0|,100|100|,88;11;1|88;11;1|,88;11;1|88;11;1|,100|100|,100|100|
2,100|100|,88;11;1|88;11;1|,88;11;1|88;11;1|,83;16;1|83;16;1|,83;16;1|83;16;1|,100|100|,0;0;0|0;0;0|,100|100|,83;16;1|83;16;1|,83;16;1|83;16;1|,100|100|,100|100|
3,100|100|,83;16;1|83;16;1|,83;16;1|83;16;1|,79;18;3|79;18;3|,79;18;3|79;18;3|,100|100|,0;0;0|0;0;0|,100|100|,79;18;3|79;18;3|,79;18;3|79;18;3|,100|100|,100|100|
4,100|100|,79;18;3|79;18;3|,79;18;3|79;18;3|,69;25;6|69;25;6|,69;25;6|69;25;6|,100|100|,0;0;0|0;0;0|,100|100|,69;25;6|69;25;6|,69;25;6|69;25;6|,100|100|,100|100|
5,100|100|,69;25;6|69;25;6|,69;25;6|69;25;6|,60;29;11|60;29;11|,60;29;11|60;29;11|,100|100|,0;0;0|0;0;0|,100|100|,60;29;11|60;29;11|,60;29;11|60;29;11|,100|100|,100|100|
6,100|100|,60;29;11|60;29;11|,60;29;11|60;29;11|,54;30;16|54;30;16|,54;30;16|54;30;16|,100|100|,0;0;0|0;0;0|,100|100|,54;30;16|54;30;16|,54;30;16|54;30;16|,100|100|,100|100|
7,100|100|,54;30;16|54;30;16|,54;30;16|54;30;16|,44;34;22|44;34;22|,44;34;22|44;34;22|,100|100|,0;0;0|0;0;0|,100|100|,44;34;22|44;34;22|,44;34;22|44;34;22|,100|100|,100|100|
8,100|100|,44;34;22|44;34;22|,44;34;22|44;34;22|,37;32;31|37;32;31|,37;32;31|37;32;31|,100|100|,0;0;0|0;0;0|,100|100|,37;32;31|37;32;31|,37;32;31|37;32;31|,100|100|,100|100|
9,100|100|,37;32;31|37;32;31|,37;32;31|37;32;31|,33;30;37|33;30;37|,33;30;37|33;30;37|,100|100|,0;0;0|0;0;0|,100|100|,33;30;37|33;30;37|,33;30;37|33;30;37|,100|100|,100|100|
10,100|100|,33;30;37|33;30;37|,33;30;37|33;30;37|,27;29;44|27;29;44|,27;29;44|27;29;44|,100|100|,0;0;0|0;0;0|,100|100|,27;29;44|27;29;44|,27;29;44|27;29;44|,100|100|,100|100|
