Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,90;10;0|90;10;0|,85;12;3|85;12;3|,85;12;3|85;12;3|,100|100|,0;0;0|0;0;0|,100|100|,85;12;3|85;12;3|,85;12;3|85;12;3|,100|100|,100|100|
1,100|100|,85;12;3|85;12;3|,85;12;3|85;12;3|,81;11;8|81;11;8|,81;11;8|81;11;8|,100|100|,0;0;0|0;0;0|,100|100|,81;11;8|81;11;8|,81;11;8|81;11;8|,100|100|,100|100|
2,100|100|,81;11;8|81;11;8|,81;11;8|81;11;8|,74;16;10|74;16;10|,74;16;10|74;16;10|,100|100|,0;0;0|0;0;0|,100|100|,74;16;10|74;16;10|,74;16;10|74;16;10|,100|100|,100|100|
3,100|100|,74;16;10|74;16;10|,74;16;10|74;16;10|,72;16;12|72;16;12|,72;16;12|72;16;12|,100|100|,0;0;0|0;0;0|,100|100|,72;16;12|72;16;12|,72;16;12|72;16;12|,100|100|,100|100|
4,100|100|,72;16;12|72;16;12|,72;16;12|72;16;12|,69;16;15|69;16;15|,69;16;15|69;16;15|,100|100|,0;0;0|0;0;0|,100|100|,69;16;15|69;16;15|,69;16;15|69;16;15|,100|100|,100|100|
5,100|100|,69;16;15|69;16;15|,69;16;15|69;16;15|,61;21;18|61;21;18|,61;21;18|61;21;18|,100|100|,0;0;0|0;0;0|,100|100|,61;21;18|61;21;18|,61;21;18|61;21;18|,100|100|,100|100|
6,100|100|,61;21;18|61;21;18|,61;21;18|61;21;18|,55;22;23|55;22;23|,55;22;23|55;22;23|,100|100|,0;0;0|0;0;0|,100|100|,55;22;23|55;22;23|,55;22;23|55;22;23|,100|100|,100|100|
7,100|100|,55;22;23|55;22;23|,55;22;23|55;22;23|,49;24;27|49;24;27|,49;24;27|49;24;27|,100|100|,0;0;0|0;0;0|,100|100|,49;24;27|49;24;27|,49;24;27|49;24;27|,100|100|,100|100|
8,100|100|,49;24;27|49;24;27|,49;24;27|49;24;27|,38;33;29|38;33;29|,38;33;29|38;33;29|,100|100|,0;0;0|0;0;0|,100|100|,38;33;29|38;33;29|,38;33;29|38;33;29|,100|100|,100|100|
9,100|100|,38;33;29|38;33;29|,38;33;29|38;33;29|,31;35;34|31;35;34|,31;35;34|31;35;34|,100|100|,0;0;0|0;0;0|,100|100|,31;35;34|31;35;34|,31;35;34|31;35;34|,100|100|,100|100|
10,100|100|,31;35;34|31;35;34|,31;35;34|31;35;34|,24;34;42|24;34;42|,24;34;42|24;34;42|,100|100|,0;0;0|0;0;0|,100|100|,24;34;42|24;34;42|,24;34;42|24;34;42|,100|100|,100|100|
11,100|100|,24;34;42|24;34;42|,24;34;42|24;34;42|,14;38;48|14;38;48|,14;38;48|14;38;48|,100|100|,0;0;0|0;0;0|,100|100|,14;38;48|14;38;48|,14;38;48|14;38;48|,100|100|,100|100|
12,100|100|,14;38;48|14;38;48|,14;38;48|14;38;48|,13;31;56|13;31;56|,13;31;56|13;31;56|,100|100|,0;0;0|0;0;0|,100|100|,13;31;56|13;31;56|,13;31;56|13;31;56|,100|100|,100|100|
13,100|100|,13;31;56|13;31;56|,13;31;56|13;31;56|,12;29;59|12;29;59|,12;29;59|12;29;59|,100|100|,0;0;0|0;0;0|,100|100|,12;29;59|12;29;59|,12;29;59|12;29;59|,100|100|,100|100|
14,100|100|,12;29;59|12;29;59|,12;29;59|12;29;59|,9;23;68|9;23;68|,9;23;68|9;23;68|,100|100|,0;0;0|0;0;0|,100|100|,9;23;68|9;23;68|,9;23;68|9;23;68|,100|100|,100|100|
15,100|100|,9;23;68|9;23;68|,9;23;68|9;23;68|,6;21;73|6;21;73|,6;21;73|6;21;73|,100|100|,0;0;0|0;0;0|,100|100|,6;21;73|6;21;73|,6;21;73|6;21;73|,100|100|,100|100|
16,100|100|,6;21;73|6;21;73|,6;21;73|6;21;73|,6;17;77|6;17;77|,6;17;77|6;17;77|,100|100|,0;0;0|0;0;0|,100|100|,6;17;77|6;17;77|,6;17;77|6;17;77|,100|100|,100|100|
17,100|100|,6;17;77|6;17;77|,6;17;77|6;17;77|,6;13;81|6;13;81|,6;13;81|6;13;81|,100|100|,0;0;0|0;0;0|,100|100|,6;13;81|6;13;81|,6;13;81|6;13;81|,100|100|,100|100|
18,100|100|,6;13;81|6;13;81|,6;13;81|6;13;81|,6;10;84|6;10;84|,6;10;84|6;10;84|,100|100|,0;0;0|0;0;0|,100|100|,6;10;84|6;10;84|,6;10;84|6;10;84|,100|100|,100|100|
19,100|100|,6;10;84|6;10;84|,6;10;84|6;10;84|,6;9;85|6;9;85|,6;9;85|6;9;85|,100|100|,0;0;0|0;0;0|,100|100|,6;9;85|6;9;85|,6;9;85|6;9;85|,100|100|,100|100|
20,100|100|,6;9;85|6;9;85|,6;9;85|6;9;85|,6;5;89|6;5;89|,6;5;89|6;5;89|,100|100|,0;0;0|0;0;0|,100|100|,6;5;89|6;5;89|,6;5;89|6;5;89|,100|100|,100|100|
21,100|100|,6;5;89|6;5;89|,6;5;89|6;5;89|,5;4;91|5;4;91|,5;4;91|5;4;91|,100|100|,0;0;0|0;0;0|,100|100|,5;4;91|5;4;91|,5;4;91|5;4;91|,100|100|,100|100|
