Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,90;10;0|90;10;0|,85;15;0|85;15;0|,85;15;0|85;15;0|,100|100|,0;0;0|0;0;0|,100|100|,85;15;0|85;15;0|,85;15;0|85;15;0|,100|100|,100|100|
1,100|100|,85;15;0|85;15;0|,85;15;0|85;15;0|,78;20;2|78;20;2|,78;20;2|78;20;2|,100|100|,0;0;0|0;0;0|,100|100|,78;20;2|78;20;2|,78;20;2|78;20;2|,100|100|,100|100|
2,100|100|,78;20;2|78;20;2|,78;20;2|78;20;2|,68;25;7|68;25;7|,68;25;7|68;25;7|,100|100|,0;0;0|0;0;0|,100|100|,68;25;7|68;25;7|,68;25;7|68;25;7|,100|100|,100|100|
3,100|100|,68;25;7|68;25;7|,68;25;7|68;25;7|,58;28;14|58;28;14|,58;28;14|58;28;14|,100|100|,0;0;0|0;0;0|,100|100|,58;28;14|58;28;14|,58;28;14|58;28;14|,100|100|,100|100|
4,100|100|,58;28;14|58;28;14|,58;28;14|58;28;14|,54;29;17|54;29;17|,54;29;17|54;29;17|,100|100|,0;0;0|0;0;0|,100|100|,54;29;17|54;29;17|,54;29;17|54;29;17|,100|100|,100|100|
5,100|100|,54;29;17|54;29;17|,54;29;17|54;29;17|,43;33;24|43;33;24|,43;33;24|43;33;24|,100|100|,0;0;0|0;0;0|,100|100|,43;33;24|43;33;24|,43;33;24|43;33;24|,100|100|,100|100|
6,100|100|,43;33;24|43;33;24|,43;33;24|43;33;24|,42;30;28|42;30;28|,42;30;28|42;30;28|,100|100|,0;0;0|0;0;0|,100|100|,42;30;28|42;30;28|,42;30;28|42;30;28|,100|100|,100|100|
7,100|100|,42;30;28|42;30;28|,42;30;28|42;30;28|,31;37;32|31;37;32|,31;37;32|31;37;32|,100|100|,0;0;0|0;0;0|,100|100|,31;37;32|31;37;32|,31;37;32|31;37;32|,100|100|,100|100|
8,100|100|,31;37;32|31;37;32|,31;37;32|31;37;32|,27;35;38|27;35;38|,27;35;38|27;35;38|,100|100|,0;0;0|0;0;0|,100|100|,27;35;38|27;35;38|,27;35;38|27;35;38|,100|100|,100|100|
9,100|100|,27;35;38|27;35;38|,27;35;38|27;35;38|,22;34;44|22;34;44|,22;34;44|22;34;44|,100|100|,0;0;0|0;0;0|,100|100|,22;34;44|22;34;44|,22;34;44|22;34;44|,100|100|,100|100|
10,100|100|,22;34;44|22;34;44|,22;34;44|22;34;44|,17;27;56|17;27;56|,17;27;56|17;27;56|,100|100|,0;0;0|0;0;0|,100|100|,17;27;56|17;27;56|,17;27;56|17;27;56|,100|100|,100|100|
11,100|100|,17;27;56|17;27;56|,17;27;56|17;27;56|,16;26;58|16;26;58|,16;26;58|16;26;58|,100|100|,0;0;0|0;0;0|,100|100|,16;26;58|16;26;58|,16;26;58|16;26;58|,100|100|,100|100|
12,100|100|,16;26;58|16;26;58|,16;26;58|16;26;58|,16;20;64|16;20;64|,16;20;64|16;20;64|,100|100|,0;0;0|0;0;0|,100|100|,16;20;64|16;20;64|,16;20;64|16;20;64|,100|100|,100|100|
13,100|100|,16;20;64|16;20;64|,16;20;64|16;20;64|,14;19;67|14;19;67|,14;19;67|14;19;67|,100|100|,0;0;0|0;0;0|,100|100|,14;19;67|14;19;67|,14;19;67|14;19;67|,100|100|,100|100|
14,100|100|,14;19;67|14;19;67|,14;19;67|14;19;67|,13;19;68|13;19;68|,13;19;68|13;19;68|,100|100|,0;0;0|0;0;0|,100|100|,13;19;68|13;19;68|,13;19;68|13;19;68|,100|100|,100|100|
15,100|100|,13;19;68|13;19;68|,13;19;68|13;19;68|,11;15;74|11;15;74|,11;15;74|11;15;74|,100|100|,0;0;0|0;0;0|,100|100|,11;15;74|11;15;74|,11;15;74|11;15;74|,100|100|,100|100|
16,100|100|,11;15;74|11;15;74|,11;15;74|11;15;74|,9;16;75|9;16;75|,9;16;75|9;16;75|,100|100|,0;0;0|0;0;0|,100|100|,9;16;75|9;16;75|,9;16;75|9;16;75|,100|100|,100|100|
