Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,90;10;0|90;10;0|,87;13;0|87;13;0|,87;13;0|87;13;0|,100|100|,0;0;0|0;0;0|,100|100|,87;13;0|87;13;0|,87;13;0|87;13;0|,100|100|,100|100|
1,100|100|,87;13;0|87;13;0|,87;13;0|87;13;0|,79;17;4|79;17;4|,79;17;4|79;17;4|,100|100|,0;0;0|0;0;0|,100|100|,79;17;4|79;17;4|,79;17;4|79;17;4|,100|100|,100|100|
2,100|100|,79;17;4|79;17;4|,79;17;4|79;17;4|,74;18;8|74;18;8|,74;18;8|74;18;8|,100|100|,0;0;0|0;0;0|,100|100|,74;18;8|74;18;8|,74;18;8|74;18;8|,100|100|,100|100|
3,100|100|,74;18;8|74;18;8|,74;18;8|74;18;8|,69;17;14|69;17;14|,69;17;14|69;17;14|,100|100|,0;0;0|0;0;0|,100|100|,69;17;14|69;17;14|,69;17;14|69;17;14|,100|100|,100|100|
4,100|100|,69;17;14|69;17;14|,69;17;14|69;17;14|,66;16;18|66;16;18|,66;16;18|66;16;18|,100|100|,0;0;0|0;0;0|,100|100|,66;16;18|66;16;18|,66;16;18|66;16;18|,100|100|,100|100|
5,100|100|,66;16;18|66;16;18|,66;16;18|66;16;18|,56;25;19|56;25;19|,56;25;19|56;25;19|,100|100|,0;0;0|0;0;0|,100|100|,56;25;19|56;25;19|,56;25;19|56;25;19|,100|100|,100|100|
6,100|100|,56;25;19|56;25;19|,56;25;19|56;25;19|,46;31;23|46;31;23|,46;31;23|46;31;23|,100|100|,0;0;0|0;0;0|,100|100|,46;31;23|46;31;23|,46;31;23|46;31;23|,100|100|,100|100|
7,100|100|,46;31;23|46;31;23|,46;31;23|46;31;23|,36;37;27|36;37;27|,36;37;27|36;37;27|,100|100|,0;0;0|0;0;0|,100|100|,36;37;27|36;37;27|,36;37;27|36;37;27|,100|100|,100|100|
8,100|100|,36;37;27|36;37;27|,36;37;27|36;37;27|,30;33;37|30;33;37|,30;33;37|30;33;37|,100|100|,0;0;0|0;0;0|,100|100|,30;33;37|30;33;37|,30;33;37|30;33;37|,100|100|,100|100|
9,100|100|,30;33;37|30;33;37|,30;33;37|30;33;37|,23;38;39|23;38;39|,23;38;39|23;38;39|,100|100|,0;0;0|0;0;0|,100|100|,23;38;39|23;38;39|,23;38;39|23;38;39|,100|100|,100|100|
10,100|100|,23;38;39|23;38;39|,23;38;39|23;38;39|,19;34;47|19;34;47|,19;34;47|19;34;47|,100|100|,0;0;0|0;0;0|,100|100|,19;34;47|19;34;47|,19;34;47|19;34;47|,100|100|,100|100|
