Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,89;0;11;0|89;0;11;0|,89;0;11;0|89;0;11;0|,83;6;10;1|83;6;10;1|,83;6;10;1|83;6;10;1|,100|100|,0;0;0;0|0;0;0;0|,100|100|,83;6;10;1|83;6;10;1|,83;6;10;1|83;6;10;1|,100|100|,100|100|
1,100|100|,83;6;10;1|83;6;10;1|,83;6;10;1|83;6;10;1|,81;4;10;5|81;4;10;5|,81;4;10;5|81;4;10;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,81;4;10;5|81;4;10;5|,81;4;10;5|81;4;10;5|,100|100|,100|100|
2,100|100|,81;4;10;5|81;4;10;5|,81;4;10;5|81;4;10;5|,76;8;7;9|76;8;7;9|,76;8;7;9|76;8;7;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,76;8;7;9|76;8;7;9|,76;8;7;9|76;8;7;9|,100|100|,100|100|
3,100|100|,76;8;7;9|76;8;7;9|,76;8;7;9|76;8;7;9|,74;6;10;10|74;6;10;10|,74;6;10;10|74;6;10;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,74;6;10;10|74;6;10;10|,74;6;10;10|74;6;10;10|,100|100|,100|100|
4,100|100|,74;6;10;10|74;6;10;10|,74;6;10;10|74;6;10;10|,70;7;11;12|70;7;11;12|,70;7;11;12|70;7;11;12|,100|100|,0;0;0;0|0;0;0;0|,100|100|,70;7;11;12|70;7;11;12|,70;7;11;12|70;7;11;12|,100|100|,100|100|
5,100|100|,70;7;11;12|70;7;11;12|,70;7;11;12|70;7;11;12|,63;13;11;13|63;13;11;13|,63;13;11;13|63;13;11;13|,100|100|,0;0;0;0|0;0;0;0|,100|100|,63;13;11;13|63;13;11;13|,63;13;11;13|63;13;11;13|,100|100|,100|100|
6,100|100|,63;13;11;13|63;13;11;13|,63;13;11;13|63;13;11;13|,60;12;10;18|60;12;10;18|,60;12;10;18|60;12;10;18|,100|100|,0;0;0;0|0;0;0;0|,100|100|,60;12;10;18|60;12;10;18|,60;12;10;18|60;12;10;18|,100|100|,100|100|
7,100|100|,60;12;10;18|60;12;10;18|,60;12;10;18|60;12;10;18|,58;5;18;19|58;5;18;19|,58;5;18;19|58;5;18;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,58;5;18;19|58;5;18;19|,58;5;18;19|58;5;18;19|,100|100|,100|100|
8,100|100|,58;5;18;19|58;5;18;19|,58;5;18;19|58;5;18;19|,56;4;18;22|56;4;18;22|,56;4;18;22|56;4;18;22|,100|100|,0;0;0;0|0;0;0;0|,100|100|,56;4;18;22|56;4;18;22|,56;4;18;22|56;4;18;22|,100|100|,100|100|
9,100|100|,56;4;18;22|56;4;18;22|,56;4;18;22|56;4;18;22|,54;5;15;26|54;5;15;26|,54;5;15;26|54;5;15;26|,100|100|,0;0;0;0|0;0;0;0|,100|100|,54;5;15;26|54;5;15;26|,54;5;15;26|54;5;15;26|,100|100|,100|100|
10,100|100|,54;5;15;26|54;5;15;26|,54;5;15;26|54;5;15;26|,49;8;14;29|49;8;14;29|,49;8;14;29|49;8;14;29|,100|100|,0;0;0;0|0;0;0;0|,100|100|,49;8;14;29|49;8;14;29|,49;8;14;29|49;8;14;29|,100|100|,100|100|
11,100|100|,49;8;14;29|49;8;14;29|,49;8;14;29|49;8;14;29|,46;9;15;30|46;9;15;30|,46;9;15;30|46;9;15;30|,100|100|,0;0;0;0|0;0;0;0|,100|100|,46;9;15;30|46;9;15;30|,46;9;15;30|46;9;15;30|,100|100|,100|100|
12,100|100|,46;9;15;30|46;9;15;30|,46;9;15;30|46;9;15;30|,43;8;18;31|43;8;18;31|,43;8;18;31|43;8;18;31|,100|100|,0;0;0;0|0;0;0;0|,100|100|,43;8;18;31|43;8;18;31|,43;8;18;31|43;8;18;31|,100|100|,100|100|
13,100|100|,43;8;18;31|43;8;18;31|,43;8;18;31|43;8;18;31|,38;10;20;32|38;10;20;32|,38;10;20;32|38;10;20;32|,100|100|,0;0;0;0|0;0;0;0|,100|100|,38;10;20;32|38;10;20;32|,38;10;20;32|38;10;20;32|,100|100|,100|100|
14,100|100|,38;10;20;32|38;10;20;32|,38;10;20;32|38;10;20;32|,37;6;21;36|37;6;21;36|,37;6;21;36|37;6;21;36|,100|100|,0;0;0;0|0;0;0;0|,100|100|,37;6;21;36|37;6;21;36|,37;6;21;36|37;6;21;36|,100|100|,100|100|
15,100|100|,37;6;21;36|37;6;21;36|,37;6;21;36|37;6;21;36|,35;5;16;44|35;5;16;44|,35;5;16;44|35;5;16;44|,100|100|,0;0;0;0|0;0;0;0|,100|100|,35;5;16;44|35;5;16;44|,35;5;16;44|35;5;16;44|,100|100|,100|100|
16,100|100|,35;5;16;44|35;5;16;44|,35;5;16;44|35;5;16;44|,32;6;11;51|32;6;11;51|,32;6;11;51|32;6;11;51|,100|100|,0;0;0;0|0;0;0;0|,100|100|,32;6;11;51|32;6;11;51|,32;6;11;51|32;6;11;51|,100|100|,100|100|
17,100|100|,32;6;11;51|32;6;11;51|,32;6;11;51|32;6;11;51|,30;8;10;52|30;8;10;52|,30;8;10;52|30;8;10;52|,100|100|,0;0;0;0|0;0;0;0|,100|100|,30;8;10;52|30;8;10;52|,30;8;10;52|30;8;10;52|,100|100|,100|100|
18,100|100|,30;8;10;52|30;8;10;52|,30;8;10;52|30;8;10;52|,29;7;10;54|29;7;10;54|,29;7;10;54|29;7;10;54|,100|100|,0;0;0;0|0;0;0;0|,100|100|,29;7;10;54|29;7;10;54|,29;7;10;54|29;7;10;54|,100|100|,100|100|
19,100|100|,29;7;10;54|29;7;10;54|,29;7;10;54|29;7;10;54|,29;4;8;59|29;4;8;59|,29;4;8;59|29;4;8;59|,100|100|,0;0;0;0|0;0;0;0|,100|100|,29;4;8;59|29;4;8;59|,29;4;8;59|29;4;8;59|,100|100|,100|100|
20,100|100|,29;4;8;59|29;4;8;59|,29;4;8;59|29;4;8;59|,28;4;6;62|28;4;6;62|,28;4;6;62|28;4;6;62|,100|100|,0;0;0;0|0;0;0;0|,100|100|,28;4;6;62|28;4;6;62|,28;4;6;62|28;4;6;62|,100|100|,100|100|
21,100|100|,28;4;6;62|28;4;6;62|,28;4;6;62|28;4;6;62|,26;5;6;63|26;5;6;63|,26;5;6;63|26;5;6;63|,100|100|,0;0;0;0|0;0;0;0|,100|100|,26;5;6;63|26;5;6;63|,26;5;6;63|26;5;6;63|,100|100|,100|100|
