Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,87;13;0|87;13;0|,0.0|0.0|,87;13;0|87;13;0|,76;21;3|76;21;3|,76;21;3|76;21;3|,100|100|,0;0;0|0;0;0|,100|100|,76;21;3|76;21;3|,76;21;3|76;21;3|,100|100|,100|100|
1,100|100|,76;21;3|76;21;3|,0.0|0.0|,76;21;3|76;21;3|,70;23;7|70;23;7|,70;23;7|70;23;7|,100|100|,0;0;0|0;0;0|,100|100|,70;23;7|70;23;7|,70;23;7|70;23;7|,100|100|,100|100|
2,100|100|,70;23;7|70;23;7|,0.0|0.0|,70;23;7|70;23;7|,57;26;17|57;26;17|,57;26;17|57;26;17|,100|100|,0;0;0|0;0;0|,100|100|,57;26;17|57;26;17|,57;26;17|57;26;17|,100|100|,100|100|
3,100|100|,57;26;17|57;26;17|,0.0|0.0|,57;26;17|57;26;17|,50;30;20|50;30;20|,50;30;20|50;30;20|,100|100|,0;0;0|0;0;0|,100|100|,50;30;20|50;30;20|,50;30;20|50;30;20|,100|100|,100|100|
4,100|100|,50;30;20|50;30;20|,0.0|0.0|,50;30;20|50;30;20|,38;37;25|38;37;25|,38;37;25|38;37;25|,100|100|,0;0;0|0;0;0|,100|100|,38;37;25|38;37;25|,38;37;25|38;37;25|,100|100|,100|100|
5,100|100|,38;37;25|38;37;25|,0.0|0.0|,38;37;25|38;37;25|,29;38;33|29;38;33|,29;38;33|29;38;33|,100|100|,0;0;0|0;0;0|,100|100|,29;38;33|29;38;33|,29;38;33|29;38;33|,100|100|,100|100|
6,100|100|,29;38;33|29;38;33|,0.0|0.0|,29;38;33|29;38;33|,23;39;38|23;39;38|,23;39;38|23;39;38|,100|100|,0;0;0|0;0;0|,100|100|,23;39;38|23;39;38|,23;39;38|23;39;38|,100|100|,100|100|
7,100|100|,23;39;38|23;39;38|,0.0|0.0|,23;39;38|23;39;38|,16;37;47|16;37;47|,16;37;47|16;37;47|,100|100|,0;0;0|0;0;0|,100|100|,16;37;47|16;37;47|,16;37;47|16;37;47|,100|100|,100|100|
8,100|100|,16;37;47|16;37;47|,0.0|0.0|,16;37;47|16;37;47|,11;29;60|11;29;60|,11;29;60|11;29;60|,100|100|,0;0;0|0;0;0|,100|100|,11;29;60|11;29;60|,11;29;60|11;29;60|,100|100|,100|100|
9,100|100|,11;29;60|11;29;60|,0.0|0.0|,11;29;60|11;29;60|,8;23;69|8;23;69|,8;23;69|8;23;69|,100|100|,0;0;0|0;0;0|,100|100|,8;23;69|8;23;69|,8;23;69|8;23;69|,100|100|,100|100|
10,100|100|,8;23;69|8;23;69|,0.0|0.0|,8;23;69|8;23;69|,8;21;71|8;21;71|,8;21;71|8;21;71|,100|100|,0;0;0|0;0;0|,100|100|,8;21;71|8;21;71|,8;21;71|8;21;71|,100|100|,100|100|
