Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,0.0|0.0|,90;10;0|90;10;0|,87;8;5|87;8;5|,87;8;5|87;8;5|,100|100|,0;0;0|0;0;0|,100|100|,87;8;5|87;8;5|,87;8;5|87;8;5|,100|100|,100|100|
1,100|100|,87;8;5|87;8;5|,0.0|0.0|,87;8;5|87;8;5|,86;7;7|86;7;7|,86;7;7|86;7;7|,100|100|,0;0;0|0;0;0|,100|100|,86;7;7|86;7;7|,86;7;7|86;7;7|,100|100|,100|100|
2,100|100|,86;7;7|86;7;7|,0.0|0.0|,86;7;7|86;7;7|,82;10;8|82;10;8|,82;10;8|82;10;8|,100|100|,0;0;0|0;0;0|,100|100|,82;10;8|82;10;8|,82;10;8|82;10;8|,100|100|,100|100|
3,100|100|,82;10;8|82;10;8|,0.0|0.0|,82;10;8|82;10;8|,76;13;11|76;13;11|,76;13;11|76;13;11|,100|100|,0;0;0|0;0;0|,100|100|,76;13;11|76;13;11|,76;13;11|76;13;11|,100|100|,100|100|
4,100|100|,76;13;11|76;13;11|,0.0|0.0|,76;13;11|76;13;11|,72;13;15|72;13;15|,72;13;15|72;13;15|,100|100|,0;0;0|0;0;0|,100|100|,72;13;15|72;13;15|,72;13;15|72;13;15|,100|100|,100|100|
5,100|100|,72;13;15|72;13;15|,0.0|0.0|,72;13;15|72;13;15|,69;11;20|69;11;20|,69;11;20|69;11;20|,100|100|,0;0;0|0;0;0|,100|100|,69;11;20|69;11;20|,69;11;20|69;11;20|,100|100|,100|100|
6,100|100|,69;11;20|69;11;20|,0.0|0.0|,69;11;20|69;11;20|,65;11;24|65;11;24|,65;11;24|65;11;24|,100|100|,0;0;0|0;0;0|,100|100|,65;11;24|65;11;24|,65;11;24|65;11;24|,100|100|,100|100|
7,100|100|,65;11;24|65;11;24|,0.0|0.0|,65;11;24|65;11;24|,63;11;26|63;11;26|,63;11;26|63;11;26|,100|100|,0;0;0|0;0;0|,100|100|,63;11;26|63;11;26|,63;11;26|63;11;26|,100|100|,100|100|
8,100|100|,63;11;26|63;11;26|,0.0|0.0|,63;11;26|63;11;26|,58;14;28|58;14;28|,58;14;28|58;14;28|,100|100|,0;0;0|0;0;0|,100|100|,58;14;28|58;14;28|,58;14;28|58;14;28|,100|100|,100|100|
9,100|100|,58;14;28|58;14;28|,0.0|0.0|,58;14;28|58;14;28|,56;13;31|56;13;31|,56;13;31|56;13;31|,100|100|,0;0;0|0;0;0|,100|100|,56;13;31|56;13;31|,56;13;31|56;13;31|,100|100|,100|100|
10,100|100|,56;13;31|56;13;31|,0.0|0.0|,56;13;31|56;13;31|,52;15;33|52;15;33|,52;15;33|52;15;33|,100|100|,0;0;0|0;0;0|,100|100|,52;15;33|52;15;33|,52;15;33|52;15;33|,100|100|,100|100|
11,100|100|,52;15;33|52;15;33|,0.0|0.0|,52;15;33|52;15;33|,48;18;34|48;18;34|,48;18;34|48;18;34|,100|100|,0;0;0|0;0;0|,100|100|,48;18;34|48;18;34|,48;18;34|48;18;34|,100|100|,100|100|
