Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,93;7;0|93;7;0|,93;7;0|93;7;0|,93;6;1|93;6;1|,93;6;1|93;6;1|,100|100|,0;0;0|0;0;0|,100|100|,93;6;1|93;6;1|,93;6;1|93;6;1|,100|100|,100|100|
1,100|100|,93;6;1|93;6;1|,93;6;1|93;6;1|,90;7;3|90;7;3|,90;7;3|90;7;3|,100|100|,0;0;0|0;0;0|,100|100|,90;7;3|90;7;3|,90;7;3|90;7;3|,100|100|,100|100|
2,100|100|,90;7;3|90;7;3|,90;7;3|90;7;3|,88;8;4|88;8;4|,88;8;4|88;8;4|,100|100|,0;0;0|0;0;0|,100|100|,88;8;4|88;8;4|,88;8;4|88;8;4|,100|100|,100|100|
3,100|100|,88;8;4|88;8;4|,88;8;4|88;8;4|,83;10;7|83;10;7|,83;10;7|83;10;7|,100|100|,0;0;0|0;0;0|,100|100|,83;10;7|83;10;7|,83;10;7|83;10;7|,100|100|,100|100|
4,100|100|,83;10;7|83;10;7|,83;10;7|83;10;7|,77;16;7|77;16;7|,77;16;7|77;16;7|,100|100|,0;0;0|0;0;0|,100|100|,77;16;7|77;16;7|,77;16;7|77;16;7|,100|100|,100|100|
5,100|100|,77;16;7|77;16;7|,77;16;7|77;16;7|,70;20;10|70;20;10|,70;20;10|70;20;10|,100|100|,0;0;0|0;0;0|,100|100|,70;20;10|70;20;10|,70;20;10|70;20;10|,100|100|,100|100|
6,100|100|,70;20;10|70;20;10|,70;20;10|70;20;10|,60;26;14|60;26;14|,60;26;14|60;26;14|,100|100|,0;0;0|0;0;0|,100|100|,60;26;14|60;26;14|,60;26;14|60;26;14|,100|100|,100|100|
7,100|100|,60;26;14|60;26;14|,60;26;14|60;26;14|,53;28;19|53;28;19|,53;28;19|53;28;19|,100|100|,0;0;0|0;0;0|,100|100|,53;28;19|53;28;19|,53;28;19|53;28;19|,100|100|,100|100|
8,100|100|,53;28;19|53;28;19|,53;28;19|53;28;19|,46;31;23|46;31;23|,46;31;23|46;31;23|,100|100|,0;0;0|0;0;0|,100|100|,46;31;23|46;31;23|,46;31;23|46;31;23|,100|100|,100|100|
9,100|100|,46;31;23|46;31;23|,46;31;23|46;31;23|,38;31;31|38;31;31|,38;31;31|38;31;31|,100|100|,0;0;0|0;0;0|,100|100|,38;31;31|38;31;31|,38;31;31|38;31;31|,100|100|,100|100|
10,100|100|,38;31;31|38;31;31|,38;31;31|38;31;31|,35;28;37|35;28;37|,35;28;37|35;28;37|,100|100|,0;0;0|0;0;0|,100|100|,35;28;37|35;28;37|,35;28;37|35;28;37|,100|100|,100|100|
11,100|100|,35;28;37|35;28;37|,35;28;37|35;28;37|,29;28;43|29;28;43|,29;28;43|29;28;43|,100|100|,0;0;0|0;0;0|,100|100|,29;28;43|29;28;43|,29;28;43|29;28;43|,100|100|,100|100|
12,100|100|,29;28;43|29;28;43|,29;28;43|29;28;43|,23;27;50|23;27;50|,23;27;50|23;27;50|,100|100|,0;0;0|0;0;0|,100|100|,23;27;50|23;27;50|,23;27;50|23;27;50|,100|100|,100|100|
13,100|100|,23;27;50|23;27;50|,23;27;50|23;27;50|,21;26;53|21;26;53|,21;26;53|21;26;53|,100|100|,0;0;0|0;0;0|,100|100|,21;26;53|21;26;53|,21;26;53|21;26;53|,100|100|,100|100|
14,100|100|,21;26;53|21;26;53|,21;26;53|21;26;53|,17;25;58|17;25;58|,17;25;58|17;25;58|,100|100|,0;0;0|0;0;0|,100|100|,17;25;58|17;25;58|,17;25;58|17;25;58|,100|100|,100|100|
15,100|100|,17;25;58|17;25;58|,17;25;58|17;25;58|,14;22;64|14;22;64|,14;22;64|14;22;64|,100|100|,0;0;0|0;0;0|,100|100|,14;22;64|14;22;64|,14;22;64|14;22;64|,100|100|,100|100|
16,100|100|,14;22;64|14;22;64|,14;22;64|14;22;64|,13;19;68|13;19;68|,13;19;68|13;19;68|,100|100|,0;0;0|0;0;0|,100|100|,13;19;68|13;19;68|,13;19;68|13;19;68|,100|100|,100|100|
17,100|100|,13;19;68|13;19;68|,13;19;68|13;19;68|,12;14;74|12;14;74|,12;14;74|12;14;74|,100|100|,0;0;0|0;0;0|,100|100|,12;14;74|12;14;74|,12;14;74|12;14;74|,100|100|,100|100|
18,100|100|,12;14;74|12;14;74|,12;14;74|12;14;74|,11;12;77|11;12;77|,11;12;77|11;12;77|,100|100|,0;0;0|0;0;0|,100|100|,11;12;77|11;12;77|,11;12;77|11;12;77|,100|100|,100|100|
19,100|100|,11;12;77|11;12;77|,11;12;77|11;12;77|,10;8;82|10;8;82|,10;8;82|10;8;82|,100|100|,0;0;0|0;0;0|,100|100|,10;8;82|10;8;82|,10;8;82|10;8;82|,100|100|,100|100|
20,100|100|,10;8;82|10;8;82|,10;8;82|10;8;82|,10;8;82|10;8;82|,10;8;82|10;8;82|,100|100|,0;0;0|0;0;0|,100|100|,10;8;82|10;8;82|,10;8;82|10;8;82|,100|100|,100|100|
21,100|100|,10;8;82|10;8;82|,10;8;82|10;8;82|,9;9;82|9;9;82|,9;9;82|9;9;82|,100|100|,0;0;0|0;0;0|,100|100|,9;9;82|9;9;82|,9;9;82|9;9;82|,100|100|,100|100|
22,100|100|,9;9;82|9;9;82|,9;9;82|9;9;82|,9;7;84|9;7;84|,9;7;84|9;7;84|,100|100|,0;0;0|0;0;0|,100|100|,9;7;84|9;7;84|,9;7;84|9;7;84|,100|100|,100|100|
23,100|100|,9;7;84|9;7;84|,9;7;84|9;7;84|,9;7;84|9;7;84|,9;7;84|9;7;84|,100|100|,0;0;0|0;0;0|,100|100|,9;7;84|9;7;84|,9;7;84|9;7;84|,100|100|,100|100|
24,100|100|,9;7;84|9;7;84|,9;7;84|9;7;84|,9;6;85|9;6;85|,9;6;85|9;6;85|,100|100|,0;0;0|0;0;0|,100|100|,9;6;85|9;6;85|,9;6;85|9;6;85|,100|100|,100|100|
25,100|100|,9;6;85|9;6;85|,9;6;85|9;6;85|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,0;0;0|0;0;0|,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,100|100|
26,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,0;0;0|0;0;0|,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,100|100|
27,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,0;0;0|0;0;0|,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,100|100|
28,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,0;0;0|0;0;0|,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,100|100|
29,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,0;0;0|0;0;0|,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,100|100|,100|100|
30,100|100|,9;4;87|9;4;87|,9;4;87|9;4;87|,9;3;88|9;3;88|,9;3;88|9;3;88|,100|100|,0;0;0|0;0;0|,100|100|,9;3;88|9;3;88|,9;3;88|9;3;88|,100|100|,100|100|
31,100|100|,9;3;88|9;3;88|,9;3;88|9;3;88|,9;2;89|9;2;89|,9;2;89|9;2;89|,100|100|,0;0;0|0;0;0|,100|100|,9;2;89|9;2;89|,9;2;89|9;2;89|,100|100|,100|100|
32,100|100|,9;2;89|9;2;89|,9;2;89|9;2;89|,9;2;89|9;2;89|,9;2;89|9;2;89|,100|100|,0;0;0|0;0;0|,100|100|,9;2;89|9;2;89|,9;2;89|9;2;89|,100|100|,100|100|
33,100|100|,9;2;89|9;2;89|,9;2;89|9;2;89|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,0;0;0|0;0;0|,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,100|100|
34,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,0;0;0|0;0;0|,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,100|100|
35,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,0;0;0|0;0;0|,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,100|100|
36,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,0;0;0|0;0;0|,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,100|100|
37,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,0;0;0|0;0;0|,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,100|100|
38,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,0;0;0|0;0;0|,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,100|100|
39,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,0;0;0|0;0;0|,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,100|100|
40,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,0;0;0|0;0;0|,100|100|,9;0;91|9;0;91|,9;0;91|9;0;91|,100|100|,100|100|
