Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;0;12;0|88;0;12;0|,0.0|0.0|,88;0;12;0|88;0;12;0|,84;4;9;3|84;4;9;3|,84;4;9;3|84;4;9;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,84;4;9;3|84;4;9;3|,84;4;9;3|84;4;9;3|,100|100|,100|100|
1,100|100|,84;4;9;3|84;4;9;3|,0.0|0.0|,84;4;9;3|84;4;9;3|,80;7;8;5|80;7;8;5|,80;7;8;5|80;7;8;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,80;7;8;5|80;7;8;5|,80;7;8;5|80;7;8;5|,100|100|,100|100|
2,100|100|,80;7;8;5|80;7;8;5|,0.0|0.0|,80;7;8;5|80;7;8;5|,78;6;8;8|78;6;8;8|,78;6;8;8|78;6;8;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,78;6;8;8|78;6;8;8|,78;6;8;8|78;6;8;8|,100|100|,100|100|
3,100|100|,78;6;8;8|78;6;8;8|,0.0|0.0|,78;6;8;8|78;6;8;8|,77;5;9;9|77;5;9;9|,77;5;9;9|77;5;9;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,77;5;9;9|77;5;9;9|,77;5;9;9|77;5;9;9|,100|100|,100|100|
4,100|100|,77;5;9;9|77;5;9;9|,0.0|0.0|,77;5;9;9|77;5;9;9|,73;5;12;10|73;5;12;10|,73;5;12;10|73;5;12;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,73;5;12;10|73;5;12;10|,73;5;12;10|73;5;12;10|,100|100|,100|100|
5,100|100|,73;5;12;10|73;5;12;10|,0.0|0.0|,73;5;12;10|73;5;12;10|,72;3;12;13|72;3;12;13|,72;3;12;13|72;3;12;13|,100|100|,0;0;0;0|0;0;0;0|,100|100|,72;3;12;13|72;3;12;13|,72;3;12;13|72;3;12;13|,100|100|,100|100|
6,100|100|,72;3;12;13|72;3;12;13|,0.0|0.0|,72;3;12;13|72;3;12;13|,67;6;10;17|67;6;10;17|,67;6;10;17|67;6;10;17|,100|100|,0;0;0;0|0;0;0;0|,100|100|,67;6;10;17|67;6;10;17|,67;6;10;17|67;6;10;17|,100|100|,100|100|
7,100|100|,67;6;10;17|67;6;10;17|,0.0|0.0|,67;6;10;17|67;6;10;17|,64;8;10;18|64;8;10;18|,64;8;10;18|64;8;10;18|,100|100|,0;0;0;0|0;0;0;0|,100|100|,64;8;10;18|64;8;10;18|,64;8;10;18|64;8;10;18|,100|100|,100|100|
8,100|100|,64;8;10;18|64;8;10;18|,0.0|0.0|,64;8;10;18|64;8;10;18|,63;5;12;20|63;5;12;20|,63;5;12;20|63;5;12;20|,100|100|,0;0;0;0|0;0;0;0|,100|100|,63;5;12;20|63;5;12;20|,63;5;12;20|63;5;12;20|,100|100|,100|100|
9,100|100|,63;5;12;20|63;5;12;20|,0.0|0.0|,63;5;12;20|63;5;12;20|,59;5;16;20|59;5;16;20|,59;5;16;20|59;5;16;20|,100|100|,0;0;0;0|0;0;0;0|,100|100|,59;5;16;20|59;5;16;20|,59;5;16;20|59;5;16;20|,100|100|,100|100|
10,100|100|,59;5;16;20|59;5;16;20|,0.0|0.0|,59;5;16;20|59;5;16;20|,56;4;15;25|56;4;15;25|,56;4;15;25|56;4;15;25|,100|100|,0;0;0;0|0;0;0;0|,100|100|,56;4;15;25|56;4;15;25|,56;4;15;25|56;4;15;25|,100|100|,100|100|
11,100|100|,56;4;15;25|56;4;15;25|,0.0|0.0|,56;4;15;25|56;4;15;25|,52;6;13;29|52;6;13;29|,52;6;13;29|52;6;13;29|,100|100|,0;0;0;0|0;0;0;0|,100|100|,52;6;13;29|52;6;13;29|,52;6;13;29|52;6;13;29|,100|100|,100|100|
12,100|100|,52;6;13;29|52;6;13;29|,0.0|0.0|,52;6;13;29|52;6;13;29|,48;8;14;30|48;8;14;30|,48;8;14;30|48;8;14;30|,100|100|,0;0;0;0|0;0;0;0|,100|100|,48;8;14;30|48;8;14;30|,48;8;14;30|48;8;14;30|,100|100|,100|100|
13,100|100|,48;8;14;30|48;8;14;30|,0.0|0.0|,48;8;14;30|48;8;14;30|,44;7;18;31|44;7;18;31|,44;7;18;31|44;7;18;31|,100|100|,0;0;0;0|0;0;0;0|,100|100|,44;7;18;31|44;7;18;31|,44;7;18;31|44;7;18;31|,100|100|,100|100|
14,100|100|,44;7;18;31|44;7;18;31|,0.0|0.0|,44;7;18;31|44;7;18;31|,37;8;21;34|37;8;21;34|,37;8;21;34|37;8;21;34|,100|100|,0;0;0;0|0;0;0;0|,100|100|,37;8;21;34|37;8;21;34|,37;8;21;34|37;8;21;34|,100|100|,100|100|
15,100|100|,37;8;21;34|37;8;21;34|,0.0|0.0|,37;8;21;34|37;8;21;34|,33;10;17;40|33;10;17;40|,33;10;17;40|33;10;17;40|,100|100|,0;0;0;0|0;0;0;0|,100|100|,33;10;17;40|33;10;17;40|,33;10;17;40|33;10;17;40|,100|100|,100|100|
16,100|100|,33;10;17;40|33;10;17;40|,0.0|0.0|,33;10;17;40|33;10;17;40|,32;8;18;42|32;8;18;42|,32;8;18;42|32;8;18;42|,100|100|,0;0;0;0|0;0;0;0|,100|100|,32;8;18;42|32;8;18;42|,32;8;18;42|32;8;18;42|,100|100|,100|100|
17,100|100|,32;8;18;42|32;8;18;42|,0.0|0.0|,32;8;18;42|32;8;18;42|,28;10;14;48|28;10;14;48|,28;10;14;48|28;10;14;48|,100|100|,0;0;0;0|0;0;0;0|,100|100|,28;10;14;48|28;10;14;48|,28;10;14;48|28;10;14;48|,100|100|,100|100|
18,100|100|,28;10;14;48|28;10;14;48|,0.0|0.0|,28;10;14;48|28;10;14;48|,27;6;18;49|27;6;18;49|,27;6;18;49|27;6;18;49|,100|100|,0;0;0;0|0;0;0;0|,100|100|,27;6;18;49|27;6;18;49|,27;6;18;49|27;6;18;49|,100|100|,100|100|
19,100|100|,27;6;18;49|27;6;18;49|,0.0|0.0|,27;6;18;49|27;6;18;49|,25;6;17;52|25;6;17;52|,25;6;17;52|25;6;17;52|,100|100|,0;0;0;0|0;0;0;0|,100|100|,25;6;17;52|25;6;17;52|,25;6;17;52|25;6;17;52|,100|100|,100|100|
20,100|100|,25;6;17;52|25;6;17;52|,0.0|0.0|,25;6;17;52|25;6;17;52|,23;4;16;57|23;4;16;57|,23;4;16;57|23;4;16;57|,100|100|,0;0;0;0|0;0;0;0|,100|100|,23;4;16;57|23;4;16;57|,23;4;16;57|23;4;16;57|,100|100|,100|100|
21,100|100|,23;4;16;57|23;4;16;57|,0.0|0.0|,23;4;16;57|23;4;16;57|,19;4;17;60|19;4;17;60|,19;4;17;60|19;4;17;60|,100|100|,0;0;0;0|0;0;0;0|,100|100|,19;4;17;60|19;4;17;60|,19;4;17;60|19;4;17;60|,100|100|,100|100|
22,100|100|,19;4;17;60|19;4;17;60|,0.0|0.0|,19;4;17;60|19;4;17;60|,18;2;16;64|18;2;16;64|,18;2;16;64|18;2;16;64|,100|100|,0;0;0;0|0;0;0;0|,100|100|,18;2;16;64|18;2;16;64|,18;2;16;64|18;2;16;64|,100|100|,100|100|
23,100|100|,18;2;16;64|18;2;16;64|,0.0|0.0|,18;2;16;64|18;2;16;64|,15;5;15;65|15;5;15;65|,15;5;15;65|15;5;15;65|,100|100|,0;0;0;0|0;0;0;0|,100|100|,15;5;15;65|15;5;15;65|,15;5;15;65|15;5;15;65|,100|100|,100|100|
24,100|100|,15;5;15;65|15;5;15;65|,0.0|0.0|,15;5;15;65|15;5;15;65|,14;4;14;68|14;4;14;68|,14;4;14;68|14;4;14;68|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;4;14;68|14;4;14;68|,14;4;14;68|14;4;14;68|,100|100|,100|100|
25,100|100|,14;4;14;68|14;4;14;68|,0.0|0.0|,14;4;14;68|14;4;14;68|,14;2;14;70|14;2;14;70|,14;2;14;70|14;2;14;70|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;2;14;70|14;2;14;70|,14;2;14;70|14;2;14;70|,100|100|,100|100|
26,100|100|,14;2;14;70|14;2;14;70|,0.0|0.0|,14;2;14;70|14;2;14;70|,14;0;12;74|14;0;12;74|,14;0;12;74|14;0;12;74|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;0;12;74|14;0;12;74|,14;0;12;74|14;0;12;74|,100|100|,100|100|
27,100|100|,14;0;12;74|14;0;12;74|,0.0|0.0|,14;0;12;74|14;0;12;74|,14;0;10;76|14;0;10;76|,14;0;10;76|14;0;10;76|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;0;10;76|14;0;10;76|,14;0;10;76|14;0;10;76|,100|100|,100|100|
28,100|100|,14;0;10;76|14;0;10;76|,0.0|0.0|,14;0;10;76|14;0;10;76|,11;3;7;79|11;3;7;79|,11;3;7;79|11;3;7;79|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;3;7;79|11;3;7;79|,11;3;7;79|11;3;7;79|,100|100|,100|100|
29,100|100|,11;3;7;79|11;3;7;79|,0.0|0.0|,11;3;7;79|11;3;7;79|,11;1;6;82|11;1;6;82|,11;1;6;82|11;1;6;82|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;1;6;82|11;1;6;82|,11;1;6;82|11;1;6;82|,100|100|,100|100|
30,100|100|,11;1;6;82|11;1;6;82|,0.0|0.0|,11;1;6;82|11;1;6;82|,11;1;4;84|11;1;4;84|,11;1;4;84|11;1;4;84|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;1;4;84|11;1;4;84|,11;1;4;84|11;1;4;84|,100|100|,100|100|
31,100|100|,11;1;4;84|11;1;4;84|,0.0|0.0|,11;1;4;84|11;1;4;84|,11;0;5;84|11;0;5;84|,11;0;5;84|11;0;5;84|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;5;84|11;0;5;84|,11;0;5;84|11;0;5;84|,100|100|,100|100|
32,100|100|,11;0;5;84|11;0;5;84|,0.0|0.0|,11;0;5;84|11;0;5;84|,11;0;5;84|11;0;5;84|,11;0;5;84|11;0;5;84|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;5;84|11;0;5;84|,11;0;5;84|11;0;5;84|,100|100|,100|100|
33,100|100|,11;0;5;84|11;0;5;84|,0.0|0.0|,11;0;5;84|11;0;5;84|,11;0;4;85|11;0;4;85|,11;0;4;85|11;0;4;85|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;4;85|11;0;4;85|,11;0;4;85|11;0;4;85|,100|100|,100|100|
34,100|100|,11;0;4;85|11;0;4;85|,0.0|0.0|,11;0;4;85|11;0;4;85|,11;0;3;86|11;0;3;86|,11;0;3;86|11;0;3;86|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;3;86|11;0;3;86|,11;0;3;86|11;0;3;86|,100|100|,100|100|
35,100|100|,11;0;3;86|11;0;3;86|,0.0|0.0|,11;0;3;86|11;0;3;86|,11;0;2;87|11;0;2;87|,11;0;2;87|11;0;2;87|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;2;87|11;0;2;87|,11;0;2;87|11;0;2;87|,100|100|,100|100|
36,100|100|,11;0;2;87|11;0;2;87|,0.0|0.0|,11;0;2;87|11;0;2;87|,11;0;1;88|11;0;1;88|,11;0;1;88|11;0;1;88|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;1;88|11;0;1;88|,11;0;1;88|11;0;1;88|,100|100|,100|100|
37,100|100|,11;0;1;88|11;0;1;88|,0.0|0.0|,11;0;1;88|11;0;1;88|,11;0;1;88|11;0;1;88|,11;0;1;88|11;0;1;88|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;1;88|11;0;1;88|,11;0;1;88|11;0;1;88|,100|100|,100|100|
38,100|100|,11;0;1;88|11;0;1;88|,0.0|0.0|,11;0;1;88|11;0;1;88|,11;0;1;88|11;0;1;88|,11;0;1;88|11;0;1;88|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;1;88|11;0;1;88|,11;0;1;88|11;0;1;88|,100|100|,100|100|
39,100|100|,11;0;1;88|11;0;1;88|,0.0|0.0|,11;0;1;88|11;0;1;88|,10;1;1;88|10;1;1;88|,10;1;1;88|10;1;1;88|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;1;1;88|10;1;1;88|,10;1;1;88|10;1;1;88|,100|100|,100|100|
40,100|100|,10;1;1;88|10;1;1;88|,0.0|0.0|,10;1;1;88|10;1;1;88|,10;1;1;88|10;1;1;88|,10;1;1;88|10;1;1;88|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;1;1;88|10;1;1;88|,10;1;1;88|10;1;1;88|,100|100|,100|100|
41,100|100|,10;1;1;88|10;1;1;88|,0.0|0.0|,10;1;1;88|10;1;1;88|,10;0;2;88|10;0;2;88|,10;0;2;88|10;0;2;88|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;2;88|10;0;2;88|,10;0;2;88|10;0;2;88|,100|100|,100|100|
42,100|100|,10;0;2;88|10;0;2;88|,0.0|0.0|,10;0;2;88|10;0;2;88|,9;1;2;88|9;1;2;88|,9;1;2;88|9;1;2;88|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;2;88|9;1;2;88|,9;1;2;88|9;1;2;88|,100|100|,100|100|
43,100|100|,9;1;2;88|9;1;2;88|,0.0|0.0|,9;1;2;88|9;1;2;88|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,100|100|,100|100|
44,100|100|,9;1;1;89|9;1;1;89|,0.0|0.0|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,100|100|,100|100|
45,100|100|,9;1;1;89|9;1;1;89|,0.0|0.0|,9;1;1;89|9;1;1;89|,9;1;0;90|9;1;0;90|,9;1;0;90|9;1;0;90|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;0;90|9;1;0;90|,9;1;0;90|9;1;0;90|,100|100|,100|100|
46,100|100|,9;1;0;90|9;1;0;90|,0.0|0.0|,9;1;0;90|9;1;0;90|,9;1;0;90|9;1;0;90|,9;1;0;90|9;1;0;90|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;0;90|9;1;0;90|,9;1;0;90|9;1;0;90|,100|100|,100|100|
