Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,86;14;0|86;14;0|,86;14;0|86;14;0|,80;17;3|80;17;3|,80;17;3|80;17;3|,100|100|,0;0;0|0;0;0|,100|100|,80;17;3|80;17;3|,80;17;3|80;17;3|,100|100|,100|100|
1,100|100|,80;17;3|80;17;3|,80;17;3|80;17;3|,69;24;7|69;24;7|,69;24;7|69;24;7|,100|100|,0;0;0|0;0;0|,100|100|,69;24;7|69;24;7|,69;24;7|69;24;7|,100|100|,100|100|
2,100|100|,69;24;7|69;24;7|,69;24;7|69;24;7|,64;22;14|64;22;14|,64;22;14|64;22;14|,100|100|,0;0;0|0;0;0|,100|100|,64;22;14|64;22;14|,64;22;14|64;22;14|,100|100|,100|100|
3,100|100|,64;22;14|64;22;14|,64;22;14|64;22;14|,60;26;14|60;26;14|,60;26;14|60;26;14|,100|100|,0;0;0|0;0;0|,100|100|,60;26;14|60;26;14|,60;26;14|60;26;14|,100|100|,100|100|
4,100|100|,60;26;14|60;26;14|,60;26;14|60;26;14|,49;31;20|49;31;20|,49;31;20|49;31;20|,100|100|,0;0;0|0;0;0|,100|100|,49;31;20|49;31;20|,49;31;20|49;31;20|,100|100|,100|100|
5,100|100|,49;31;20|49;31;20|,49;31;20|49;31;20|,43;30;27|43;30;27|,43;30;27|43;30;27|,100|100|,0;0;0|0;0;0|,100|100|,43;30;27|43;30;27|,43;30;27|43;30;27|,100|100|,100|100|
6,100|100|,43;30;27|43;30;27|,43;30;27|43;30;27|,35;32;33|35;32;33|,35;32;33|35;32;33|,100|100|,0;0;0|0;0;0|,100|100|,35;32;33|35;32;33|,35;32;33|35;32;33|,100|100|,100|100|
7,100|100|,35;32;33|35;32;33|,35;32;33|35;32;33|,27;35;38|27;35;38|,27;35;38|27;35;38|,100|100|,0;0;0|0;0;0|,100|100|,27;35;38|27;35;38|,27;35;38|27;35;38|,100|100|,100|100|
8,100|100|,27;35;38|27;35;38|,27;35;38|27;35;38|,24;26;50|24;26;50|,24;26;50|24;26;50|,100|100|,0;0;0|0;0;0|,100|100|,24;26;50|24;26;50|,24;26;50|24;26;50|,100|100|,100|100|
9,100|100|,24;26;50|24;26;50|,24;26;50|24;26;50|,23;23;54|23;23;54|,23;23;54|23;23;54|,100|100|,0;0;0|0;0;0|,100|100|,23;23;54|23;23;54|,23;23;54|23;23;54|,100|100|,100|100|
10,100|100|,23;23;54|23;23;54|,23;23;54|23;23;54|,21;20;59|21;20;59|,21;20;59|21;20;59|,100|100|,0;0;0|0;0;0|,100|100|,21;20;59|21;20;59|,21;20;59|21;20;59|,100|100|,100|100|
11,100|100|,21;20;59|21;20;59|,21;20;59|21;20;59|,20;18;62|20;18;62|,20;18;62|20;18;62|,100|100|,0;0;0|0;0;0|,100|100|,20;18;62|20;18;62|,20;18;62|20;18;62|,100|100|,100|100|
12,100|100|,20;18;62|20;18;62|,20;18;62|20;18;62|,19;16;65|19;16;65|,19;16;65|19;16;65|,100|100|,0;0;0|0;0;0|,100|100|,19;16;65|19;16;65|,19;16;65|19;16;65|,100|100|,100|100|
13,100|100|,19;16;65|19;16;65|,19;16;65|19;16;65|,18;13;69|18;13;69|,18;13;69|18;13;69|,100|100|,0;0;0|0;0;0|,100|100|,18;13;69|18;13;69|,18;13;69|18;13;69|,100|100|,100|100|
14,100|100|,18;13;69|18;13;69|,18;13;69|18;13;69|,18;10;72|18;10;72|,18;10;72|18;10;72|,100|100|,0;0;0|0;0;0|,100|100|,18;10;72|18;10;72|,18;10;72|18;10;72|,100|100|,100|100|
15,100|100|,18;10;72|18;10;72|,18;10;72|18;10;72|,18;8;74|18;8;74|,18;8;74|18;8;74|,100|100|,0;0;0|0;0;0|,100|100|,18;8;74|18;8;74|,18;8;74|18;8;74|,100|100|,100|100|
16,100|100|,18;8;74|18;8;74|,18;8;74|18;8;74|,17;8;75|17;8;75|,17;8;75|17;8;75|,100|100|,0;0;0|0;0;0|,100|100|,17;8;75|17;8;75|,17;8;75|17;8;75|,100|100|,100|100|
