Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,87;13;0|87;13;0|,87;13;0|87;13;0|,82;16;2|82;16;2|,82;16;2|82;16;2|,100|100|,0;0;0|0;0;0|,100|100|,82;16;2|82;16;2|,82;16;2|82;16;2|,100|100|,100|100|
1,100|100|,82;16;2|82;16;2|,82;16;2|82;16;2|,74;20;6|74;20;6|,74;20;6|74;20;6|,100|100|,0;0;0|0;0;0|,100|100|,74;20;6|74;20;6|,74;20;6|74;20;6|,100|100|,100|100|
2,100|100|,74;20;6|74;20;6|,74;20;6|74;20;6|,67;23;10|67;23;10|,67;23;10|67;23;10|,100|100|,0;0;0|0;0;0|,100|100|,67;23;10|67;23;10|,67;23;10|67;23;10|,100|100|,100|100|
3,100|100|,67;23;10|67;23;10|,67;23;10|67;23;10|,59;28;13|59;28;13|,59;28;13|59;28;13|,100|100|,0;0;0|0;0;0|,100|100|,59;28;13|59;28;13|,59;28;13|59;28;13|,100|100|,100|100|
4,100|100|,59;28;13|59;28;13|,59;28;13|59;28;13|,51;33;16|51;33;16|,51;33;16|51;33;16|,100|100|,0;0;0|0;0;0|,100|100|,51;33;16|51;33;16|,51;33;16|51;33;16|,100|100|,100|100|
5,100|100|,51;33;16|51;33;16|,51;33;16|51;33;16|,46;33;21|46;33;21|,46;33;21|46;33;21|,100|100|,0;0;0|0;0;0|,100|100|,46;33;21|46;33;21|,46;33;21|46;33;21|,100|100|,100|100|
6,100|100|,46;33;21|46;33;21|,46;33;21|46;33;21|,33;42;25|33;42;25|,33;42;25|33;42;25|,100|100|,0;0;0|0;0;0|,100|100|,33;42;25|33;42;25|,33;42;25|33;42;25|,100|100|,100|100|
7,100|100|,33;42;25|33;42;25|,33;42;25|33;42;25|,26;40;34|26;40;34|,26;40;34|26;40;34|,100|100|,0;0;0|0;0;0|,100|100|,26;40;34|26;40;34|,26;40;34|26;40;34|,100|100|,100|100|
8,100|100|,26;40;34|26;40;34|,26;40;34|26;40;34|,21;36;43|21;36;43|,21;36;43|21;36;43|,100|100|,0;0;0|0;0;0|,100|100|,21;36;43|21;36;43|,21;36;43|21;36;43|,100|100|,100|100|
9,100|100|,21;36;43|21;36;43|,21;36;43|21;36;43|,15;31;54|15;31;54|,15;31;54|15;31;54|,100|100|,0;0;0|0;0;0|,100|100|,15;31;54|15;31;54|,15;31;54|15;31;54|,100|100|,100|100|
10,100|100|,15;31;54|15;31;54|,15;31;54|15;31;54|,13;27;60|13;27;60|,13;27;60|13;27;60|,100|100|,0;0;0|0;0;0|,100|100|,13;27;60|13;27;60|,13;27;60|13;27;60|,100|100|,100|100|
11,100|100|,13;27;60|13;27;60|,13;27;60|13;27;60|,11;26;63|11;26;63|,11;26;63|11;26;63|,100|100|,0;0;0|0;0;0|,100|100|,11;26;63|11;26;63|,11;26;63|11;26;63|,100|100|,100|100|
12,100|100|,11;26;63|11;26;63|,11;26;63|11;26;63|,10;24;66|10;24;66|,10;24;66|10;24;66|,100|100|,0;0;0|0;0;0|,100|100|,10;24;66|10;24;66|,10;24;66|10;24;66|,100|100|,100|100|
13,100|100|,10;24;66|10;24;66|,10;24;66|10;24;66|,10;19;71|10;19;71|,10;19;71|10;19;71|,100|100|,0;0;0|0;0;0|,100|100|,10;19;71|10;19;71|,10;19;71|10;19;71|,100|100|,100|100|
14,100|100|,10;19;71|10;19;71|,10;19;71|10;19;71|,9;16;75|9;16;75|,9;16;75|9;16;75|,100|100|,0;0;0|0;0;0|,100|100|,9;16;75|9;16;75|,9;16;75|9;16;75|,100|100|,100|100|
15,100|100|,9;16;75|9;16;75|,9;16;75|9;16;75|,8;12;80|8;12;80|,8;12;80|8;12;80|,100|100|,0;0;0|0;0;0|,100|100|,8;12;80|8;12;80|,8;12;80|8;12;80|,100|100|,100|100|
16,100|100|,8;12;80|8;12;80|,8;12;80|8;12;80|,8;11;81|8;11;81|,8;11;81|8;11;81|,100|100|,0;0;0|0;0;0|,100|100|,8;11;81|8;11;81|,8;11;81|8;11;81|,100|100|,100|100|
17,100|100|,8;11;81|8;11;81|,8;11;81|8;11;81|,8;8;84|8;8;84|,8;8;84|8;8;84|,100|100|,0;0;0|0;0;0|,100|100|,8;8;84|8;8;84|,8;8;84|8;8;84|,100|100|,100|100|
18,100|100|,8;8;84|8;8;84|,8;8;84|8;8;84|,8;7;85|8;7;85|,8;7;85|8;7;85|,100|100|,0;0;0|0;0;0|,100|100|,8;7;85|8;7;85|,8;7;85|8;7;85|,100|100|,100|100|
19,100|100|,8;7;85|8;7;85|,8;7;85|8;7;85|,8;7;85|8;7;85|,8;7;85|8;7;85|,100|100|,0;0;0|0;0;0|,100|100|,8;7;85|8;7;85|,8;7;85|8;7;85|,100|100|,100|100|
