Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;12;0|88;12;0|,0.0|0.0|,88;12;0|88;12;0|,83;14;3|83;14;3|,83;14;3|83;14;3|,100|100|,0;0;0|0;0;0|,100|100|,83;14;3|83;14;3|,83;14;3|83;14;3|,100|100|,100|100|
1,100|100|,83;14;3|83;14;3|,0.0|0.0|,83;14;3|83;14;3|,78;18;4|78;18;4|,78;18;4|78;18;4|,100|100|,0;0;0|0;0;0|,100|100|,78;18;4|78;18;4|,78;18;4|78;18;4|,100|100|,100|100|
2,100|100|,78;18;4|78;18;4|,0.0|0.0|,78;18;4|78;18;4|,72;22;6|72;22;6|,72;22;6|72;22;6|,100|100|,0;0;0|0;0;0|,100|100|,72;22;6|72;22;6|,72;22;6|72;22;6|,100|100|,100|100|
3,100|100|,72;22;6|72;22;6|,0.0|0.0|,72;22;6|72;22;6|,61;27;12|61;27;12|,61;27;12|61;27;12|,100|100|,0;0;0|0;0;0|,100|100|,61;27;12|61;27;12|,61;27;12|61;27;12|,100|100|,100|100|
4,100|100|,61;27;12|61;27;12|,0.0|0.0|,61;27;12|61;27;12|,50;32;18|50;32;18|,50;32;18|50;32;18|,100|100|,0;0;0|0;0;0|,100|100|,50;32;18|50;32;18|,50;32;18|50;32;18|,100|100|,100|100|
5,100|100|,50;32;18|50;32;18|,0.0|0.0|,50;32;18|50;32;18|,46;30;24|46;30;24|,46;30;24|46;30;24|,100|100|,0;0;0|0;0;0|,100|100|,46;30;24|46;30;24|,46;30;24|46;30;24|,100|100|,100|100|
6,100|100|,46;30;24|46;30;24|,0.0|0.0|,46;30;24|46;30;24|,41;28;31|41;28;31|,41;28;31|41;28;31|,100|100|,0;0;0|0;0;0|,100|100|,41;28;31|41;28;31|,41;28;31|41;28;31|,100|100|,100|100|
7,100|100|,41;28;31|41;28;31|,0.0|0.0|,41;28;31|41;28;31|,36;29;35|36;29;35|,36;29;35|36;29;35|,100|100|,0;0;0|0;0;0|,100|100|,36;29;35|36;29;35|,36;29;35|36;29;35|,100|100|,100|100|
8,100|100|,36;29;35|36;29;35|,0.0|0.0|,36;29;35|36;29;35|,31;26;43|31;26;43|,31;26;43|31;26;43|,100|100|,0;0;0|0;0;0|,100|100|,31;26;43|31;26;43|,31;26;43|31;26;43|,100|100|,100|100|
9,100|100|,31;26;43|31;26;43|,0.0|0.0|,31;26;43|31;26;43|,26;25;49|26;25;49|,26;25;49|26;25;49|,100|100|,0;0;0|0;0;0|,100|100|,26;25;49|26;25;49|,26;25;49|26;25;49|,100|100|,100|100|
10,100|100|,26;25;49|26;25;49|,0.0|0.0|,26;25;49|26;25;49|,24;22;54|24;22;54|,24;22;54|24;22;54|,100|100|,0;0;0|0;0;0|,100|100|,24;22;54|24;22;54|,24;22;54|24;22;54|,100|100|,100|100|
11,100|100|,24;22;54|24;22;54|,0.0|0.0|,24;22;54|24;22;54|,22;17;61|22;17;61|,22;17;61|22;17;61|,100|100|,0;0;0|0;0;0|,100|100|,22;17;61|22;17;61|,22;17;61|22;17;61|,100|100|,100|100|
12,100|100|,22;17;61|22;17;61|,0.0|0.0|,22;17;61|22;17;61|,21;14;65|21;14;65|,21;14;65|21;14;65|,100|100|,0;0;0|0;0;0|,100|100|,21;14;65|21;14;65|,21;14;65|21;14;65|,100|100|,100|100|
