Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,84;16;0|84;16;0|,0.0|0.0|,84;16;0|84;16;0|,78;18;4|78;18;4|,78;18;4|78;18;4|,100|100|,0;0;0|0;0;0|,100|100|,78;18;4|78;18;4|,78;18;4|78;18;4|,100|100|,100|100|
1,100|100|,78;18;4|78;18;4|,0.0|0.0|,78;18;4|78;18;4|,74;20;6|74;20;6|,74;20;6|74;20;6|,100|100|,0;0;0|0;0;0|,100|100|,74;20;6|74;20;6|,74;20;6|74;20;6|,100|100|,100|100|
2,100|100|,74;20;6|74;20;6|,0.0|0.0|,74;20;6|74;20;6|,66;22;12|66;22;12|,66;22;12|66;22;12|,100|100|,0;0;0|0;0;0|,100|100|,66;22;12|66;22;12|,66;22;12|66;22;12|,100|100|,100|100|
3,100|100|,66;22;12|66;22;12|,0.0|0.0|,66;22;12|66;22;12|,55;30;15|55;30;15|,55;30;15|55;30;15|,100|100|,0;0;0|0;0;0|,100|100|,55;30;15|55;30;15|,55;30;15|55;30;15|,100|100|,100|100|
4,100|100|,55;30;15|55;30;15|,0.0|0.0|,55;30;15|55;30;15|,45;31;24|45;31;24|,45;31;24|45;31;24|,100|100|,0;0;0|0;0;0|,100|100|,45;31;24|45;31;24|,45;31;24|45;31;24|,100|100|,100|100|
5,100|100|,45;31;24|45;31;24|,0.0|0.0|,45;31;24|45;31;24|,36;31;33|36;31;33|,36;31;33|36;31;33|,100|100|,0;0;0|0;0;0|,100|100|,36;31;33|36;31;33|,36;31;33|36;31;33|,100|100|,100|100|
6,100|100|,36;31;33|36;31;33|,0.0|0.0|,36;31;33|36;31;33|,29;30;41|29;30;41|,29;30;41|29;30;41|,100|100|,0;0;0|0;0;0|,100|100|,29;30;41|29;30;41|,29;30;41|29;30;41|,100|100|,100|100|
7,100|100|,29;30;41|29;30;41|,0.0|0.0|,29;30;41|29;30;41|,25;28;47|25;28;47|,25;28;47|25;28;47|,100|100|,0;0;0|0;0;0|,100|100|,25;28;47|25;28;47|,25;28;47|25;28;47|,100|100|,100|100|
8,100|100|,25;28;47|25;28;47|,0.0|0.0|,25;28;47|25;28;47|,22;20;58|22;20;58|,22;20;58|22;20;58|,100|100|,0;0;0|0;0;0|,100|100|,22;20;58|22;20;58|,22;20;58|22;20;58|,100|100|,100|100|
9,100|100|,22;20;58|22;20;58|,0.0|0.0|,22;20;58|22;20;58|,20;18;62|20;18;62|,20;18;62|20;18;62|,100|100|,0;0;0|0;0;0|,100|100|,20;18;62|20;18;62|,20;18;62|20;18;62|,100|100|,100|100|
10,100|100|,20;18;62|20;18;62|,0.0|0.0|,20;18;62|20;18;62|,17;18;65|17;18;65|,17;18;65|17;18;65|,100|100|,0;0;0|0;0;0|,100|100|,17;18;65|17;18;65|,17;18;65|17;18;65|,100|100|,100|100|
