Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,95;5;0|95;5;0|,95;5;0|95;5;0|,93;5;2|93;5;2|,93;5;2|93;5;2|,100|100|,0;0;0|0;0;0|,100|100|,93;5;2|93;5;2|,93;5;2|93;5;2|,100|100|,100|100|
1,100|100|,93;5;2|93;5;2|,93;5;2|93;5;2|,92;4;4|92;4;4|,92;4;4|92;4;4|,100|100|,0;0;0|0;0;0|,100|100|,92;4;4|92;4;4|,92;4;4|92;4;4|,100|100|,100|100|
2,100|100|,92;4;4|92;4;4|,92;4;4|92;4;4|,91;5;4|91;5;4|,91;5;4|91;5;4|,100|100|,0;0;0|0;0;0|,100|100|,91;5;4|91;5;4|,91;5;4|91;5;4|,100|100|,100|100|
3,100|100|,91;5;4|91;5;4|,91;5;4|91;5;4|,90;4;6|90;4;6|,90;4;6|90;4;6|,100|100|,0;0;0|0;0;0|,100|100|,90;4;6|90;4;6|,90;4;6|90;4;6|,100|100|,100|100|
4,100|100|,90;4;6|90;4;6|,90;4;6|90;4;6|,88;6;6|88;6;6|,88;6;6|88;6;6|,100|100|,0;0;0|0;0;0|,100|100|,88;6;6|88;6;6|,88;6;6|88;6;6|,100|100|,100|100|
5,100|100|,88;6;6|88;6;6|,88;6;6|88;6;6|,85;8;7|85;8;7|,85;8;7|85;8;7|,100|100|,0;0;0|0;0;0|,100|100|,85;8;7|85;8;7|,85;8;7|85;8;7|,100|100|,100|100|
6,100|100|,85;8;7|85;8;7|,85;8;7|85;8;7|,83;8;9|83;8;9|,83;8;9|83;8;9|,100|100|,0;0;0|0;0;0|,100|100|,83;8;9|83;8;9|,83;8;9|83;8;9|,100|100|,100|100|
7,100|100|,83;8;9|83;8;9|,83;8;9|83;8;9|,77;13;10|77;13;10|,77;13;10|77;13;10|,100|100|,0;0;0|0;0;0|,100|100|,77;13;10|77;13;10|,77;13;10|77;13;10|,100|100|,100|100|
8,100|100|,77;13;10|77;13;10|,77;13;10|77;13;10|,72;15;13|72;15;13|,72;15;13|72;15;13|,100|100|,0;0;0|0;0;0|,100|100|,72;15;13|72;15;13|,72;15;13|72;15;13|,100|100|,100|100|
9,100|100|,72;15;13|72;15;13|,72;15;13|72;15;13|,69;16;15|69;16;15|,69;16;15|69;16;15|,100|100|,0;0;0|0;0;0|,100|100|,69;16;15|69;16;15|,69;16;15|69;16;15|,100|100|,100|100|
10,100|100|,69;16;15|69;16;15|,69;16;15|69;16;15|,63;15;22|63;15;22|,63;15;22|63;15;22|,100|100|,0;0;0|0;0;0|,100|100|,63;15;22|63;15;22|,63;15;22|63;15;22|,100|100|,100|100|
11,100|100|,63;15;22|63;15;22|,63;15;22|63;15;22|,61;13;26|61;13;26|,61;13;26|61;13;26|,100|100|,0;0;0|0;0;0|,100|100|,61;13;26|61;13;26|,61;13;26|61;13;26|,100|100|,100|100|
12,100|100|,61;13;26|61;13;26|,61;13;26|61;13;26|,58;12;30|58;12;30|,58;12;30|58;12;30|,100|100|,0;0;0|0;0;0|,100|100|,58;12;30|58;12;30|,58;12;30|58;12;30|,100|100|,100|100|
13,100|100|,58;12;30|58;12;30|,58;12;30|58;12;30|,57;10;33|57;10;33|,57;10;33|57;10;33|,100|100|,0;0;0|0;0;0|,100|100|,57;10;33|57;10;33|,57;10;33|57;10;33|,100|100|,100|100|
14,100|100|,57;10;33|57;10;33|,57;10;33|57;10;33|,55;9;36|55;9;36|,55;9;36|55;9;36|,100|100|,0;0;0|0;0;0|,100|100|,55;9;36|55;9;36|,55;9;36|55;9;36|,100|100|,100|100|
15,100|100|,55;9;36|55;9;36|,55;9;36|55;9;36|,53;8;39|53;8;39|,53;8;39|53;8;39|,100|100|,0;0;0|0;0;0|,100|100|,53;8;39|53;8;39|,53;8;39|53;8;39|,100|100|,100|100|
16,100|100|,53;8;39|53;8;39|,53;8;39|53;8;39|,51;9;40|51;9;40|,51;9;40|51;9;40|,100|100|,0;0;0|0;0;0|,100|100|,51;9;40|51;9;40|,51;9;40|51;9;40|,100|100|,100|100|
17,100|100|,51;9;40|51;9;40|,51;9;40|51;9;40|,49;8;43|49;8;43|,49;8;43|49;8;43|,100|100|,0;0;0|0;0;0|,100|100|,49;8;43|49;8;43|,49;8;43|49;8;43|,100|100|,100|100|
18,100|100|,49;8;43|49;8;43|,49;8;43|49;8;43|,48;5;47|48;5;47|,48;5;47|48;5;47|,100|100|,0;0;0|0;0;0|,100|100|,48;5;47|48;5;47|,48;5;47|48;5;47|,100|100|,100|100|
19,100|100|,48;5;47|48;5;47|,48;5;47|48;5;47|,47;6;47|47;6;47|,47;6;47|47;6;47|,100|100|,0;0;0|0;0;0|,100|100|,47;6;47|47;6;47|,47;6;47|47;6;47|,100|100|,100|100|
20,100|100|,47;6;47|47;6;47|,47;6;47|47;6;47|,46;5;49|46;5;49|,46;5;49|46;5;49|,100|100|,0;0;0|0;0;0|,100|100|,46;5;49|46;5;49|,46;5;49|46;5;49|,100|100|,100|100|
