Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;0;8;0|92;0;8;0|,92;0;8;0|92;0;8;0|,89;3;6;2|89;3;6;2|,89;3;6;2|89;3;6;2|,100|100|,0;0;0;0|0;0;0;0|,100|100|,89;3;6;2|89;3;6;2|,89;3;6;2|89;3;6;2|,100|100|,100|100|
1,100|100|,89;3;6;2|89;3;6;2|,89;3;6;2|89;3;6;2|,86;5;5;4|86;5;5;4|,86;5;5;4|86;5;5;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,86;5;5;4|86;5;5;4|,86;5;5;4|86;5;5;4|,100|100|,100|100|
2,100|100|,86;5;5;4|86;5;5;4|,86;5;5;4|86;5;5;4|,82;6;6;6|82;6;6;6|,82;6;6;6|82;6;6;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,82;6;6;6|82;6;6;6|,82;6;6;6|82;6;6;6|,100|100|,100|100|
3,100|100|,82;6;6;6|82;6;6;6|,82;6;6;6|82;6;6;6|,80;4;9;7|80;4;9;7|,80;4;9;7|80;4;9;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,80;4;9;7|80;4;9;7|,80;4;9;7|80;4;9;7|,100|100|,100|100|
4,100|100|,80;4;9;7|80;4;9;7|,80;4;9;7|80;4;9;7|,79;2;11;8|79;2;11;8|,79;2;11;8|79;2;11;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,79;2;11;8|79;2;11;8|,79;2;11;8|79;2;11;8|,100|100|,100|100|
5,100|100|,79;2;11;8|79;2;11;8|,79;2;11;8|79;2;11;8|,73;7;8;12|73;7;8;12|,73;7;8;12|73;7;8;12|,100|100|,0;0;0;0|0;0;0;0|,100|100|,73;7;8;12|73;7;8;12|,73;7;8;12|73;7;8;12|,100|100|,100|100|
6,100|100|,73;7;8;12|73;7;8;12|,73;7;8;12|73;7;8;12|,70;8;8;14|70;8;8;14|,70;8;8;14|70;8;8;14|,100|100|,0;0;0;0|0;0;0;0|,100|100|,70;8;8;14|70;8;8;14|,70;8;8;14|70;8;8;14|,100|100|,100|100|
7,100|100|,70;8;8;14|70;8;8;14|,70;8;8;14|70;8;8;14|,64;8;13;15|64;8;13;15|,64;8;13;15|64;8;13;15|,100|100|,0;0;0;0|0;0;0;0|,100|100|,64;8;13;15|64;8;13;15|,64;8;13;15|64;8;13;15|,100|100|,100|100|
8,100|100|,64;8;13;15|64;8;13;15|,64;8;13;15|64;8;13;15|,58;10;15;17|58;10;15;17|,58;10;15;17|58;10;15;17|,100|100|,0;0;0;0|0;0;0;0|,100|100|,58;10;15;17|58;10;15;17|,58;10;15;17|58;10;15;17|,100|100|,100|100|
9,100|100|,58;10;15;17|58;10;15;17|,58;10;15;17|58;10;15;17|,55;9;15;21|55;9;15;21|,55;9;15;21|55;9;15;21|,100|100|,0;0;0;0|0;0;0;0|,100|100|,55;9;15;21|55;9;15;21|,55;9;15;21|55;9;15;21|,100|100|,100|100|
10,100|100|,55;9;15;21|55;9;15;21|,55;9;15;21|55;9;15;21|,50;8;19;23|50;8;19;23|,50;8;19;23|50;8;19;23|,100|100|,0;0;0;0|0;0;0;0|,100|100|,50;8;19;23|50;8;19;23|,50;8;19;23|50;8;19;23|,100|100|,100|100|
11,100|100|,50;8;19;23|50;8;19;23|,50;8;19;23|50;8;19;23|,47;7;21;25|47;7;21;25|,47;7;21;25|47;7;21;25|,100|100|,0;0;0;0|0;0;0;0|,100|100|,47;7;21;25|47;7;21;25|,47;7;21;25|47;7;21;25|,100|100|,100|100|
12,100|100|,47;7;21;25|47;7;21;25|,47;7;21;25|47;7;21;25|,43;9;18;30|43;9;18;30|,43;9;18;30|43;9;18;30|,100|100|,0;0;0;0|0;0;0;0|,100|100|,43;9;18;30|43;9;18;30|,43;9;18;30|43;9;18;30|,100|100|,100|100|
13,100|100|,43;9;18;30|43;9;18;30|,43;9;18;30|43;9;18;30|,37;11;22;30|37;11;22;30|,37;11;22;30|37;11;22;30|,100|100|,0;0;0;0|0;0;0;0|,100|100|,37;11;22;30|37;11;22;30|,37;11;22;30|37;11;22;30|,100|100|,100|100|
14,100|100|,37;11;22;30|37;11;22;30|,37;11;22;30|37;11;22;30|,31;12;22;35|31;12;22;35|,31;12;22;35|31;12;22;35|,100|100|,0;0;0;0|0;0;0;0|,100|100|,31;12;22;35|31;12;22;35|,31;12;22;35|31;12;22;35|,100|100|,100|100|
15,100|100|,31;12;22;35|31;12;22;35|,31;12;22;35|31;12;22;35|,28;10;23;39|28;10;23;39|,28;10;23;39|28;10;23;39|,100|100|,0;0;0;0|0;0;0;0|,100|100|,28;10;23;39|28;10;23;39|,28;10;23;39|28;10;23;39|,100|100|,100|100|
16,100|100|,28;10;23;39|28;10;23;39|,28;10;23;39|28;10;23;39|,25;8;26;41|25;8;26;41|,25;8;26;41|25;8;26;41|,100|100|,0;0;0;0|0;0;0;0|,100|100|,25;8;26;41|25;8;26;41|,25;8;26;41|25;8;26;41|,100|100|,100|100|
17,100|100|,25;8;26;41|25;8;26;41|,25;8;26;41|25;8;26;41|,24;2;29;45|24;2;29;45|,24;2;29;45|24;2;29;45|,100|100|,0;0;0;0|0;0;0;0|,100|100|,24;2;29;45|24;2;29;45|,24;2;29;45|24;2;29;45|,100|100|,100|100|
18,100|100|,24;2;29;45|24;2;29;45|,24;2;29;45|24;2;29;45|,21;4;25;50|21;4;25;50|,21;4;25;50|21;4;25;50|,100|100|,0;0;0;0|0;0;0;0|,100|100|,21;4;25;50|21;4;25;50|,21;4;25;50|21;4;25;50|,100|100|,100|100|
19,100|100|,21;4;25;50|21;4;25;50|,21;4;25;50|21;4;25;50|,18;4;20;58|18;4;20;58|,18;4;20;58|18;4;20;58|,100|100|,0;0;0;0|0;0;0;0|,100|100|,18;4;20;58|18;4;20;58|,18;4;20;58|18;4;20;58|,100|100|,100|100|
20,100|100|,18;4;20;58|18;4;20;58|,18;4;20;58|18;4;20;58|,17;5;17;61|17;5;17;61|,17;5;17;61|17;5;17;61|,100|100|,0;0;0;0|0;0;0;0|,100|100|,17;5;17;61|17;5;17;61|,17;5;17;61|17;5;17;61|,100|100|,100|100|
21,100|100|,17;5;17;61|17;5;17;61|,17;5;17;61|17;5;17;61|,16;6;14;64|16;6;14;64|,16;6;14;64|16;6;14;64|,100|100|,0;0;0;0|0;0;0;0|,100|100|,16;6;14;64|16;6;14;64|,16;6;14;64|16;6;14;64|,100|100|,100|100|
22,100|100|,16;6;14;64|16;6;14;64|,16;6;14;64|16;6;14;64|,15;5;11;69|15;5;11;69|,15;5;11;69|15;5;11;69|,100|100|,0;0;0;0|0;0;0;0|,100|100|,15;5;11;69|15;5;11;69|,15;5;11;69|15;5;11;69|,100|100|,100|100|
23,100|100|,15;5;11;69|15;5;11;69|,15;5;11;69|15;5;11;69|,14;3;11;72|14;3;11;72|,14;3;11;72|14;3;11;72|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;3;11;72|14;3;11;72|,14;3;11;72|14;3;11;72|,100|100|,100|100|
24,100|100|,14;3;11;72|14;3;11;72|,14;3;11;72|14;3;11;72|,13;2;13;72|13;2;13;72|,13;2;13;72|13;2;13;72|,100|100|,0;0;0;0|0;0;0;0|,100|100|,13;2;13;72|13;2;13;72|,13;2;13;72|13;2;13;72|,100|100|,100|100|
25,100|100|,13;2;13;72|13;2;13;72|,13;2;13;72|13;2;13;72|,13;1;10;76|13;1;10;76|,13;1;10;76|13;1;10;76|,100|100|,0;0;0;0|0;0;0;0|,100|100|,13;1;10;76|13;1;10;76|,13;1;10;76|13;1;10;76|,100|100|,100|100|
26,100|100|,13;1;10;76|13;1;10;76|,13;1;10;76|13;1;10;76|,13;1;7;79|13;1;7;79|,13;1;7;79|13;1;7;79|,100|100|,0;0;0;0|0;0;0;0|,100|100|,13;1;7;79|13;1;7;79|,13;1;7;79|13;1;7;79|,100|100|,100|100|
27,100|100|,13;1;7;79|13;1;7;79|,13;1;7;79|13;1;7;79|,12;2;5;81|12;2;5;81|,12;2;5;81|12;2;5;81|,100|100|,0;0;0;0|0;0;0;0|,100|100|,12;2;5;81|12;2;5;81|,12;2;5;81|12;2;5;81|,100|100|,100|100|
28,100|100|,12;2;5;81|12;2;5;81|,12;2;5;81|12;2;5;81|,12;1;6;81|12;1;6;81|,12;1;6;81|12;1;6;81|,100|100|,0;0;0;0|0;0;0;0|,100|100|,12;1;6;81|12;1;6;81|,12;1;6;81|12;1;6;81|,100|100|,100|100|
29,100|100|,12;1;6;81|12;1;6;81|,12;1;6;81|12;1;6;81|,11;2;5;82|11;2;5;82|,11;2;5;82|11;2;5;82|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;2;5;82|11;2;5;82|,11;2;5;82|11;2;5;82|,100|100|,100|100|
30,100|100|,11;2;5;82|11;2;5;82|,11;2;5;82|11;2;5;82|,11;1;6;82|11;1;6;82|,11;1;6;82|11;1;6;82|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;1;6;82|11;1;6;82|,11;1;6;82|11;1;6;82|,100|100|,100|100|
31,100|100|,11;1;6;82|11;1;6;82|,11;1;6;82|11;1;6;82|,11;0;7;82|11;0;7;82|,11;0;7;82|11;0;7;82|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;7;82|11;0;7;82|,11;0;7;82|11;0;7;82|,100|100|,100|100|
32,100|100|,11;0;7;82|11;0;7;82|,11;0;7;82|11;0;7;82|,11;0;6;83|11;0;6;83|,11;0;6;83|11;0;6;83|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;6;83|11;0;6;83|,11;0;6;83|11;0;6;83|,100|100|,100|100|
33,100|100|,11;0;6;83|11;0;6;83|,11;0;6;83|11;0;6;83|,11;0;6;83|11;0;6;83|,11;0;6;83|11;0;6;83|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;6;83|11;0;6;83|,11;0;6;83|11;0;6;83|,100|100|,100|100|
34,100|100|,11;0;6;83|11;0;6;83|,11;0;6;83|11;0;6;83|,11;0;5;84|11;0;5;84|,11;0;5;84|11;0;5;84|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;5;84|11;0;5;84|,11;0;5;84|11;0;5;84|,100|100|,100|100|
35,100|100|,11;0;5;84|11;0;5;84|,11;0;5;84|11;0;5;84|,11;0;4;85|11;0;4;85|,11;0;4;85|11;0;4;85|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;4;85|11;0;4;85|,11;0;4;85|11;0;4;85|,100|100|,100|100|
36,100|100|,11;0;4;85|11;0;4;85|,11;0;4;85|11;0;4;85|,11;0;2;87|11;0;2;87|,11;0;2;87|11;0;2;87|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;0;2;87|11;0;2;87|,11;0;2;87|11;0;2;87|,100|100|,100|100|
37,100|100|,11;0;2;87|11;0;2;87|,11;0;2;87|11;0;2;87|,10;1;0;89|10;1;0;89|,10;1;0;89|10;1;0;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;1;0;89|10;1;0;89|,10;1;0;89|10;1;0;89|,100|100|,100|100|
38,100|100|,10;1;0;89|10;1;0;89|,10;1;0;89|10;1;0;89|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,100|100|,100|100|
39,100|100|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,100|100|,100|100|
40,100|100|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,100|100|,100|100|
41,100|100|,10;0;1;89|10;0;1;89|,10;0;1;89|10;0;1;89|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,100|100|,100|100|
42,100|100|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,100|100|,100|100|
43,100|100|,9;1;1;89|9;1;1;89|,9;1;1;89|9;1;1;89|,9;1;0;90|9;1;0;90|,9;1;0;90|9;1;0;90|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;0;90|9;1;0;90|,9;1;0;90|9;1;0;90|,100|100|,100|100|
44,100|100|,9;1;0;90|9;1;0;90|,9;1;0;90|9;1;0;90|,9;0;1;90|9;0;1;90|,9;0;1;90|9;0;1;90|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;1;90|9;0;1;90|,9;0;1;90|9;0;1;90|,100|100|,100|100|
45,100|100|,9;0;1;90|9;0;1;90|,9;0;1;90|9;0;1;90|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
46,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
47,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
48,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
49,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
50,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
51,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
52,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
53,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
54,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
55,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
56,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
57,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
58,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
59,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
60,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;0;0;91|9;0;0;91|,9;0;0;91|9;0;0;91|,100|100|,100|100|
