Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;9;0|91;9;0|,0.0|0.0|,91;9;0|91;9;0|,85;13;2|85;13;2|,85;13;2|85;13;2|,100|100|,0;0;0|0;0;0|,100|100|,85;13;2|85;13;2|,85;13;2|85;13;2|,100|100|,100|100|
1,100|100|,85;13;2|85;13;2|,0.0|0.0|,85;13;2|85;13;2|,80;16;4|80;16;4|,80;16;4|80;16;4|,100|100|,0;0;0|0;0;0|,100|100|,80;16;4|80;16;4|,80;16;4|80;16;4|,100|100|,100|100|
2,100|100|,80;16;4|80;16;4|,0.0|0.0|,80;16;4|80;16;4|,71;24;5|71;24;5|,71;24;5|71;24;5|,100|100|,0;0;0|0;0;0|,100|100|,71;24;5|71;24;5|,71;24;5|71;24;5|,100|100|,100|100|
3,100|100|,71;24;5|71;24;5|,0.0|0.0|,71;24;5|71;24;5|,58;32;10|58;32;10|,58;32;10|58;32;10|,100|100|,0;0;0|0;0;0|,100|100|,58;32;10|58;32;10|,58;32;10|58;32;10|,100|100|,100|100|
4,100|100|,58;32;10|58;32;10|,0.0|0.0|,58;32;10|58;32;10|,47;38;15|47;38;15|,47;38;15|47;38;15|,100|100|,0;0;0|0;0;0|,100|100|,47;38;15|47;38;15|,47;38;15|47;38;15|,100|100|,100|100|
5,100|100|,47;38;15|47;38;15|,0.0|0.0|,47;38;15|47;38;15|,39;40;21|39;40;21|,39;40;21|39;40;21|,100|100|,0;0;0|0;0;0|,100|100|,39;40;21|39;40;21|,39;40;21|39;40;21|,100|100|,100|100|
6,100|100|,39;40;21|39;40;21|,0.0|0.0|,39;40;21|39;40;21|,29;43;28|29;43;28|,29;43;28|29;43;28|,100|100|,0;0;0|0;0;0|,100|100|,29;43;28|29;43;28|,29;43;28|29;43;28|,100|100|,100|100|
7,100|100|,29;43;28|29;43;28|,0.0|0.0|,29;43;28|29;43;28|,23;44;33|23;44;33|,23;44;33|23;44;33|,100|100|,0;0;0|0;0;0|,100|100|,23;44;33|23;44;33|,23;44;33|23;44;33|,100|100|,100|100|
8,100|100|,23;44;33|23;44;33|,0.0|0.0|,23;44;33|23;44;33|,20;40;40|20;40;40|,20;40;40|20;40;40|,100|100|,0;0;0|0;0;0|,100|100|,20;40;40|20;40;40|,20;40;40|20;40;40|,100|100|,100|100|
9,100|100|,20;40;40|20;40;40|,0.0|0.0|,20;40;40|20;40;40|,16;33;51|16;33;51|,16;33;51|16;33;51|,100|100|,0;0;0|0;0;0|,100|100|,16;33;51|16;33;51|,16;33;51|16;33;51|,100|100|,100|100|
10,100|100|,16;33;51|16;33;51|,0.0|0.0|,16;33;51|16;33;51|,12;26;62|12;26;62|,12;26;62|12;26;62|,100|100|,0;0;0|0;0;0|,100|100|,12;26;62|12;26;62|,12;26;62|12;26;62|,100|100|,100|100|
