Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;9;0|91;9;0|,91;9;0|91;9;0|,87;10;3|87;10;3|,87;10;3|87;10;3|,100|100|,0;0;0|0;0;0|,100|100|,87;10;3|87;10;3|,87;10;3|87;10;3|,100|100|,100|100|
1,100|100|,87;10;3|87;10;3|,87;10;3|87;10;3|,81;13;6|81;13;6|,81;13;6|81;13;6|,100|100|,0;0;0|0;0;0|,100|100|,81;13;6|81;13;6|,81;13;6|81;13;6|,100|100|,100|100|
2,100|100|,81;13;6|81;13;6|,81;13;6|81;13;6|,77;13;10|77;13;10|,77;13;10|77;13;10|,100|100|,0;0;0|0;0;0|,100|100|,77;13;10|77;13;10|,77;13;10|77;13;10|,100|100|,100|100|
3,100|100|,77;13;10|77;13;10|,77;13;10|77;13;10|,71;18;11|71;18;11|,71;18;11|71;18;11|,100|100|,0;0;0|0;0;0|,100|100|,71;18;11|71;18;11|,71;18;11|71;18;11|,100|100|,100|100|
4,100|100|,71;18;11|71;18;11|,71;18;11|71;18;11|,65;21;14|65;21;14|,65;21;14|65;21;14|,100|100|,0;0;0|0;0;0|,100|100|,65;21;14|65;21;14|,65;21;14|65;21;14|,100|100|,100|100|
5,100|100|,65;21;14|65;21;14|,65;21;14|65;21;14|,59;23;18|59;23;18|,59;23;18|59;23;18|,100|100|,0;0;0|0;0;0|,100|100|,59;23;18|59;23;18|,59;23;18|59;23;18|,100|100|,100|100|
6,100|100|,59;23;18|59;23;18|,59;23;18|59;23;18|,55;22;23|55;22;23|,55;22;23|55;22;23|,100|100|,0;0;0|0;0;0|,100|100|,55;22;23|55;22;23|,55;22;23|55;22;23|,100|100|,100|100|
7,100|100|,55;22;23|55;22;23|,55;22;23|55;22;23|,47;26;27|47;26;27|,47;26;27|47;26;27|,100|100|,0;0;0|0;0;0|,100|100|,47;26;27|47;26;27|,47;26;27|47;26;27|,100|100|,100|100|
8,100|100|,47;26;27|47;26;27|,47;26;27|47;26;27|,45;20;35|45;20;35|,45;20;35|45;20;35|,100|100|,0;0;0|0;0;0|,100|100|,45;20;35|45;20;35|,45;20;35|45;20;35|,100|100|,100|100|
9,100|100|,45;20;35|45;20;35|,45;20;35|45;20;35|,41;22;37|41;22;37|,41;22;37|41;22;37|,100|100|,0;0;0|0;0;0|,100|100|,41;22;37|41;22;37|,41;22;37|41;22;37|,100|100|,100|100|
10,100|100|,41;22;37|41;22;37|,41;22;37|41;22;37|,35;23;42|35;23;42|,35;23;42|35;23;42|,100|100|,0;0;0|0;0;0|,100|100|,35;23;42|35;23;42|,35;23;42|35;23;42|,100|100|,100|100|
11,100|100|,35;23;42|35;23;42|,35;23;42|35;23;42|,31;23;46|31;23;46|,31;23;46|31;23;46|,100|100|,0;0;0|0;0;0|,100|100|,31;23;46|31;23;46|,31;23;46|31;23;46|,100|100|,100|100|
12,100|100|,31;23;46|31;23;46|,31;23;46|31;23;46|,28;20;52|28;20;52|,28;20;52|28;20;52|,100|100|,0;0;0|0;0;0|,100|100|,28;20;52|28;20;52|,28;20;52|28;20;52|,100|100|,100|100|
13,100|100|,28;20;52|28;20;52|,28;20;52|28;20;52|,24;24;52|24;24;52|,24;24;52|24;24;52|,100|100|,0;0;0|0;0;0|,100|100|,24;24;52|24;24;52|,24;24;52|24;24;52|,100|100|,100|100|
14,100|100|,24;24;52|24;24;52|,24;24;52|24;24;52|,20;23;57|20;23;57|,20;23;57|20;23;57|,100|100|,0;0;0|0;0;0|,100|100|,20;23;57|20;23;57|,20;23;57|20;23;57|,100|100|,100|100|
15,100|100|,20;23;57|20;23;57|,20;23;57|20;23;57|,17;22;61|17;22;61|,17;22;61|17;22;61|,100|100|,0;0;0|0;0;0|,100|100|,17;22;61|17;22;61|,17;22;61|17;22;61|,100|100|,100|100|
