Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,87;13;0|87;13;0|,10.0|10.0|,87;13;0|87;13;0|,82;18;0|82;18;0|,82;18;0|82;18;0|,100|100|,0;0;0|0;0;0|,100|100|,82;18;0|82;18;0|,82;18;0|82;18;0|,100|100|,100|100|
1,100|100|,82;18;0|82;18;0|,9.8|9.8|,82;18;0|82;18;0|,79;20;1|79;20;1|,79;20;1|79;20;1|,100|100|,0;0;0|0;0;0|,100|100|,79;20;1|79;20;1|,79;20;1|79;20;1|,100|100|,100|100|
2,100|100|,79;20;1|79;20;1|,10.13|10.13|,79;20;1|79;20;1|,71;27;2|71;27;2|,71;27;2|71;27;2|,100|100|,0;0;0|0;0;0|,100|100|,71;27;2|71;27;2|,71;27;2|71;27;2|,100|100|,100|100|
3,100|100|,71;27;2|71;27;2|,10.61|10.61|,71;27;2|71;27;2|,62;35;3|62;35;3|,62;35;3|62;35;3|,100|100|,0;0;0|0;0;0|,100|100|,62;35;3|62;35;3|,62;35;3|62;35;3|,100|100|,100|100|
4,100|100|,62;35;3|62;35;3|,11.72|11.72|,62;35;3|62;35;3|,55;41;4|55;41;4|,55;41;4|55;41;4|,100|100|,0;0;0|0;0;0|,100|100|,55;41;4|55;41;4|,55;41;4|55;41;4|,100|100|,100|100|
5,100|100|,55;41;4|55;41;4|,13.46|13.46|,55;41;4|55;41;4|,47;49;4|47;49;4|,47;49;4|47;49;4|,100|100|,0;0;0|0;0;0|,100|100|,47;49;4|47;49;4|,47;49;4|47;49;4|,100|100|,100|100|
6,100|100|,47;49;4|47;49;4|,15.54|15.54|,47;49;4|47;49;4|,37;53;10|37;53;10|,37;53;10|37;53;10|,100|100|,0;0;0|0;0;0|,100|100|,37;53;10|37;53;10|,37;53;10|37;53;10|,100|100|,100|100|
7,100|100|,37;53;10|37;53;10|,18.11|18.11|,37;53;10|37;53;10|,29;59;12|29;59;12|,29;59;12|29;59;12|,100|100|,0;0;0|0;0;0|,100|100|,29;59;12|29;59;12|,29;59;12|29;59;12|,100|100|,100|100|
8,100|100|,29;59;12|29;59;12|,20.69|20.69|,29;59;12|29;59;12|,22;64;14|22;64;14|,22;64;14|22;64;14|,100|100|,0;0;0|0;0;0|,100|100|,22;64;14|22;64;14|,22;64;14|22;64;14|,100|100|,100|100|
9,100|100|,22;64;14|22;64;14|,23.49|23.49|,22;64;14|22;64;14|,17;64;19|17;64;19|,17;64;19|17;64;19|,100|100|,0;0;0|0;0;0|,100|100|,17;64;19|17;64;19|,17;64;19|17;64;19|,100|100|,100|100|
