Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,85;0;15;0|85;0;15;0|,85;0;15;0|85;0;15;0|,82;3;13;2|82;3;13;2|,82;3;13;2|82;3;13;2|,100|100|,0;0;0;0|0;0;0;0|,100|100|,82;3;13;2|82;3;13;2|,82;3;13;2|82;3;13;2|,100|100|,100|100|
1,100|100|,82;3;13;2|82;3;13;2|,82;3;13;2|82;3;13;2|,75;9;12;4|75;9;12;4|,75;9;12;4|75;9;12;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,75;9;12;4|75;9;12;4|,75;9;12;4|75;9;12;4|,100|100|,100|100|
2,100|100|,75;9;12;4|75;9;12;4|,75;9;12;4|75;9;12;4|,71;10;10;9|71;10;10;9|,71;10;10;9|71;10;10;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,71;10;10;9|71;10;10;9|,71;10;10;9|71;10;10;9|,100|100|,100|100|
3,100|100|,71;10;10;9|71;10;10;9|,71;10;10;9|71;10;10;9|,71;2;14;13|71;2;14;13|,71;2;14;13|71;2;14;13|,100|100|,0;0;0;0|0;0;0;0|,100|100|,71;2;14;13|71;2;14;13|,71;2;14;13|71;2;14;13|,100|100|,100|100|
4,100|100|,71;2;14;13|71;2;14;13|,71;2;14;13|71;2;14;13|,65;8;12;15|65;8;12;15|,65;8;12;15|65;8;12;15|,100|100|,0;0;0;0|0;0;0;0|,100|100|,65;8;12;15|65;8;12;15|,65;8;12;15|65;8;12;15|,100|100|,100|100|
5,100|100|,65;8;12;15|65;8;12;15|,65;8;12;15|65;8;12;15|,61;6;14;19|61;6;14;19|,61;6;14;19|61;6;14;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,61;6;14;19|61;6;14;19|,61;6;14;19|61;6;14;19|,100|100|,100|100|
6,100|100|,61;6;14;19|61;6;14;19|,61;6;14;19|61;6;14;19|,54;9;16;21|54;9;16;21|,54;9;16;21|54;9;16;21|,100|100|,0;0;0;0|0;0;0;0|,100|100|,54;9;16;21|54;9;16;21|,54;9;16;21|54;9;16;21|,100|100|,100|100|
7,100|100|,54;9;16;21|54;9;16;21|,54;9;16;21|54;9;16;21|,50;8;19;23|50;8;19;23|,50;8;19;23|50;8;19;23|,100|100|,0;0;0;0|0;0;0;0|,100|100|,50;8;19;23|50;8;19;23|,50;8;19;23|50;8;19;23|,100|100|,100|100|
8,100|100|,50;8;19;23|50;8;19;23|,50;8;19;23|50;8;19;23|,49;5;20;26|49;5;20;26|,49;5;20;26|49;5;20;26|,100|100|,0;0;0;0|0;0;0;0|,100|100|,49;5;20;26|49;5;20;26|,49;5;20;26|49;5;20;26|,100|100|,100|100|
9,100|100|,49;5;20;26|49;5;20;26|,49;5;20;26|49;5;20;26|,46;7;14;33|46;7;14;33|,46;7;14;33|46;7;14;33|,100|100|,0;0;0;0|0;0;0;0|,100|100|,46;7;14;33|46;7;14;33|,46;7;14;33|46;7;14;33|,100|100|,100|100|
