Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,89;0;11;0|89;0;11;0|,89;0;11;0|89;0;11;0|,86;3;8;3|86;3;8;3|,86;3;8;3|86;3;8;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,86;3;8;3|86;3;8;3|,86;3;8;3|86;3;8;3|,100|100|,100|100|
1,100|100|,86;3;8;3|86;3;8;3|,86;3;8;3|86;3;8;3|,83;6;7;4|83;6;7;4|,83;6;7;4|83;6;7;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,83;6;7;4|83;6;7;4|,83;6;7;4|83;6;7;4|,100|100|,100|100|
2,100|100|,83;6;7;4|83;6;7;4|,83;6;7;4|83;6;7;4|,79;6;10;5|79;6;10;5|,79;6;10;5|79;6;10;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,79;6;10;5|79;6;10;5|,79;6;10;5|79;6;10;5|,100|100|,100|100|
3,100|100|,79;6;10;5|79;6;10;5|,79;6;10;5|79;6;10;5|,75;7;11;7|75;7;11;7|,75;7;11;7|75;7;11;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,75;7;11;7|75;7;11;7|,75;7;11;7|75;7;11;7|,100|100|,100|100|
4,100|100|,75;7;11;7|75;7;11;7|,75;7;11;7|75;7;11;7|,71;8;13;8|71;8;13;8|,71;8;13;8|71;8;13;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,71;8;13;8|71;8;13;8|,71;8;13;8|71;8;13;8|,100|100|,100|100|
5,100|100|,71;8;13;8|71;8;13;8|,71;8;13;8|71;8;13;8|,69;8;14;9|69;8;14;9|,69;8;14;9|69;8;14;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,69;8;14;9|69;8;14;9|,69;8;14;9|69;8;14;9|,100|100|,100|100|
6,100|100|,69;8;14;9|69;8;14;9|,69;8;14;9|69;8;14;9|,68;5;18;9|68;5;18;9|,68;5;18;9|68;5;18;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,68;5;18;9|68;5;18;9|,68;5;18;9|68;5;18;9|,100|100|,100|100|
7,100|100|,68;5;18;9|68;5;18;9|,68;5;18;9|68;5;18;9|,62;10;18;10|62;10;18;10|,62;10;18;10|62;10;18;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,62;10;18;10|62;10;18;10|,62;10;18;10|62;10;18;10|,100|100|,100|100|
8,100|100|,62;10;18;10|62;10;18;10|,62;10;18;10|62;10;18;10|,54;13;19;14|54;13;19;14|,54;13;19;14|54;13;19;14|,100|100|,0;0;0;0|0;0;0;0|,100|100|,54;13;19;14|54;13;19;14|,54;13;19;14|54;13;19;14|,100|100|,100|100|
9,100|100|,54;13;19;14|54;13;19;14|,54;13;19;14|54;13;19;14|,49;10;22;19|49;10;22;19|,49;10;22;19|49;10;22;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,49;10;22;19|49;10;22;19|,49;10;22;19|49;10;22;19|,100|100|,100|100|
10,100|100|,49;10;22;19|49;10;22;19|,49;10;22;19|49;10;22;19|,42;12;24;22|42;12;24;22|,42;12;24;22|42;12;24;22|,100|100|,0;0;0;0|0;0;0;0|,100|100|,42;12;24;22|42;12;24;22|,42;12;24;22|42;12;24;22|,100|100|,100|100|
11,100|100|,42;12;24;22|42;12;24;22|,42;12;24;22|42;12;24;22|,37;12;24;27|37;12;24;27|,37;12;24;27|37;12;24;27|,100|100|,0;0;0;0|0;0;0;0|,100|100|,37;12;24;27|37;12;24;27|,37;12;24;27|37;12;24;27|,100|100|,100|100|
12,100|100|,37;12;24;27|37;12;24;27|,37;12;24;27|37;12;24;27|,34;9;27;30|34;9;27;30|,34;9;27;30|34;9;27;30|,100|100|,0;0;0;0|0;0;0;0|,100|100|,34;9;27;30|34;9;27;30|,34;9;27;30|34;9;27;30|,100|100|,100|100|
13,100|100|,34;9;27;30|34;9;27;30|,34;9;27;30|34;9;27;30|,30;9;23;38|30;9;23;38|,30;9;23;38|30;9;23;38|,100|100|,0;0;0;0|0;0;0;0|,100|100|,30;9;23;38|30;9;23;38|,30;9;23;38|30;9;23;38|,100|100|,100|100|
14,100|100|,30;9;23;38|30;9;23;38|,30;9;23;38|30;9;23;38|,28;5;26;41|28;5;26;41|,28;5;26;41|28;5;26;41|,100|100|,0;0;0;0|0;0;0;0|,100|100|,28;5;26;41|28;5;26;41|,28;5;26;41|28;5;26;41|,100|100|,100|100|
15,100|100|,28;5;26;41|28;5;26;41|,28;5;26;41|28;5;26;41|,27;3;28;42|27;3;28;42|,27;3;28;42|27;3;28;42|,100|100|,0;0;0;0|0;0;0;0|,100|100|,27;3;28;42|27;3;28;42|,27;3;28;42|27;3;28;42|,100|100|,100|100|
16,100|100|,27;3;28;42|27;3;28;42|,27;3;28;42|27;3;28;42|,18;9;26;47|18;9;26;47|,18;9;26;47|18;9;26;47|,100|100|,0;0;0;0|0;0;0;0|,100|100|,18;9;26;47|18;9;26;47|,18;9;26;47|18;9;26;47|,100|100|,100|100|
17,100|100|,18;9;26;47|18;9;26;47|,18;9;26;47|18;9;26;47|,16;7;26;51|16;7;26;51|,16;7;26;51|16;7;26;51|,100|100|,0;0;0;0|0;0;0;0|,100|100|,16;7;26;51|16;7;26;51|,16;7;26;51|16;7;26;51|,100|100|,100|100|
18,100|100|,16;7;26;51|16;7;26;51|,16;7;26;51|16;7;26;51|,14;5;24;57|14;5;24;57|,14;5;24;57|14;5;24;57|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;5;24;57|14;5;24;57|,14;5;24;57|14;5;24;57|,100|100|,100|100|
19,100|100|,14;5;24;57|14;5;24;57|,14;5;24;57|14;5;24;57|,13;4;20;63|13;4;20;63|,13;4;20;63|13;4;20;63|,100|100|,0;0;0;0|0;0;0;0|,100|100|,13;4;20;63|13;4;20;63|,13;4;20;63|13;4;20;63|,100|100|,100|100|
20,100|100|,13;4;20;63|13;4;20;63|,13;4;20;63|13;4;20;63|,11;4;16;69|11;4;16;69|,11;4;16;69|11;4;16;69|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;4;16;69|11;4;16;69|,11;4;16;69|11;4;16;69|,100|100|,100|100|
21,100|100|,11;4;16;69|11;4;16;69|,11;4;16;69|11;4;16;69|,9;5;10;76|9;5;10;76|,9;5;10;76|9;5;10;76|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;5;10;76|9;5;10;76|,9;5;10;76|9;5;10;76|,100|100|,100|100|
22,100|100|,9;5;10;76|9;5;10;76|,9;5;10;76|9;5;10;76|,8;4;10;78|8;4;10;78|,8;4;10;78|8;4;10;78|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;4;10;78|8;4;10;78|,8;4;10;78|8;4;10;78|,100|100|,100|100|
23,100|100|,8;4;10;78|8;4;10;78|,8;4;10;78|8;4;10;78|,8;2;10;80|8;2;10;80|,8;2;10;80|8;2;10;80|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;2;10;80|8;2;10;80|,8;2;10;80|8;2;10;80|,100|100|,100|100|
24,100|100|,8;2;10;80|8;2;10;80|,8;2;10;80|8;2;10;80|,8;1;9;82|8;1;9;82|,8;1;9;82|8;1;9;82|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;1;9;82|8;1;9;82|,8;1;9;82|8;1;9;82|,100|100|,100|100|
25,100|100|,8;1;9;82|8;1;9;82|,8;1;9;82|8;1;9;82|,8;1;9;82|8;1;9;82|,8;1;9;82|8;1;9;82|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;1;9;82|8;1;9;82|,8;1;9;82|8;1;9;82|,100|100|,100|100|
26,100|100|,8;1;9;82|8;1;9;82|,8;1;9;82|8;1;9;82|,6;3;7;84|6;3;7;84|,6;3;7;84|6;3;7;84|,100|100|,0;0;0;0|0;0;0;0|,100|100|,6;3;7;84|6;3;7;84|,6;3;7;84|6;3;7;84|,100|100|,100|100|
27,100|100|,6;3;7;84|6;3;7;84|,6;3;7;84|6;3;7;84|,5;2;7;86|5;2;7;86|,5;2;7;86|5;2;7;86|,100|100|,0;0;0;0|0;0;0;0|,100|100|,5;2;7;86|5;2;7;86|,5;2;7;86|5;2;7;86|,100|100|,100|100|
28,100|100|,5;2;7;86|5;2;7;86|,5;2;7;86|5;2;7;86|,5;1;8;86|5;1;8;86|,5;1;8;86|5;1;8;86|,100|100|,0;0;0;0|0;0;0;0|,100|100|,5;1;8;86|5;1;8;86|,5;1;8;86|5;1;8;86|,100|100|,100|100|
29,100|100|,5;1;8;86|5;1;8;86|,5;1;8;86|5;1;8;86|,5;1;7;87|5;1;7;87|,5;1;7;87|5;1;7;87|,100|100|,0;0;0;0|0;0;0;0|,100|100|,5;1;7;87|5;1;7;87|,5;1;7;87|5;1;7;87|,100|100|,100|100|
30,100|100|,5;1;7;87|5;1;7;87|,5;1;7;87|5;1;7;87|,5;1;7;87|5;1;7;87|,5;1;7;87|5;1;7;87|,100|100|,0;0;0;0|0;0;0;0|,100|100|,5;1;7;87|5;1;7;87|,5;1;7;87|5;1;7;87|,100|100|,100|100|
