Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;9;0|91;9;0|,91;9;0|91;9;0|,88;11;1|88;11;1|,88;11;1|88;11;1|,100|100|,0;0;0|0;0;0|,100|100|,88;11;1|88;11;1|,88;11;1|88;11;1|,100|100|,100|100|
1,100|100|,88;11;1|88;11;1|,88;11;1|88;11;1|,84;14;2|84;14;2|,84;14;2|84;14;2|,100|100|,0;0;0|0;0;0|,100|100|,84;14;2|84;14;2|,84;14;2|84;14;2|,100|100|,100|100|
2,100|100|,84;14;2|84;14;2|,84;14;2|84;14;2|,78;17;5|78;17;5|,78;17;5|78;17;5|,100|100|,0;0;0|0;0;0|,100|100|,78;17;5|78;17;5|,78;17;5|78;17;5|,100|100|,100|100|
3,100|100|,78;17;5|78;17;5|,78;17;5|78;17;5|,69;24;7|69;24;7|,69;24;7|69;24;7|,100|100|,0;0;0|0;0;0|,100|100|,69;24;7|69;24;7|,69;24;7|69;24;7|,100|100|,100|100|
4,100|100|,69;24;7|69;24;7|,69;24;7|69;24;7|,61;25;14|61;25;14|,61;25;14|61;25;14|,100|100|,0;0;0|0;0;0|,100|100|,61;25;14|61;25;14|,61;25;14|61;25;14|,100|100|,100|100|
5,100|100|,61;25;14|61;25;14|,61;25;14|61;25;14|,50;33;17|50;33;17|,50;33;17|50;33;17|,100|100|,0;0;0|0;0;0|,100|100|,50;33;17|50;33;17|,50;33;17|50;33;17|,100|100|,100|100|
6,100|100|,50;33;17|50;33;17|,50;33;17|50;33;17|,45;34;21|45;34;21|,45;34;21|45;34;21|,100|100|,0;0;0|0;0;0|,100|100|,45;34;21|45;34;21|,45;34;21|45;34;21|,100|100|,100|100|
7,100|100|,45;34;21|45;34;21|,45;34;21|45;34;21|,42;26;32|42;26;32|,42;26;32|42;26;32|,100|100|,0;0;0|0;0;0|,100|100|,42;26;32|42;26;32|,42;26;32|42;26;32|,100|100|,100|100|
8,100|100|,42;26;32|42;26;32|,42;26;32|42;26;32|,35;31;34|35;31;34|,35;31;34|35;31;34|,100|100|,0;0;0|0;0;0|,100|100|,35;31;34|35;31;34|,35;31;34|35;31;34|,100|100|,100|100|
9,100|100|,35;31;34|35;31;34|,35;31;34|35;31;34|,31;30;39|31;30;39|,31;30;39|31;30;39|,100|100|,0;0;0|0;0;0|,100|100|,31;30;39|31;30;39|,31;30;39|31;30;39|,100|100|,100|100|
10,100|100|,31;30;39|31;30;39|,31;30;39|31;30;39|,26;30;44|26;30;44|,26;30;44|26;30;44|,100|100|,0;0;0|0;0;0|,100|100|,26;30;44|26;30;44|,26;30;44|26;30;44|,100|100|,100|100|
11,100|100|,26;30;44|26;30;44|,26;30;44|26;30;44|,25;20;55|25;20;55|,25;20;55|25;20;55|,100|100|,0;0;0|0;0;0|,100|100|,25;20;55|25;20;55|,25;20;55|25;20;55|,100|100|,100|100|
12,100|100|,25;20;55|25;20;55|,25;20;55|25;20;55|,24;18;58|24;18;58|,24;18;58|24;18;58|,100|100|,0;0;0|0;0;0|,100|100|,24;18;58|24;18;58|,24;18;58|24;18;58|,100|100|,100|100|
13,100|100|,24;18;58|24;18;58|,24;18;58|24;18;58|,18;22;60|18;22;60|,18;22;60|18;22;60|,100|100|,0;0;0|0;0;0|,100|100|,18;22;60|18;22;60|,18;22;60|18;22;60|,100|100|,100|100|
14,100|100|,18;22;60|18;22;60|,18;22;60|18;22;60|,17;19;64|17;19;64|,17;19;64|17;19;64|,100|100|,0;0;0|0;0;0|,100|100|,17;19;64|17;19;64|,17;19;64|17;19;64|,100|100|,100|100|
15,100|100|,17;19;64|17;19;64|,17;19;64|17;19;64|,14;17;69|14;17;69|,14;17;69|14;17;69|,100|100|,0;0;0|0;0;0|,100|100|,14;17;69|14;17;69|,14;17;69|14;17;69|,100|100|,100|100|
