Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,94;0;6;0|94;0;6;0|,94;0;6;0|94;0;6;0|,93;1;4;2|93;1;4;2|,93;1;4;2|93;1;4;2|,100|100|,0;0;0;0|0;0;0;0|,100|100|,93;1;4;2|93;1;4;2|,93;1;4;2|93;1;4;2|,100|100|,100|100|
1,100|100|,93;1;4;2|93;1;4;2|,93;1;4;2|93;1;4;2|,91;3;4;2|91;3;4;2|,91;3;4;2|91;3;4;2|,100|100|,0;0;0;0|0;0;0;0|,100|100|,91;3;4;2|91;3;4;2|,91;3;4;2|91;3;4;2|,100|100|,100|100|
2,100|100|,91;3;4;2|91;3;4;2|,91;3;4;2|91;3;4;2|,90;2;5;3|90;2;5;3|,90;2;5;3|90;2;5;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,90;2;5;3|90;2;5;3|,90;2;5;3|90;2;5;3|,100|100|,100|100|
3,100|100|,90;2;5;3|90;2;5;3|,90;2;5;3|90;2;5;3|,87;4;5;4|87;4;5;4|,87;4;5;4|87;4;5;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,87;4;5;4|87;4;5;4|,87;4;5;4|87;4;5;4|,100|100|,100|100|
4,100|100|,87;4;5;4|87;4;5;4|,87;4;5;4|87;4;5;4|,85;4;5;6|85;4;5;6|,85;4;5;6|85;4;5;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,85;4;5;6|85;4;5;6|,85;4;5;6|85;4;5;6|,100|100|,100|100|
5,100|100|,85;4;5;6|85;4;5;6|,85;4;5;6|85;4;5;6|,83;6;5;6|83;6;5;6|,83;6;5;6|83;6;5;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,83;6;5;6|83;6;5;6|,83;6;5;6|83;6;5;6|,100|100|,100|100|
6,100|100|,83;6;5;6|83;6;5;6|,83;6;5;6|83;6;5;6|,78;7;8;7|78;7;8;7|,78;7;8;7|78;7;8;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,78;7;8;7|78;7;8;7|,78;7;8;7|78;7;8;7|,100|100|,100|100|
7,100|100|,78;7;8;7|78;7;8;7|,78;7;8;7|78;7;8;7|,77;5;7;11|77;5;7;11|,77;5;7;11|77;5;7;11|,100|100|,0;0;0;0|0;0;0;0|,100|100|,77;5;7;11|77;5;7;11|,77;5;7;11|77;5;7;11|,100|100|,100|100|
8,100|100|,77;5;7;11|77;5;7;11|,77;5;7;11|77;5;7;11|,77;4;6;13|77;4;6;13|,77;4;6;13|77;4;6;13|,100|100|,0;0;0;0|0;0;0;0|,100|100|,77;4;6;13|77;4;6;13|,77;4;6;13|77;4;6;13|,100|100|,100|100|
9,100|100|,77;4;6;13|77;4;6;13|,77;4;6;13|77;4;6;13|,72;6;7;15|72;6;7;15|,72;6;7;15|72;6;7;15|,100|100|,0;0;0;0|0;0;0;0|,100|100|,72;6;7;15|72;6;7;15|,72;6;7;15|72;6;7;15|,100|100|,100|100|
10,100|100|,72;6;7;15|72;6;7;15|,72;6;7;15|72;6;7;15|,70;6;9;15|70;6;9;15|,70;6;9;15|70;6;9;15|,100|100|,0;0;0;0|0;0;0;0|,100|100|,70;6;9;15|70;6;9;15|,70;6;9;15|70;6;9;15|,100|100|,100|100|
11,100|100|,70;6;9;15|70;6;9;15|,70;6;9;15|70;6;9;15|,68;4;12;16|68;4;12;16|,68;4;12;16|68;4;12;16|,100|100|,0;0;0;0|0;0;0;0|,100|100|,68;4;12;16|68;4;12;16|,68;4;12;16|68;4;12;16|,100|100|,100|100|
12,100|100|,68;4;12;16|68;4;12;16|,68;4;12;16|68;4;12;16|,63;7;11;19|63;7;11;19|,63;7;11;19|63;7;11;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,63;7;11;19|63;7;11;19|,63;7;11;19|63;7;11;19|,100|100|,100|100|
13,100|100|,63;7;11;19|63;7;11;19|,63;7;11;19|63;7;11;19|,59;8;14;19|59;8;14;19|,59;8;14;19|59;8;14;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,59;8;14;19|59;8;14;19|,59;8;14;19|59;8;14;19|,100|100|,100|100|
14,100|100|,59;8;14;19|59;8;14;19|,59;8;14;19|59;8;14;19|,52;11;18;19|52;11;18;19|,52;11;18;19|52;11;18;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,52;11;18;19|52;11;18;19|,52;11;18;19|52;11;18;19|,100|100|,100|100|
15,100|100|,52;11;18;19|52;11;18;19|,52;11;18;19|52;11;18;19|,49;6;21;24|49;6;21;24|,49;6;21;24|49;6;21;24|,100|100|,0;0;0;0|0;0;0;0|,100|100|,49;6;21;24|49;6;21;24|,49;6;21;24|49;6;21;24|,100|100|,100|100|
16,100|100|,49;6;21;24|49;6;21;24|,49;6;21;24|49;6;21;24|,44;9;17;30|44;9;17;30|,44;9;17;30|44;9;17;30|,100|100|,0;0;0;0|0;0;0;0|,100|100|,44;9;17;30|44;9;17;30|,44;9;17;30|44;9;17;30|,100|100|,100|100|
17,100|100|,44;9;17;30|44;9;17;30|,44;9;17;30|44;9;17;30|,41;9;17;33|41;9;17;33|,41;9;17;33|41;9;17;33|,100|100|,0;0;0;0|0;0;0;0|,100|100|,41;9;17;33|41;9;17;33|,41;9;17;33|41;9;17;33|,100|100|,100|100|
