Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;0;12;0|88;0;12;0|,88;0;12;0|88;0;12;0|,81;7;9;3|81;7;9;3|,81;7;9;3|81;7;9;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,81;7;9;3|81;7;9;3|,81;7;9;3|81;7;9;3|,100|100|,100|100|
1,100|100|,81;7;9;3|81;7;9;3|,81;7;9;3|81;7;9;3|,76;7;13;4|76;7;13;4|,76;7;13;4|76;7;13;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,76;7;13;4|76;7;13;4|,76;7;13;4|76;7;13;4|,100|100|,100|100|
2,100|100|,76;7;13;4|76;7;13;4|,76;7;13;4|76;7;13;4|,72;8;12;8|72;8;12;8|,72;8;12;8|72;8;12;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,72;8;12;8|72;8;12;8|,72;8;12;8|72;8;12;8|,100|100|,100|100|
3,100|100|,72;8;12;8|72;8;12;8|,72;8;12;8|72;8;12;8|,67;10;11;12|67;10;11;12|,67;10;11;12|67;10;11;12|,100|100|,0;0;0;0|0;0;0;0|,100|100|,67;10;11;12|67;10;11;12|,67;10;11;12|67;10;11;12|,100|100|,100|100|
4,100|100|,67;10;11;12|67;10;11;12|,67;10;11;12|67;10;11;12|,65;7;14;14|65;7;14;14|,65;7;14;14|65;7;14;14|,100|100|,0;0;0;0|0;0;0;0|,100|100|,65;7;14;14|65;7;14;14|,65;7;14;14|65;7;14;14|,100|100|,100|100|
5,100|100|,65;7;14;14|65;7;14;14|,65;7;14;14|65;7;14;14|,63;5;16;16|63;5;16;16|,63;5;16;16|63;5;16;16|,100|100|,0;0;0;0|0;0;0;0|,100|100|,63;5;16;16|63;5;16;16|,63;5;16;16|63;5;16;16|,100|100|,100|100|
6,100|100|,63;5;16;16|63;5;16;16|,63;5;16;16|63;5;16;16|,59;4;16;21|59;4;16;21|,59;4;16;21|59;4;16;21|,100|100|,0;0;0;0|0;0;0;0|,100|100|,59;4;16;21|59;4;16;21|,59;4;16;21|59;4;16;21|,100|100|,100|100|
7,100|100|,59;4;16;21|59;4;16;21|,59;4;16;21|59;4;16;21|,57;3;18;22|57;3;18;22|,57;3;18;22|57;3;18;22|,100|100|,0;0;0;0|0;0;0;0|,100|100|,57;3;18;22|57;3;18;22|,57;3;18;22|57;3;18;22|,100|100|,100|100|
8,100|100|,57;3;18;22|57;3;18;22|,57;3;18;22|57;3;18;22|,52;7;17;24|52;7;17;24|,52;7;17;24|52;7;17;24|,100|100|,0;0;0;0|0;0;0;0|,100|100|,52;7;17;24|52;7;17;24|,52;7;17;24|52;7;17;24|,100|100|,100|100|
9,100|100|,52;7;17;24|52;7;17;24|,52;7;17;24|52;7;17;24|,47;10;14;29|47;10;14;29|,47;10;14;29|47;10;14;29|,100|100|,0;0;0;0|0;0;0;0|,100|100|,47;10;14;29|47;10;14;29|,47;10;14;29|47;10;14;29|,100|100|,100|100|
10,100|100|,47;10;14;29|47;10;14;29|,47;10;14;29|47;10;14;29|,46;8;14;32|46;8;14;32|,46;8;14;32|46;8;14;32|,100|100|,0;0;0;0|0;0;0;0|,100|100|,46;8;14;32|46;8;14;32|,46;8;14;32|46;8;14;32|,100|100|,100|100|
11,100|100|,46;8;14;32|46;8;14;32|,46;8;14;32|46;8;14;32|,45;6;14;35|45;6;14;35|,45;6;14;35|45;6;14;35|,100|100|,0;0;0;0|0;0;0;0|,100|100|,45;6;14;35|45;6;14;35|,45;6;14;35|45;6;14;35|,100|100|,100|100|
12,100|100|,45;6;14;35|45;6;14;35|,45;6;14;35|45;6;14;35|,42;5;12;41|42;5;12;41|,42;5;12;41|42;5;12;41|,100|100|,0;0;0;0|0;0;0;0|,100|100|,42;5;12;41|42;5;12;41|,42;5;12;41|42;5;12;41|,100|100|,100|100|
13,100|100|,42;5;12;41|42;5;12;41|,42;5;12;41|42;5;12;41|,37;9;8;46|37;9;8;46|,37;9;8;46|37;9;8;46|,100|100|,0;0;0;0|0;0;0;0|,100|100|,37;9;8;46|37;9;8;46|,37;9;8;46|37;9;8;46|,100|100|,100|100|
14,100|100|,37;9;8;46|37;9;8;46|,37;9;8;46|37;9;8;46|,35;5;9;51|35;5;9;51|,35;5;9;51|35;5;9;51|,100|100|,0;0;0;0|0;0;0;0|,100|100|,35;5;9;51|35;5;9;51|,35;5;9;51|35;5;9;51|,100|100|,100|100|
15,100|100|,35;5;9;51|35;5;9;51|,35;5;9;51|35;5;9;51|,32;6;9;53|32;6;9;53|,32;6;9;53|32;6;9;53|,100|100|,0;0;0;0|0;0;0;0|,100|100|,32;6;9;53|32;6;9;53|,32;6;9;53|32;6;9;53|,100|100|,100|100|
16,100|100|,32;6;9;53|32;6;9;53|,32;6;9;53|32;6;9;53|,31;5;9;55|31;5;9;55|,31;5;9;55|31;5;9;55|,100|100|,0;0;0;0|0;0;0;0|,100|100|,31;5;9;55|31;5;9;55|,31;5;9;55|31;5;9;55|,100|100|,100|100|
17,100|100|,31;5;9;55|31;5;9;55|,31;5;9;55|31;5;9;55|,30;3;11;56|30;3;11;56|,30;3;11;56|30;3;11;56|,100|100|,0;0;0;0|0;0;0;0|,100|100|,30;3;11;56|30;3;11;56|,30;3;11;56|30;3;11;56|,100|100|,100|100|
18,100|100|,30;3;11;56|30;3;11;56|,30;3;11;56|30;3;11;56|,30;1;12;57|30;1;12;57|,30;1;12;57|30;1;12;57|,100|100|,0;0;0;0|0;0;0;0|,100|100|,30;1;12;57|30;1;12;57|,30;1;12;57|30;1;12;57|,100|100|,100|100|
19,100|100|,30;1;12;57|30;1;12;57|,30;1;12;57|30;1;12;57|,28;3;7;62|28;3;7;62|,28;3;7;62|28;3;7;62|,100|100|,0;0;0;0|0;0;0;0|,100|100|,28;3;7;62|28;3;7;62|,28;3;7;62|28;3;7;62|,100|100|,100|100|
20,100|100|,28;3;7;62|28;3;7;62|,28;3;7;62|28;3;7;62|,27;3;5;65|27;3;5;65|,27;3;5;65|27;3;5;65|,100|100|,0;0;0;0|0;0;0;0|,100|100|,27;3;5;65|27;3;5;65|,27;3;5;65|27;3;5;65|,100|100|,100|100|
21,100|100|,27;3;5;65|27;3;5;65|,27;3;5;65|27;3;5;65|,26;4;5;65|26;4;5;65|,26;4;5;65|26;4;5;65|,100|100|,0;0;0;0|0;0;0;0|,100|100|,26;4;5;65|26;4;5;65|,26;4;5;65|26;4;5;65|,100|100|,100|100|
22,100|100|,26;4;5;65|26;4;5;65|,26;4;5;65|26;4;5;65|,25;2;6;67|25;2;6;67|,25;2;6;67|25;2;6;67|,100|100|,0;0;0;0|0;0;0;0|,100|100|,25;2;6;67|25;2;6;67|,25;2;6;67|25;2;6;67|,100|100|,100|100|
23,100|100|,25;2;6;67|25;2;6;67|,25;2;6;67|25;2;6;67|,23;3;4;70|23;3;4;70|,23;3;4;70|23;3;4;70|,100|100|,0;0;0;0|0;0;0;0|,100|100|,23;3;4;70|23;3;4;70|,23;3;4;70|23;3;4;70|,100|100|,100|100|
24,100|100|,23;3;4;70|23;3;4;70|,23;3;4;70|23;3;4;70|,22;2;3;73|22;2;3;73|,22;2;3;73|22;2;3;73|,100|100|,0;0;0;0|0;0;0;0|,100|100|,22;2;3;73|22;2;3;73|,22;2;3;73|22;2;3;73|,100|100|,100|100|
25,100|100|,22;2;3;73|22;2;3;73|,22;2;3;73|22;2;3;73|,22;2;3;73|22;2;3;73|,22;2;3;73|22;2;3;73|,100|100|,0;0;0;0|0;0;0;0|,100|100|,22;2;3;73|22;2;3;73|,22;2;3;73|22;2;3;73|,100|100|,100|100|
26,100|100|,22;2;3;73|22;2;3;73|,22;2;3;73|22;2;3;73|,22;2;3;73|22;2;3;73|,22;2;3;73|22;2;3;73|,100|100|,0;0;0;0|0;0;0;0|,100|100|,22;2;3;73|22;2;3;73|,22;2;3;73|22;2;3;73|,100|100|,100|100|
