Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;0;8;0|92;0;8;0|,0.0|0.0|,92;0;8;0|92;0;8;0|,88;4;6;2|88;4;6;2|,88;4;6;2|88;4;6;2|,100|100|,0;0;0;0|0;0;0;0|,100|100|,88;4;6;2|88;4;6;2|,88;4;6;2|88;4;6;2|,100|100|,100|100|
1,100|100|,88;4;6;2|88;4;6;2|,0.0|0.0|,88;4;6;2|88;4;6;2|,85;3;7;5|85;3;7;5|,85;3;7;5|85;3;7;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,85;3;7;5|85;3;7;5|,85;3;7;5|85;3;7;5|,100|100|,100|100|
2,100|100|,85;3;7;5|85;3;7;5|,0.0|0.0|,85;3;7;5|85;3;7;5|,83;5;6;6|83;5;6;6|,83;5;6;6|83;5;6;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,83;5;6;6|83;5;6;6|,83;5;6;6|83;5;6;6|,100|100|,100|100|
3,100|100|,83;5;6;6|83;5;6;6|,0.0|0.0|,83;5;6;6|83;5;6;6|,82;4;8;6|82;4;8;6|,82;4;8;6|82;4;8;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,82;4;8;6|82;4;8;6|,82;4;8;6|82;4;8;6|,100|100|,100|100|
4,100|100|,82;4;8;6|82;4;8;6|,0.0|0.0|,82;4;8;6|82;4;8;6|,78;6;10;6|78;6;10;6|,78;6;10;6|78;6;10;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,78;6;10;6|78;6;10;6|,78;6;10;6|78;6;10;6|,100|100|,100|100|
5,100|100|,78;6;10;6|78;6;10;6|,0.0|0.0|,78;6;10;6|78;6;10;6|,77;4;11;8|77;4;11;8|,77;4;11;8|77;4;11;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,77;4;11;8|77;4;11;8|,77;4;11;8|77;4;11;8|,100|100|,100|100|
6,100|100|,77;4;11;8|77;4;11;8|,0.0|0.0|,77;4;11;8|77;4;11;8|,73;8;9;10|73;8;9;10|,73;8;9;10|73;8;9;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,73;8;9;10|73;8;9;10|,73;8;9;10|73;8;9;10|,100|100|,100|100|
7,100|100|,73;8;9;10|73;8;9;10|,0.0|0.0|,73;8;9;10|73;8;9;10|,71;8;7;14|71;8;7;14|,71;8;7;14|71;8;7;14|,100|100|,0;0;0;0|0;0;0;0|,100|100|,71;8;7;14|71;8;7;14|,71;8;7;14|71;8;7;14|,100|100|,100|100|
8,100|100|,71;8;7;14|71;8;7;14|,0.0|0.0|,71;8;7;14|71;8;7;14|,67;5;13;15|67;5;13;15|,67;5;13;15|67;5;13;15|,100|100|,0;0;0;0|0;0;0;0|,100|100|,67;5;13;15|67;5;13;15|,67;5;13;15|67;5;13;15|,100|100|,100|100|
9,100|100|,67;5;13;15|67;5;13;15|,0.0|0.0|,67;5;13;15|67;5;13;15|,63;6;14;17|63;6;14;17|,63;6;14;17|63;6;14;17|,100|100|,0;0;0;0|0;0;0;0|,100|100|,63;6;14;17|63;6;14;17|,63;6;14;17|63;6;14;17|,100|100|,100|100|
10,100|100|,63;6;14;17|63;6;14;17|,0.0|0.0|,63;6;14;17|63;6;14;17|,59;7;14;20|59;7;14;20|,59;7;14;20|59;7;14;20|,100|100|,0;0;0;0|0;0;0;0|,100|100|,59;7;14;20|59;7;14;20|,59;7;14;20|59;7;14;20|,100|100|,100|100|
11,100|100|,59;7;14;20|59;7;14;20|,0.0|0.0|,59;7;14;20|59;7;14;20|,55;10;14;21|55;10;14;21|,55;10;14;21|55;10;14;21|,100|100|,0;0;0;0|0;0;0;0|,100|100|,55;10;14;21|55;10;14;21|,55;10;14;21|55;10;14;21|,100|100|,100|100|
12,100|100|,55;10;14;21|55;10;14;21|,0.0|0.0|,55;10;14;21|55;10;14;21|,51;9;12;28|51;9;12;28|,51;9;12;28|51;9;12;28|,100|100|,0;0;0;0|0;0;0;0|,100|100|,51;9;12;28|51;9;12;28|,51;9;12;28|51;9;12;28|,100|100|,100|100|
13,100|100|,51;9;12;28|51;9;12;28|,0.0|0.0|,51;9;12;28|51;9;12;28|,46;8;17;29|46;8;17;29|,46;8;17;29|46;8;17;29|,100|100|,0;0;0;0|0;0;0;0|,100|100|,46;8;17;29|46;8;17;29|,46;8;17;29|46;8;17;29|,100|100|,100|100|
14,100|100|,46;8;17;29|46;8;17;29|,0.0|0.0|,46;8;17;29|46;8;17;29|,42;6;23;29|42;6;23;29|,42;6;23;29|42;6;23;29|,100|100|,0;0;0;0|0;0;0;0|,100|100|,42;6;23;29|42;6;23;29|,42;6;23;29|42;6;23;29|,100|100|,100|100|
15,100|100|,42;6;23;29|42;6;23;29|,0.0|0.0|,42;6;23;29|42;6;23;29|,36;10;18;36|36;10;18;36|,36;10;18;36|36;10;18;36|,100|100|,0;0;0;0|0;0;0;0|,100|100|,36;10;18;36|36;10;18;36|,36;10;18;36|36;10;18;36|,100|100|,100|100|
16,100|100|,36;10;18;36|36;10;18;36|,0.0|0.0|,36;10;18;36|36;10;18;36|,35;2;24;39|35;2;24;39|,35;2;24;39|35;2;24;39|,100|100|,0;0;0;0|0;0;0;0|,100|100|,35;2;24;39|35;2;24;39|,35;2;24;39|35;2;24;39|,100|100|,100|100|
17,100|100|,35;2;24;39|35;2;24;39|,0.0|0.0|,35;2;24;39|35;2;24;39|,34;2;18;46|34;2;18;46|,34;2;18;46|34;2;18;46|,100|100|,0;0;0;0|0;0;0;0|,100|100|,34;2;18;46|34;2;18;46|,34;2;18;46|34;2;18;46|,100|100|,100|100|
18,100|100|,34;2;18;46|34;2;18;46|,0.0|0.0|,34;2;18;46|34;2;18;46|,29;6;15;50|29;6;15;50|,29;6;15;50|29;6;15;50|,100|100|,0;0;0;0|0;0;0;0|,100|100|,29;6;15;50|29;6;15;50|,29;6;15;50|29;6;15;50|,100|100|,100|100|
19,100|100|,29;6;15;50|29;6;15;50|,0.0|0.0|,29;6;15;50|29;6;15;50|,26;6;17;51|26;6;17;51|,26;6;17;51|26;6;17;51|,100|100|,0;0;0;0|0;0;0;0|,100|100|,26;6;17;51|26;6;17;51|,26;6;17;51|26;6;17;51|,100|100|,100|100|
20,100|100|,26;6;17;51|26;6;17;51|,0.0|0.0|,26;6;17;51|26;6;17;51|,24;5;17;54|24;5;17;54|,24;5;17;54|24;5;17;54|,100|100|,0;0;0;0|0;0;0;0|,100|100|,24;5;17;54|24;5;17;54|,24;5;17;54|24;5;17;54|,100|100|,100|100|
21,100|100|,24;5;17;54|24;5;17;54|,0.0|0.0|,24;5;17;54|24;5;17;54|,21;7;15;57|21;7;15;57|,21;7;15;57|21;7;15;57|,100|100|,0;0;0;0|0;0;0;0|,100|100|,21;7;15;57|21;7;15;57|,21;7;15;57|21;7;15;57|,100|100|,100|100|
22,100|100|,21;7;15;57|21;7;15;57|,0.0|0.0|,21;7;15;57|21;7;15;57|,20;6;14;60|20;6;14;60|,20;6;14;60|20;6;14;60|,100|100|,0;0;0;0|0;0;0;0|,100|100|,20;6;14;60|20;6;14;60|,20;6;14;60|20;6;14;60|,100|100|,100|100|
23,100|100|,20;6;14;60|20;6;14;60|,0.0|0.0|,20;6;14;60|20;6;14;60|,20;2;16;62|20;2;16;62|,20;2;16;62|20;2;16;62|,100|100|,0;0;0;0|0;0;0;0|,100|100|,20;2;16;62|20;2;16;62|,20;2;16;62|20;2;16;62|,100|100|,100|100|
24,100|100|,20;2;16;62|20;2;16;62|,0.0|0.0|,20;2;16;62|20;2;16;62|,19;1;15;65|19;1;15;65|,19;1;15;65|19;1;15;65|,100|100|,0;0;0;0|0;0;0;0|,100|100|,19;1;15;65|19;1;15;65|,19;1;15;65|19;1;15;65|,100|100|,100|100|
25,100|100|,19;1;15;65|19;1;15;65|,0.0|0.0|,19;1;15;65|19;1;15;65|,18;2;13;67|18;2;13;67|,18;2;13;67|18;2;13;67|,100|100|,0;0;0;0|0;0;0;0|,100|100|,18;2;13;67|18;2;13;67|,18;2;13;67|18;2;13;67|,100|100|,100|100|
26,100|100|,18;2;13;67|18;2;13;67|,0.0|0.0|,18;2;13;67|18;2;13;67|,16;3;14;67|16;3;14;67|,16;3;14;67|16;3;14;67|,100|100|,0;0;0;0|0;0;0;0|,100|100|,16;3;14;67|16;3;14;67|,16;3;14;67|16;3;14;67|,100|100|,100|100|
27,100|100|,16;3;14;67|16;3;14;67|,0.0|0.0|,16;3;14;67|16;3;14;67|,15;2;16;67|15;2;16;67|,15;2;16;67|15;2;16;67|,100|100|,0;0;0;0|0;0;0;0|,100|100|,15;2;16;67|15;2;16;67|,15;2;16;67|15;2;16;67|,100|100|,100|100|
28,100|100|,15;2;16;67|15;2;16;67|,0.0|0.0|,15;2;16;67|15;2;16;67|,13;2;16;69|13;2;16;69|,13;2;16;69|13;2;16;69|,100|100|,0;0;0;0|0;0;0;0|,100|100|,13;2;16;69|13;2;16;69|,13;2;16;69|13;2;16;69|,100|100|,100|100|
29,100|100|,13;2;16;69|13;2;16;69|,0.0|0.0|,13;2;16;69|13;2;16;69|,13;0;17;70|13;0;17;70|,13;0;17;70|13;0;17;70|,100|100|,0;0;0;0|0;0;0;0|,100|100|,13;0;17;70|13;0;17;70|,13;0;17;70|13;0;17;70|,100|100|,100|100|
30,100|100|,13;0;17;70|13;0;17;70|,0.0|0.0|,13;0;17;70|13;0;17;70|,13;0;14;73|13;0;14;73|,13;0;14;73|13;0;14;73|,100|100|,0;0;0;0|0;0;0;0|,100|100|,13;0;14;73|13;0;14;73|,13;0;14;73|13;0;14;73|,100|100|,100|100|
31,100|100|,13;0;14;73|13;0;14;73|,0.0|0.0|,13;0;14;73|13;0;14;73|,10;3;12;75|10;3;12;75|,10;3;12;75|10;3;12;75|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;3;12;75|10;3;12;75|,10;3;12;75|10;3;12;75|,100|100|,100|100|
32,100|100|,10;3;12;75|10;3;12;75|,0.0|0.0|,10;3;12;75|10;3;12;75|,10;2;11;77|10;2;11;77|,10;2;11;77|10;2;11;77|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;2;11;77|10;2;11;77|,10;2;11;77|10;2;11;77|,100|100|,100|100|
33,100|100|,10;2;11;77|10;2;11;77|,0.0|0.0|,10;2;11;77|10;2;11;77|,10;1;9;80|10;1;9;80|,10;1;9;80|10;1;9;80|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;1;9;80|10;1;9;80|,10;1;9;80|10;1;9;80|,100|100|,100|100|
34,100|100|,10;1;9;80|10;1;9;80|,0.0|0.0|,10;1;9;80|10;1;9;80|,10;0;8;82|10;0;8;82|,10;0;8;82|10;0;8;82|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;8;82|10;0;8;82|,10;0;8;82|10;0;8;82|,100|100|,100|100|
35,100|100|,10;0;8;82|10;0;8;82|,0.0|0.0|,10;0;8;82|10;0;8;82|,10;0;8;82|10;0;8;82|,10;0;8;82|10;0;8;82|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;8;82|10;0;8;82|,10;0;8;82|10;0;8;82|,100|100|,100|100|
36,100|100|,10;0;8;82|10;0;8;82|,0.0|0.0|,10;0;8;82|10;0;8;82|,10;0;8;82|10;0;8;82|,10;0;8;82|10;0;8;82|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;8;82|10;0;8;82|,10;0;8;82|10;0;8;82|,100|100|,100|100|
37,100|100|,10;0;8;82|10;0;8;82|,0.0|0.0|,10;0;8;82|10;0;8;82|,10;0;4;86|10;0;4;86|,10;0;4;86|10;0;4;86|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;4;86|10;0;4;86|,10;0;4;86|10;0;4;86|,100|100|,100|100|
38,100|100|,10;0;4;86|10;0;4;86|,0.0|0.0|,10;0;4;86|10;0;4;86|,10;0;4;86|10;0;4;86|,10;0;4;86|10;0;4;86|,100|100|,0;0;0;0|0;0;0;0|,100|100|,10;0;4;86|10;0;4;86|,10;0;4;86|10;0;4;86|,100|100|,100|100|
39,100|100|,10;0;4;86|10;0;4;86|,0.0|0.0|,10;0;4;86|10;0;4;86|,9;1;4;86|9;1;4;86|,9;1;4;86|9;1;4;86|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;4;86|9;1;4;86|,9;1;4;86|9;1;4;86|,100|100|,100|100|
40,100|100|,9;1;4;86|9;1;4;86|,0.0|0.0|,9;1;4;86|9;1;4;86|,9;1;2;88|9;1;2;88|,9;1;2;88|9;1;2;88|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;2;88|9;1;2;88|,9;1;2;88|9;1;2;88|,100|100|,100|100|
41,100|100|,9;1;2;88|9;1;2;88|,0.0|0.0|,9;1;2;88|9;1;2;88|,9;1;2;88|9;1;2;88|,9;1;2;88|9;1;2;88|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;1;2;88|9;1;2;88|,9;1;2;88|9;1;2;88|,100|100|,100|100|
42,100|100|,9;1;2;88|9;1;2;88|,0.0|0.0|,9;1;2;88|9;1;2;88|,8;1;3;88|8;1;3;88|,8;1;3;88|8;1;3;88|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;1;3;88|8;1;3;88|,8;1;3;88|8;1;3;88|,100|100|,100|100|
43,100|100|,8;1;3;88|8;1;3;88|,0.0|0.0|,8;1;3;88|8;1;3;88|,8;1;2;89|8;1;2;89|,8;1;2;89|8;1;2;89|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;1;2;89|8;1;2;89|,8;1;2;89|8;1;2;89|,100|100|,100|100|
44,100|100|,8;1;2;89|8;1;2;89|,0.0|0.0|,8;1;2;89|8;1;2;89|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,100|100|,100|100|
45,100|100|,8;1;0;91|8;1;0;91|,0.0|0.0|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,100|100|,100|100|
46,100|100|,8;1;0;91|8;1;0;91|,0.0|0.0|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,100|100|,100|100|
47,100|100|,8;1;0;91|8;1;0;91|,0.0|0.0|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;1;0;91|8;1;0;91|,8;1;0;91|8;1;0;91|,100|100|,100|100|
48,100|100|,8;1;0;91|8;1;0;91|,0.0|0.0|,8;1;0;91|8;1;0;91|,8;0;1;91|8;0;1;91|,8;0;1;91|8;0;1;91|,100|100|,0;0;0;0|0;0;0;0|,100|100|,8;0;1;91|8;0;1;91|,8;0;1;91|8;0;1;91|,100|100|,100|100|
