Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;0;12;0|88;0;12;0|,0.0|0.0|,88;0;12;0|88;0;12;0|,86;2;7;5|86;2;7;5|,86;2;7;5|86;2;7;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,86;2;7;5|86;2;7;5|,86;2;7;5|86;2;7;5|,100|100|,100|100|
1,100|100|,86;2;7;5|86;2;7;5|,0.0|0.0|,86;2;7;5|86;2;7;5|,82;4;6;8|82;4;6;8|,82;4;6;8|82;4;6;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,82;4;6;8|82;4;6;8|,82;4;6;8|82;4;6;8|,100|100|,100|100|
2,100|100|,82;4;6;8|82;4;6;8|,0.0|0.0|,82;4;6;8|82;4;6;8|,79;5;8;8|79;5;8;8|,79;5;8;8|79;5;8;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,79;5;8;8|79;5;8;8|,79;5;8;8|79;5;8;8|,100|100|,100|100|
3,100|100|,79;5;8;8|79;5;8;8|,0.0|0.0|,79;5;8;8|79;5;8;8|,76;5;9;10|76;5;9;10|,76;5;9;10|76;5;9;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,76;5;9;10|76;5;9;10|,76;5;9;10|76;5;9;10|,100|100|,100|100|
4,100|100|,76;5;9;10|76;5;9;10|,0.0|0.0|,76;5;9;10|76;5;9;10|,75;3;11;11|75;3;11;11|,75;3;11;11|75;3;11;11|,100|100|,0;0;0;0|0;0;0;0|,100|100|,75;3;11;11|75;3;11;11|,75;3;11;11|75;3;11;11|,100|100|,100|100|
5,100|100|,75;3;11;11|75;3;11;11|,0.0|0.0|,75;3;11;11|75;3;11;11|,71;5;11;13|71;5;11;13|,71;5;11;13|71;5;11;13|,100|100|,0;0;0;0|0;0;0;0|,100|100|,71;5;11;13|71;5;11;13|,71;5;11;13|71;5;11;13|,100|100|,100|100|
6,100|100|,71;5;11;13|71;5;11;13|,0.0|0.0|,71;5;11;13|71;5;11;13|,70;6;9;15|70;6;9;15|,70;6;9;15|70;6;9;15|,100|100|,0;0;0;0|0;0;0;0|,100|100|,70;6;9;15|70;6;9;15|,70;6;9;15|70;6;9;15|,100|100|,100|100|
7,100|100|,70;6;9;15|70;6;9;15|,0.0|0.0|,70;6;9;15|70;6;9;15|,66;8;10;16|66;8;10;16|,66;8;10;16|66;8;10;16|,100|100|,0;0;0;0|0;0;0;0|,100|100|,66;8;10;16|66;8;10;16|,66;8;10;16|66;8;10;16|,100|100|,100|100|
8,100|100|,66;8;10;16|66;8;10;16|,0.0|0.0|,66;8;10;16|66;8;10;16|,63;4;15;18|63;4;15;18|,63;4;15;18|63;4;15;18|,100|100|,0;0;0;0|0;0;0;0|,100|100|,63;4;15;18|63;4;15;18|,63;4;15;18|63;4;15;18|,100|100|,100|100|
9,100|100|,63;4;15;18|63;4;15;18|,0.0|0.0|,63;4;15;18|63;4;15;18|,56;8;14;22|56;8;14;22|,56;8;14;22|56;8;14;22|,100|100|,0;0;0;0|0;0;0;0|,100|100|,56;8;14;22|56;8;14;22|,56;8;14;22|56;8;14;22|,100|100|,100|100|
10,100|100|,56;8;14;22|56;8;14;22|,0.0|0.0|,56;8;14;22|56;8;14;22|,52;6;16;26|52;6;16;26|,52;6;16;26|52;6;16;26|,100|100|,0;0;0;0|0;0;0;0|,100|100|,52;6;16;26|52;6;16;26|,52;6;16;26|52;6;16;26|,100|100|,100|100|
11,100|100|,52;6;16;26|52;6;16;26|,0.0|0.0|,52;6;16;26|52;6;16;26|,49;8;16;27|49;8;16;27|,49;8;16;27|49;8;16;27|,100|100|,0;0;0;0|0;0;0;0|,100|100|,49;8;16;27|49;8;16;27|,49;8;16;27|49;8;16;27|,100|100|,100|100|
12,100|100|,49;8;16;27|49;8;16;27|,0.0|0.0|,49;8;16;27|49;8;16;27|,45;9;19;27|45;9;19;27|,45;9;19;27|45;9;19;27|,100|100|,0;0;0;0|0;0;0;0|,100|100|,45;9;19;27|45;9;19;27|,45;9;19;27|45;9;19;27|,100|100|,100|100|
13,100|100|,45;9;19;27|45;9;19;27|,0.0|0.0|,45;9;19;27|45;9;19;27|,41;9;22;28|41;9;22;28|,41;9;22;28|41;9;22;28|,100|100|,0;0;0;0|0;0;0;0|,100|100|,41;9;22;28|41;9;22;28|,41;9;22;28|41;9;22;28|,100|100|,100|100|
14,100|100|,41;9;22;28|41;9;22;28|,0.0|0.0|,41;9;22;28|41;9;22;28|,34;13;21;32|34;13;21;32|,34;13;21;32|34;13;21;32|,100|100|,0;0;0;0|0;0;0;0|,100|100|,34;13;21;32|34;13;21;32|,34;13;21;32|34;13;21;32|,100|100|,100|100|
15,100|100|,34;13;21;32|34;13;21;32|,0.0|0.0|,34;13;21;32|34;13;21;32|,31;8;25;36|31;8;25;36|,31;8;25;36|31;8;25;36|,100|100|,0;0;0;0|0;0;0;0|,100|100|,31;8;25;36|31;8;25;36|,31;8;25;36|31;8;25;36|,100|100|,100|100|
16,100|100|,31;8;25;36|31;8;25;36|,0.0|0.0|,31;8;25;36|31;8;25;36|,29;7;25;39|29;7;25;39|,29;7;25;39|29;7;25;39|,100|100|,0;0;0;0|0;0;0;0|,100|100|,29;7;25;39|29;7;25;39|,29;7;25;39|29;7;25;39|,100|100|,100|100|
17,100|100|,29;7;25;39|29;7;25;39|,0.0|0.0|,29;7;25;39|29;7;25;39|,23;9;22;46|23;9;22;46|,23;9;22;46|23;9;22;46|,100|100|,0;0;0;0|0;0;0;0|,100|100|,23;9;22;46|23;9;22;46|,23;9;22;46|23;9;22;46|,100|100|,100|100|
18,100|100|,23;9;22;46|23;9;22;46|,0.0|0.0|,23;9;22;46|23;9;22;46|,22;7;18;53|22;7;18;53|,22;7;18;53|22;7;18;53|,100|100|,0;0;0;0|0;0;0;0|,100|100|,22;7;18;53|22;7;18;53|,22;7;18;53|22;7;18;53|,100|100|,100|100|
19,100|100|,22;7;18;53|22;7;18;53|,0.0|0.0|,22;7;18;53|22;7;18;53|,21;5;18;56|21;5;18;56|,21;5;18;56|21;5;18;56|,100|100|,0;0;0;0|0;0;0;0|,100|100|,21;5;18;56|21;5;18;56|,21;5;18;56|21;5;18;56|,100|100|,100|100|
20,100|100|,21;5;18;56|21;5;18;56|,0.0|0.0|,21;5;18;56|21;5;18;56|,17;7;17;59|17;7;17;59|,17;7;17;59|17;7;17;59|,100|100|,0;0;0;0|0;0;0;0|,100|100|,17;7;17;59|17;7;17;59|,17;7;17;59|17;7;17;59|,100|100|,100|100|
21,100|100|,17;7;17;59|17;7;17;59|,0.0|0.0|,17;7;17;59|17;7;17;59|,15;5;16;64|15;5;16;64|,15;5;16;64|15;5;16;64|,100|100|,0;0;0;0|0;0;0;0|,100|100|,15;5;16;64|15;5;16;64|,15;5;16;64|15;5;16;64|,100|100|,100|100|
22,100|100|,15;5;16;64|15;5;16;64|,0.0|0.0|,15;5;16;64|15;5;16;64|,14;3;15;68|14;3;15;68|,14;3;15;68|14;3;15;68|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;3;15;68|14;3;15;68|,14;3;15;68|14;3;15;68|,100|100|,100|100|
23,100|100|,14;3;15;68|14;3;15;68|,0.0|0.0|,14;3;15;68|14;3;15;68|,13;2;15;70|13;2;15;70|,13;2;15;70|13;2;15;70|,100|100|,0;0;0;0|0;0;0;0|,100|100|,13;2;15;70|13;2;15;70|,13;2;15;70|13;2;15;70|,100|100|,100|100|
24,100|100|,13;2;15;70|13;2;15;70|,0.0|0.0|,13;2;15;70|13;2;15;70|,11;4;12;73|11;4;12;73|,11;4;12;73|11;4;12;73|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;4;12;73|11;4;12;73|,11;4;12;73|11;4;12;73|,100|100|,100|100|
