Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;9;0|91;9;0|,0.0|0.0|,91;9;0|91;9;0|,88;10;2|88;10;2|,88;10;2|88;10;2|,100|100|,0;0;0|0;0;0|,100|100|,88;10;2|88;10;2|,88;10;2|88;10;2|,100|100|,100|100|
1,100|100|,88;10;2|88;10;2|,0.0|0.0|,88;10;2|88;10;2|,82;12;6|82;12;6|,82;12;6|82;12;6|,100|100|,0;0;0|0;0;0|,100|100|,82;12;6|82;12;6|,82;12;6|82;12;6|,100|100|,100|100|
2,100|100|,82;12;6|82;12;6|,0.0|0.0|,82;12;6|82;12;6|,76;16;8|76;16;8|,76;16;8|76;16;8|,100|100|,0;0;0|0;0;0|,100|100|,76;16;8|76;16;8|,76;16;8|76;16;8|,100|100|,100|100|
3,100|100|,76;16;8|76;16;8|,0.0|0.0|,76;16;8|76;16;8|,69;22;9|69;22;9|,69;22;9|69;22;9|,100|100|,0;0;0|0;0;0|,100|100|,69;22;9|69;22;9|,69;22;9|69;22;9|,100|100|,100|100|
4,100|100|,69;22;9|69;22;9|,0.0|0.0|,69;22;9|69;22;9|,61;21;18|61;21;18|,61;21;18|61;21;18|,100|100|,0;0;0|0;0;0|,100|100|,61;21;18|61;21;18|,61;21;18|61;21;18|,100|100|,100|100|
5,100|100|,61;21;18|61;21;18|,0.0|0.0|,61;21;18|61;21;18|,52;22;26|52;22;26|,52;22;26|52;22;26|,100|100|,0;0;0|0;0;0|,100|100|,52;22;26|52;22;26|,52;22;26|52;22;26|,100|100|,100|100|
6,100|100|,52;22;26|52;22;26|,0.0|0.0|,52;22;26|52;22;26|,47;21;32|47;21;32|,47;21;32|47;21;32|,100|100|,0;0;0|0;0;0|,100|100|,47;21;32|47;21;32|,47;21;32|47;21;32|,100|100|,100|100|
7,100|100|,47;21;32|47;21;32|,0.0|0.0|,47;21;32|47;21;32|,39;21;40|39;21;40|,39;21;40|39;21;40|,100|100|,0;0;0|0;0;0|,100|100|,39;21;40|39;21;40|,39;21;40|39;21;40|,100|100|,100|100|
8,100|100|,39;21;40|39;21;40|,0.0|0.0|,39;21;40|39;21;40|,35;21;44|35;21;44|,35;21;44|35;21;44|,100|100|,0;0;0|0;0;0|,100|100|,35;21;44|35;21;44|,35;21;44|35;21;44|,100|100|,100|100|
9,100|100|,35;21;44|35;21;44|,0.0|0.0|,35;21;44|35;21;44|,32;24;44|32;24;44|,32;24;44|32;24;44|,100|100|,0;0;0|0;0;0|,100|100|,32;24;44|32;24;44|,32;24;44|32;24;44|,100|100|,100|100|
10,100|100|,32;24;44|32;24;44|,0.0|0.0|,32;24;44|32;24;44|,30;22;48|30;22;48|,30;22;48|30;22;48|,100|100|,0;0;0|0;0;0|,100|100|,30;22;48|30;22;48|,30;22;48|30;22;48|,100|100|,100|100|
11,100|100|,30;22;48|30;22;48|,0.0|0.0|,30;22;48|30;22;48|,27;19;54|27;19;54|,27;19;54|27;19;54|,100|100|,0;0;0|0;0;0|,100|100|,27;19;54|27;19;54|,27;19;54|27;19;54|,100|100|,100|100|
12,100|100|,27;19;54|27;19;54|,0.0|0.0|,27;19;54|27;19;54|,24;16;60|24;16;60|,24;16;60|24;16;60|,100|100|,0;0;0|0;0;0|,100|100|,24;16;60|24;16;60|,24;16;60|24;16;60|,100|100|,100|100|
13,100|100|,24;16;60|24;16;60|,0.0|0.0|,24;16;60|24;16;60|,21;17;62|21;17;62|,21;17;62|21;17;62|,100|100|,0;0;0|0;0;0|,100|100|,21;17;62|21;17;62|,21;17;62|21;17;62|,100|100|,100|100|
14,100|100|,21;17;62|21;17;62|,0.0|0.0|,21;17;62|21;17;62|,18;17;65|18;17;65|,18;17;65|18;17;65|,100|100|,0;0;0|0;0;0|,100|100|,18;17;65|18;17;65|,18;17;65|18;17;65|,100|100|,100|100|
15,100|100|,18;17;65|18;17;65|,0.0|0.0|,18;17;65|18;17;65|,18;12;70|18;12;70|,18;12;70|18;12;70|,100|100|,0;0;0|0;0;0|,100|100|,18;12;70|18;12;70|,18;12;70|18;12;70|,100|100|,100|100|
16,100|100|,18;12;70|18;12;70|,0.0|0.0|,18;12;70|18;12;70|,18;12;70|18;12;70|,18;12;70|18;12;70|,100|100|,0;0;0|0;0;0|,100|100|,18;12;70|18;12;70|,18;12;70|18;12;70|,100|100|,100|100|
17,100|100|,18;12;70|18;12;70|,0.0|0.0|,18;12;70|18;12;70|,17;10;73|17;10;73|,17;10;73|17;10;73|,100|100|,0;0;0|0;0;0|,100|100|,17;10;73|17;10;73|,17;10;73|17;10;73|,100|100|,100|100|
18,100|100|,17;10;73|17;10;73|,0.0|0.0|,17;10;73|17;10;73|,17;4;79|17;4;79|,17;4;79|17;4;79|,100|100|,0;0;0|0;0;0|,100|100|,17;4;79|17;4;79|,17;4;79|17;4;79|,100|100|,100|100|
19,100|100|,17;4;79|17;4;79|,0.0|0.0|,17;4;79|17;4;79|,17;4;79|17;4;79|,17;4;79|17;4;79|,100|100|,0;0;0|0;0;0|,100|100|,17;4;79|17;4;79|,17;4;79|17;4;79|,100|100|,100|100|
20,100|100|,17;4;79|17;4;79|,0.0|0.0|,17;4;79|17;4;79|,16;4;80|16;4;80|,16;4;80|16;4;80|,100|100|,0;0;0|0;0;0|,100|100|,16;4;80|16;4;80|,16;4;80|16;4;80|,100|100|,100|100|
21,100|100|,16;4;80|16;4;80|,0.0|0.0|,16;4;80|16;4;80|,15;3;82|15;3;82|,15;3;82|15;3;82|,100|100|,0;0;0|0;0;0|,100|100|,15;3;82|15;3;82|,15;3;82|15;3;82|,100|100|,100|100|
22,100|100|,15;3;82|15;3;82|,0.0|0.0|,15;3;82|15;3;82|,15;3;82|15;3;82|,15;3;82|15;3;82|,100|100|,0;0;0|0;0;0|,100|100|,15;3;82|15;3;82|,15;3;82|15;3;82|,100|100|,100|100|
23,100|100|,15;3;82|15;3;82|,0.0|0.0|,15;3;82|15;3;82|,14;4;82|14;4;82|,14;4;82|14;4;82|,100|100|,0;0;0|0;0;0|,100|100|,14;4;82|14;4;82|,14;4;82|14;4;82|,100|100|,100|100|
24,100|100|,14;4;82|14;4;82|,0.0|0.0|,14;4;82|14;4;82|,14;4;82|14;4;82|,14;4;82|14;4;82|,100|100|,0;0;0|0;0;0|,100|100|,14;4;82|14;4;82|,14;4;82|14;4;82|,100|100|,100|100|
25,100|100|,14;4;82|14;4;82|,0.0|0.0|,14;4;82|14;4;82|,14;3;83|14;3;83|,14;3;83|14;3;83|,100|100|,0;0;0|0;0;0|,100|100|,14;3;83|14;3;83|,14;3;83|14;3;83|,100|100|,100|100|
26,100|100|,14;3;83|14;3;83|,0.0|0.0|,14;3;83|14;3;83|,14;2;84|14;2;84|,14;2;84|14;2;84|,100|100|,0;0;0|0;0;0|,100|100|,14;2;84|14;2;84|,14;2;84|14;2;84|,100|100|,100|100|
27,100|100|,14;2;84|14;2;84|,0.0|0.0|,14;2;84|14;2;84|,14;2;84|14;2;84|,14;2;84|14;2;84|,100|100|,0;0;0|0;0;0|,100|100|,14;2;84|14;2;84|,14;2;84|14;2;84|,100|100|,100|100|
28,100|100|,14;2;84|14;2;84|,0.0|0.0|,14;2;84|14;2;84|,14;1;85|14;1;85|,14;1;85|14;1;85|,100|100|,0;0;0|0;0;0|,100|100|,14;1;85|14;1;85|,14;1;85|14;1;85|,100|100|,100|100|
29,100|100|,14;1;85|14;1;85|,0.0|0.0|,14;1;85|14;1;85|,14;1;85|14;1;85|,14;1;85|14;1;85|,100|100|,0;0;0|0;0;0|,100|100|,14;1;85|14;1;85|,14;1;85|14;1;85|,100|100|,100|100|
30,100|100|,14;1;85|14;1;85|,0.0|0.0|,14;1;85|14;1;85|,14;1;85|14;1;85|,14;1;85|14;1;85|,100|100|,0;0;0|0;0;0|,100|100|,14;1;85|14;1;85|,14;1;85|14;1;85|,100|100|,100|100|
31,100|100|,14;1;85|14;1;85|,0.0|0.0|,14;1;85|14;1;85|,13;2;85|13;2;85|,13;2;85|13;2;85|,100|100|,0;0;0|0;0;0|,100|100|,13;2;85|13;2;85|,13;2;85|13;2;85|,100|100|,100|100|
32,100|100|,13;2;85|13;2;85|,0.0|0.0|,13;2;85|13;2;85|,13;1;86|13;1;86|,13;1;86|13;1;86|,100|100|,0;0;0|0;0;0|,100|100|,13;1;86|13;1;86|,13;1;86|13;1;86|,100|100|,100|100|
33,100|100|,13;1;86|13;1;86|,0.0|0.0|,13;1;86|13;1;86|,13;0;87|13;0;87|,13;0;87|13;0;87|,100|100|,0;0;0|0;0;0|,100|100|,13;0;87|13;0;87|,13;0;87|13;0;87|,100|100|,100|100|
