Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;12;0|88;12;0|,0.0|0.0|,88;12;0|88;12;0|,85;11;4|85;11;4|,85;11;4|85;11;4|,100|100|,0;0;0|0;0;0|,100|100|,85;11;4|85;11;4|,85;11;4|85;11;4|,100|100|,100|100|
1,100|100|,85;11;4|85;11;4|,0.0|0.0|,85;11;4|85;11;4|,74;21;5|74;21;5|,74;21;5|74;21;5|,100|100|,0;0;0|0;0;0|,100|100|,74;21;5|74;21;5|,74;21;5|74;21;5|,100|100|,100|100|
2,100|100|,74;21;5|74;21;5|,0.0|0.0|,74;21;5|74;21;5|,66;23;11|66;23;11|,66;23;11|66;23;11|,100|100|,0;0;0|0;0;0|,100|100|,66;23;11|66;23;11|,66;23;11|66;23;11|,100|100|,100|100|
3,100|100|,66;23;11|66;23;11|,0.0|0.0|,66;23;11|66;23;11|,56;29;15|56;29;15|,56;29;15|56;29;15|,100|100|,0;0;0|0;0;0|,100|100|,56;29;15|56;29;15|,56;29;15|56;29;15|,100|100|,100|100|
4,100|100|,56;29;15|56;29;15|,0.0|0.0|,56;29;15|56;29;15|,47;31;22|47;31;22|,47;31;22|47;31;22|,100|100|,0;0;0|0;0;0|,100|100|,47;31;22|47;31;22|,47;31;22|47;31;22|,100|100|,100|100|
5,100|100|,47;31;22|47;31;22|,0.0|0.0|,47;31;22|47;31;22|,41;31;28|41;31;28|,41;31;28|41;31;28|,100|100|,0;0;0|0;0;0|,100|100|,41;31;28|41;31;28|,41;31;28|41;31;28|,100|100|,100|100|
6,100|100|,41;31;28|41;31;28|,0.0|0.0|,41;31;28|41;31;28|,34;34;32|34;34;32|,34;34;32|34;34;32|,100|100|,0;0;0|0;0;0|,100|100|,34;34;32|34;34;32|,34;34;32|34;34;32|,100|100|,100|100|
7,100|100|,34;34;32|34;34;32|,0.0|0.0|,34;34;32|34;34;32|,28;30;42|28;30;42|,28;30;42|28;30;42|,100|100|,0;0;0|0;0;0|,100|100|,28;30;42|28;30;42|,28;30;42|28;30;42|,100|100|,100|100|
8,100|100|,28;30;42|28;30;42|,0.0|0.0|,28;30;42|28;30;42|,27;28;45|27;28;45|,27;28;45|27;28;45|,100|100|,0;0;0|0;0;0|,100|100|,27;28;45|27;28;45|,27;28;45|27;28;45|,100|100|,100|100|
9,100|100|,27;28;45|27;28;45|,0.0|0.0|,27;28;45|27;28;45|,23;27;50|23;27;50|,23;27;50|23;27;50|,100|100|,0;0;0|0;0;0|,100|100|,23;27;50|23;27;50|,23;27;50|23;27;50|,100|100|,100|100|
10,100|100|,23;27;50|23;27;50|,0.0|0.0|,23;27;50|23;27;50|,19;23;58|19;23;58|,19;23;58|19;23;58|,100|100|,0;0;0|0;0;0|,100|100|,19;23;58|19;23;58|,19;23;58|19;23;58|,100|100|,100|100|
11,100|100|,19;23;58|19;23;58|,0.0|0.0|,19;23;58|19;23;58|,18;19;63|18;19;63|,18;19;63|18;19;63|,100|100|,0;0;0|0;0;0|,100|100|,18;19;63|18;19;63|,18;19;63|18;19;63|,100|100|,100|100|
12,100|100|,18;19;63|18;19;63|,0.0|0.0|,18;19;63|18;19;63|,17;18;65|17;18;65|,17;18;65|17;18;65|,100|100|,0;0;0|0;0;0|,100|100|,17;18;65|17;18;65|,17;18;65|17;18;65|,100|100|,100|100|
13,100|100|,17;18;65|17;18;65|,0.0|0.0|,17;18;65|17;18;65|,17;11;72|17;11;72|,17;11;72|17;11;72|,100|100|,0;0;0|0;0;0|,100|100|,17;11;72|17;11;72|,17;11;72|17;11;72|,100|100|,100|100|
14,100|100|,17;11;72|17;11;72|,0.0|0.0|,17;11;72|17;11;72|,16;11;73|16;11;73|,16;11;73|16;11;73|,100|100|,0;0;0|0;0;0|,100|100|,16;11;73|16;11;73|,16;11;73|16;11;73|,100|100|,100|100|
15,100|100|,16;11;73|16;11;73|,0.0|0.0|,16;11;73|16;11;73|,15;8;77|15;8;77|,15;8;77|15;8;77|,100|100|,0;0;0|0;0;0|,100|100|,15;8;77|15;8;77|,15;8;77|15;8;77|,100|100|,100|100|
16,100|100|,15;8;77|15;8;77|,0.0|0.0|,15;8;77|15;8;77|,15;6;79|15;6;79|,15;6;79|15;6;79|,100|100|,0;0;0|0;0;0|,100|100|,15;6;79|15;6;79|,15;6;79|15;6;79|,100|100|,100|100|
17,100|100|,15;6;79|15;6;79|,0.0|0.0|,15;6;79|15;6;79|,15;6;79|15;6;79|,15;6;79|15;6;79|,100|100|,0;0;0|0;0;0|,100|100|,15;6;79|15;6;79|,15;6;79|15;6;79|,100|100|,100|100|
18,100|100|,15;6;79|15;6;79|,0.0|0.0|,15;6;79|15;6;79|,15;4;81|15;4;81|,15;4;81|15;4;81|,100|100|,0;0;0|0;0;0|,100|100|,15;4;81|15;4;81|,15;4;81|15;4;81|,100|100|,100|100|
19,100|100|,15;4;81|15;4;81|,0.0|0.0|,15;4;81|15;4;81|,15;3;82|15;3;82|,15;3;82|15;3;82|,100|100|,0;0;0|0;0;0|,100|100|,15;3;82|15;3;82|,15;3;82|15;3;82|,100|100|,100|100|
20,100|100|,15;3;82|15;3;82|,0.0|0.0|,15;3;82|15;3;82|,15;2;83|15;2;83|,15;2;83|15;2;83|,100|100|,0;0;0|0;0;0|,100|100|,15;2;83|15;2;83|,15;2;83|15;2;83|,100|100|,100|100|
21,100|100|,15;2;83|15;2;83|,0.0|0.0|,15;2;83|15;2;83|,15;1;84|15;1;84|,15;1;84|15;1;84|,100|100|,0;0;0|0;0;0|,100|100|,15;1;84|15;1;84|,15;1;84|15;1;84|,100|100|,100|100|
22,100|100|,15;1;84|15;1;84|,0.0|0.0|,15;1;84|15;1;84|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
23,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
24,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
25,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
26,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
27,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
28,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
29,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
30,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
31,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
32,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
33,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
34,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
35,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
36,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
37,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
38,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
39,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
40,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
41,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
42,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
43,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
44,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
45,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
46,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
47,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
48,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
49,100|100|,15;0;85|15;0;85|,0.0|0.0|,15;0;85|15;0;85|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,0;0;0|0;0;0|,100|100|,15;0;85|15;0;85|,15;0;85|15;0;85|,100|100|,100|100|
