Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;12;0|88;12;0|,88;12;0|88;12;0|,86;10;4|86;10;4|,86;10;4|86;10;4|,100|100|,0;0;0|0;0;0|,100|100|,86;10;4|86;10;4|,86;10;4|86;10;4|,100|100|,100|100|
1,100|100|,86;10;4|86;10;4|,86;10;4|86;10;4|,81;11;8|81;11;8|,81;11;8|81;11;8|,100|100|,0;0;0|0;0;0|,100|100|,81;11;8|81;11;8|,81;11;8|81;11;8|,100|100|,100|100|
2,100|100|,81;11;8|81;11;8|,81;11;8|81;11;8|,78;12;10|78;12;10|,78;12;10|78;12;10|,100|100|,0;0;0|0;0;0|,100|100|,78;12;10|78;12;10|,78;12;10|78;12;10|,100|100|,100|100|
3,100|100|,78;12;10|78;12;10|,78;12;10|78;12;10|,72;15;13|72;15;13|,72;15;13|72;15;13|,100|100|,0;0;0|0;0;0|,100|100|,72;15;13|72;15;13|,72;15;13|72;15;13|,100|100|,100|100|
4,100|100|,72;15;13|72;15;13|,72;15;13|72;15;13|,64;22;14|64;22;14|,64;22;14|64;22;14|,100|100|,0;0;0|0;0;0|,100|100|,64;22;14|64;22;14|,64;22;14|64;22;14|,100|100|,100|100|
5,100|100|,64;22;14|64;22;14|,64;22;14|64;22;14|,55;29;16|55;29;16|,55;29;16|55;29;16|,100|100|,0;0;0|0;0;0|,100|100|,55;29;16|55;29;16|,55;29;16|55;29;16|,100|100|,100|100|
6,100|100|,55;29;16|55;29;16|,55;29;16|55;29;16|,40;40;20|40;40;20|,40;40;20|40;40;20|,100|100|,0;0;0|0;0;0|,100|100|,40;40;20|40;40;20|,40;40;20|40;40;20|,100|100|,100|100|
7,100|100|,40;40;20|40;40;20|,40;40;20|40;40;20|,33;38;29|33;38;29|,33;38;29|33;38;29|,100|100|,0;0;0|0;0;0|,100|100|,33;38;29|33;38;29|,33;38;29|33;38;29|,100|100|,100|100|
8,100|100|,33;38;29|33;38;29|,33;38;29|33;38;29|,25;34;41|25;34;41|,25;34;41|25;34;41|,100|100|,0;0;0|0;0;0|,100|100|,25;34;41|25;34;41|,25;34;41|25;34;41|,100|100|,100|100|
9,100|100|,25;34;41|25;34;41|,25;34;41|25;34;41|,19;35;46|19;35;46|,19;35;46|19;35;46|,100|100|,0;0;0|0;0;0|,100|100|,19;35;46|19;35;46|,19;35;46|19;35;46|,100|100|,100|100|
10,100|100|,19;35;46|19;35;46|,19;35;46|19;35;46|,14;31;55|14;31;55|,14;31;55|14;31;55|,100|100|,0;0;0|0;0;0|,100|100|,14;31;55|14;31;55|,14;31;55|14;31;55|,100|100|,100|100|
11,100|100|,14;31;55|14;31;55|,14;31;55|14;31;55|,12;26;62|12;26;62|,12;26;62|12;26;62|,100|100|,0;0;0|0;0;0|,100|100|,12;26;62|12;26;62|,12;26;62|12;26;62|,100|100|,100|100|
12,100|100|,12;26;62|12;26;62|,12;26;62|12;26;62|,11;20;69|11;20;69|,11;20;69|11;20;69|,100|100|,0;0;0|0;0;0|,100|100|,11;20;69|11;20;69|,11;20;69|11;20;69|,100|100|,100|100|
