Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,85;0;15;0|85;0;15;0|,85;0;15;0|85;0;15;0|,79;6;11;4|79;6;11;4|,79;6;11;4|79;6;11;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,79;6;11;4|79;6;11;4|,79;6;11;4|79;6;11;4|,100|100|,100|100|
1,100|100|,79;6;11;4|79;6;11;4|,79;6;11;4|79;6;11;4|,73;8;14;5|73;8;14;5|,73;8;14;5|73;8;14;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,73;8;14;5|73;8;14;5|,73;8;14;5|73;8;14;5|,100|100|,100|100|
2,100|100|,73;8;14;5|73;8;14;5|,73;8;14;5|73;8;14;5|,70;8;12;10|70;8;12;10|,70;8;12;10|70;8;12;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,70;8;12;10|70;8;12;10|,70;8;12;10|70;8;12;10|,100|100|,100|100|
3,100|100|,70;8;12;10|70;8;12;10|,70;8;12;10|70;8;12;10|,67;6;15;12|67;6;15;12|,67;6;15;12|67;6;15;12|,100|100|,0;0;0;0|0;0;0;0|,100|100|,67;6;15;12|67;6;15;12|,67;6;15;12|67;6;15;12|,100|100|,100|100|
4,100|100|,67;6;15;12|67;6;15;12|,67;6;15;12|67;6;15;12|,63;5;15;17|63;5;15;17|,63;5;15;17|63;5;15;17|,100|100|,0;0;0;0|0;0;0;0|,100|100|,63;5;15;17|63;5;15;17|,63;5;15;17|63;5;15;17|,100|100|,100|100|
5,100|100|,63;5;15;17|63;5;15;17|,63;5;15;17|63;5;15;17|,57;8;16;19|57;8;16;19|,57;8;16;19|57;8;16;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,57;8;16;19|57;8;16;19|,57;8;16;19|57;8;16;19|,100|100|,100|100|
6,100|100|,57;8;16;19|57;8;16;19|,57;8;16;19|57;8;16;19|,51;12;14;23|51;12;14;23|,51;12;14;23|51;12;14;23|,100|100|,0;0;0;0|0;0;0;0|,100|100|,51;12;14;23|51;12;14;23|,51;12;14;23|51;12;14;23|,100|100|,100|100|
7,100|100|,51;12;14;23|51;12;14;23|,51;12;14;23|51;12;14;23|,48;9;18;25|48;9;18;25|,48;9;18;25|48;9;18;25|,100|100|,0;0;0;0|0;0;0;0|,100|100|,48;9;18;25|48;9;18;25|,48;9;18;25|48;9;18;25|,100|100|,100|100|
8,100|100|,48;9;18;25|48;9;18;25|,48;9;18;25|48;9;18;25|,45;4;22;29|45;4;22;29|,45;4;22;29|45;4;22;29|,100|100|,0;0;0;0|0;0;0;0|,100|100|,45;4;22;29|45;4;22;29|,45;4;22;29|45;4;22;29|,100|100|,100|100|
9,100|100|,45;4;22;29|45;4;22;29|,45;4;22;29|45;4;22;29|,36;10;22;32|36;10;22;32|,36;10;22;32|36;10;22;32|,100|100|,0;0;0;0|0;0;0;0|,100|100|,36;10;22;32|36;10;22;32|,36;10;22;32|36;10;22;32|,100|100|,100|100|
