Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;0;9;0|91;0;9;0|,0.0|0.0|,91;0;9;0|91;0;9;0|,88;3;6;3|88;3;6;3|,88;3;6;3|88;3;6;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,88;3;6;3|88;3;6;3|,88;3;6;3|88;3;6;3|,100|100|,100|100|
1,100|100|,88;3;6;3|88;3;6;3|,0.0|0.0|,88;3;6;3|88;3;6;3|,86;3;7;4|86;3;7;4|,86;3;7;4|86;3;7;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,86;3;7;4|86;3;7;4|,86;3;7;4|86;3;7;4|,100|100|,100|100|
2,100|100|,86;3;7;4|86;3;7;4|,0.0|0.0|,86;3;7;4|86;3;7;4|,84;4;6;6|84;4;6;6|,84;4;6;6|84;4;6;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,84;4;6;6|84;4;6;6|,84;4;6;6|84;4;6;6|,100|100|,100|100|
3,100|100|,84;4;6;6|84;4;6;6|,0.0|0.0|,84;4;6;6|84;4;6;6|,80;6;8;6|80;6;8;6|,80;6;8;6|80;6;8;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,80;6;8;6|80;6;8;6|,80;6;8;6|80;6;8;6|,100|100|,100|100|
4,100|100|,80;6;8;6|80;6;8;6|,0.0|0.0|,80;6;8;6|80;6;8;6|,75;8;9;8|75;8;9;8|,75;8;9;8|75;8;9;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,75;8;9;8|75;8;9;8|,75;8;9;8|75;8;9;8|,100|100|,100|100|
5,100|100|,75;8;9;8|75;8;9;8|,0.0|0.0|,75;8;9;8|75;8;9;8|,69;9;12;10|69;9;12;10|,69;9;12;10|69;9;12;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,69;9;12;10|69;9;12;10|,69;9;12;10|69;9;12;10|,100|100|,100|100|
6,100|100|,69;9;12;10|69;9;12;10|,0.0|0.0|,69;9;12;10|69;9;12;10|,67;6;15;12|67;6;15;12|,67;6;15;12|67;6;15;12|,100|100|,0;0;0;0|0;0;0;0|,100|100|,67;6;15;12|67;6;15;12|,67;6;15;12|67;6;15;12|,100|100|,100|100|
7,100|100|,67;6;15;12|67;6;15;12|,0.0|0.0|,67;6;15;12|67;6;15;12|,59;12;15;14|59;12;15;14|,59;12;15;14|59;12;15;14|,100|100|,0;0;0;0|0;0;0;0|,100|100|,59;12;15;14|59;12;15;14|,59;12;15;14|59;12;15;14|,100|100|,100|100|
8,100|100|,59;12;15;14|59;12;15;14|,0.0|0.0|,59;12;15;14|59;12;15;14|,58;7;17;18|58;7;17;18|,58;7;17;18|58;7;17;18|,100|100|,0;0;0;0|0;0;0;0|,100|100|,58;7;17;18|58;7;17;18|,58;7;17;18|58;7;17;18|,100|100|,100|100|
9,100|100|,58;7;17;18|58;7;17;18|,0.0|0.0|,58;7;17;18|58;7;17;18|,52;10;15;23|52;10;15;23|,52;10;15;23|52;10;15;23|,100|100|,0;0;0;0|0;0;0;0|,100|100|,52;10;15;23|52;10;15;23|,52;10;15;23|52;10;15;23|,100|100|,100|100|
10,100|100|,52;10;15;23|52;10;15;23|,0.0|0.0|,52;10;15;23|52;10;15;23|,47;9;20;24|47;9;20;24|,47;9;20;24|47;9;20;24|,100|100|,0;0;0;0|0;0;0;0|,100|100|,47;9;20;24|47;9;20;24|,47;9;20;24|47;9;20;24|,100|100|,100|100|
11,100|100|,47;9;20;24|47;9;20;24|,0.0|0.0|,47;9;20;24|47;9;20;24|,45;5;22;28|45;5;22;28|,45;5;22;28|45;5;22;28|,100|100|,0;0;0;0|0;0;0;0|,100|100|,45;5;22;28|45;5;22;28|,45;5;22;28|45;5;22;28|,100|100|,100|100|
12,100|100|,45;5;22;28|45;5;22;28|,0.0|0.0|,45;5;22;28|45;5;22;28|,40;10;16;34|40;10;16;34|,40;10;16;34|40;10;16;34|,100|100|,0;0;0;0|0;0;0;0|,100|100|,40;10;16;34|40;10;16;34|,40;10;16;34|40;10;16;34|,100|100|,100|100|
13,100|100|,40;10;16;34|40;10;16;34|,0.0|0.0|,40;10;16;34|40;10;16;34|,36;9;19;36|36;9;19;36|,36;9;19;36|36;9;19;36|,100|100|,0;0;0;0|0;0;0;0|,100|100|,36;9;19;36|36;9;19;36|,36;9;19;36|36;9;19;36|,100|100|,100|100|
14,100|100|,36;9;19;36|36;9;19;36|,0.0|0.0|,36;9;19;36|36;9;19;36|,31;8;21;40|31;8;21;40|,31;8;21;40|31;8;21;40|,100|100|,0;0;0;0|0;0;0;0|,100|100|,31;8;21;40|31;8;21;40|,31;8;21;40|31;8;21;40|,100|100|,100|100|
