Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;0;8;0|92;0;8;0|,92;0;8;0|92;0;8;0|,89;3;7;1|89;3;7;1|,89;3;7;1|89;3;7;1|,100|100|,0;0;0;0|0;0;0;0|,100|100|,89;3;7;1|89;3;7;1|,89;3;7;1|89;3;7;1|,100|100|,100|100|
1,100|100|,89;3;7;1|89;3;7;1|,89;3;7;1|89;3;7;1|,87;3;7;3|87;3;7;3|,87;3;7;3|87;3;7;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,87;3;7;3|87;3;7;3|,87;3;7;3|87;3;7;3|,100|100|,100|100|
2,100|100|,87;3;7;3|87;3;7;3|,87;3;7;3|87;3;7;3|,83;5;9;3|83;5;9;3|,83;5;9;3|83;5;9;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,83;5;9;3|83;5;9;3|,83;5;9;3|83;5;9;3|,100|100|,100|100|
3,100|100|,83;5;9;3|83;5;9;3|,83;5;9;3|83;5;9;3|,83;2;10;5|83;2;10;5|,83;2;10;5|83;2;10;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,83;2;10;5|83;2;10;5|,83;2;10;5|83;2;10;5|,100|100|,100|100|
4,100|100|,83;2;10;5|83;2;10;5|,83;2;10;5|83;2;10;5|,80;5;8;7|80;5;8;7|,80;5;8;7|80;5;8;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,80;5;8;7|80;5;8;7|,80;5;8;7|80;5;8;7|,100|100|,100|100|
5,100|100|,80;5;8;7|80;5;8;7|,80;5;8;7|80;5;8;7|,75;6;12;7|75;6;12;7|,75;6;12;7|75;6;12;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,75;6;12;7|75;6;12;7|,75;6;12;7|75;6;12;7|,100|100|,100|100|
6,100|100|,75;6;12;7|75;6;12;7|,75;6;12;7|75;6;12;7|,69;10;12;9|69;10;12;9|,69;10;12;9|69;10;12;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,69;10;12;9|69;10;12;9|,69;10;12;9|69;10;12;9|,100|100|,100|100|
7,100|100|,69;10;12;9|69;10;12;9|,69;10;12;9|69;10;12;9|,64;10;15;11|64;10;15;11|,64;10;15;11|64;10;15;11|,100|100|,0;0;0;0|0;0;0;0|,100|100|,64;10;15;11|64;10;15;11|,64;10;15;11|64;10;15;11|,100|100|,100|100|
8,100|100|,64;10;15;11|64;10;15;11|,64;10;15;11|64;10;15;11|,56;14;16;14|56;14;16;14|,56;14;16;14|56;14;16;14|,100|100|,0;0;0;0|0;0;0;0|,100|100|,56;14;16;14|56;14;16;14|,56;14;16;14|56;14;16;14|,100|100|,100|100|
9,100|100|,56;14;16;14|56;14;16;14|,56;14;16;14|56;14;16;14|,54;9;18;19|54;9;18;19|,54;9;18;19|54;9;18;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,54;9;18;19|54;9;18;19|,54;9;18;19|54;9;18;19|,100|100|,100|100|
10,100|100|,54;9;18;19|54;9;18;19|,54;9;18;19|54;9;18;19|,51;8;19;22|51;8;19;22|,51;8;19;22|51;8;19;22|,100|100|,0;0;0;0|0;0;0;0|,100|100|,51;8;19;22|51;8;19;22|,51;8;19;22|51;8;19;22|,100|100|,100|100|
11,100|100|,51;8;19;22|51;8;19;22|,51;8;19;22|51;8;19;22|,46;10;20;24|46;10;20;24|,46;10;20;24|46;10;20;24|,100|100|,0;0;0;0|0;0;0;0|,100|100|,46;10;20;24|46;10;20;24|,46;10;20;24|46;10;20;24|,100|100|,100|100|
