Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,89;11;0|89;11;0|,89;11;0|89;11;0|,86;13;1|86;13;1|,86;13;1|86;13;1|,100|100|,0;0;0|0;0;0|,100|100|,86;13;1|86;13;1|,86;13;1|86;13;1|,100|100|,100|100|
1,100|100|,86;13;1|86;13;1|,86;13;1|86;13;1|,83;11;6|83;11;6|,83;11;6|83;11;6|,100|100|,0;0;0|0;0;0|,100|100|,83;11;6|83;11;6|,83;11;6|83;11;6|,100|100|,100|100|
2,100|100|,83;11;6|83;11;6|,83;11;6|83;11;6|,81;10;9|81;10;9|,81;10;9|81;10;9|,100|100|,0;0;0|0;0;0|,100|100|,81;10;9|81;10;9|,81;10;9|81;10;9|,100|100|,100|100|
3,100|100|,81;10;9|81;10;9|,81;10;9|81;10;9|,79;12;9|79;12;9|,79;12;9|79;12;9|,100|100|,0;0;0|0;0;0|,100|100|,79;12;9|79;12;9|,79;12;9|79;12;9|,100|100|,100|100|
4,100|100|,79;12;9|79;12;9|,79;12;9|79;12;9|,75;14;11|75;14;11|,75;14;11|75;14;11|,100|100|,0;0;0|0;0;0|,100|100|,75;14;11|75;14;11|,75;14;11|75;14;11|,100|100|,100|100|
5,100|100|,75;14;11|75;14;11|,75;14;11|75;14;11|,68;19;13|68;19;13|,68;19;13|68;19;13|,100|100|,0;0;0|0;0;0|,100|100|,68;19;13|68;19;13|,68;19;13|68;19;13|,100|100|,100|100|
6,100|100|,68;19;13|68;19;13|,68;19;13|68;19;13|,60;23;17|60;23;17|,60;23;17|60;23;17|,100|100|,0;0;0|0;0;0|,100|100|,60;23;17|60;23;17|,60;23;17|60;23;17|,100|100|,100|100|
7,100|100|,60;23;17|60;23;17|,60;23;17|60;23;17|,49;27;24|49;27;24|,49;27;24|49;27;24|,100|100|,0;0;0|0;0;0|,100|100|,49;27;24|49;27;24|,49;27;24|49;27;24|,100|100|,100|100|
8,100|100|,49;27;24|49;27;24|,49;27;24|49;27;24|,43;26;31|43;26;31|,43;26;31|43;26;31|,100|100|,0;0;0|0;0;0|,100|100|,43;26;31|43;26;31|,43;26;31|43;26;31|,100|100|,100|100|
9,100|100|,43;26;31|43;26;31|,43;26;31|43;26;31|,38;27;35|38;27;35|,38;27;35|38;27;35|,100|100|,0;0;0|0;0;0|,100|100|,38;27;35|38;27;35|,38;27;35|38;27;35|,100|100|,100|100|
10,100|100|,38;27;35|38;27;35|,38;27;35|38;27;35|,30;28;42|30;28;42|,30;28;42|30;28;42|,100|100|,0;0;0|0;0;0|,100|100|,30;28;42|30;28;42|,30;28;42|30;28;42|,100|100|,100|100|
11,100|100|,30;28;42|30;28;42|,30;28;42|30;28;42|,28;22;50|28;22;50|,28;22;50|28;22;50|,100|100|,0;0;0|0;0;0|,100|100|,28;22;50|28;22;50|,28;22;50|28;22;50|,100|100|,100|100|
12,100|100|,28;22;50|28;22;50|,28;22;50|28;22;50|,23;22;55|23;22;55|,23;22;55|23;22;55|,100|100|,0;0;0|0;0;0|,100|100|,23;22;55|23;22;55|,23;22;55|23;22;55|,100|100|,100|100|
13,100|100|,23;22;55|23;22;55|,23;22;55|23;22;55|,22;21;57|22;21;57|,22;21;57|22;21;57|,100|100|,0;0;0|0;0;0|,100|100|,22;21;57|22;21;57|,22;21;57|22;21;57|,100|100|,100|100|
