Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;12;0|88;12;0|,88;12;0|88;12;0|,83;16;1|83;16;1|,83;16;1|83;16;1|,100|100|,0;0;0|0;0;0|,100|100|,83;16;1|83;16;1|,83;16;1|83;16;1|,100|100|,100|100|
1,100|100|,83;16;1|83;16;1|,83;16;1|83;16;1|,77;21;2|77;21;2|,77;21;2|77;21;2|,100|100|,0;0;0|0;0;0|,100|100|,77;21;2|77;21;2|,77;21;2|77;21;2|,100|100|,100|100|
2,100|100|,77;21;2|77;21;2|,77;21;2|77;21;2|,75;21;4|75;21;4|,75;21;4|75;21;4|,100|100|,0;0;0|0;0;0|,100|100|,75;21;4|75;21;4|,75;21;4|75;21;4|,100|100|,100|100|
3,100|100|,75;21;4|75;21;4|,75;21;4|75;21;4|,67;25;8|67;25;8|,67;25;8|67;25;8|,100|100|,0;0;0|0;0;0|,100|100|,67;25;8|67;25;8|,67;25;8|67;25;8|,100|100|,100|100|
4,100|100|,67;25;8|67;25;8|,67;25;8|67;25;8|,60;29;11|60;29;11|,60;29;11|60;29;11|,100|100|,0;0;0|0;0;0|,100|100|,60;29;11|60;29;11|,60;29;11|60;29;11|,100|100|,100|100|
5,100|100|,60;29;11|60;29;11|,60;29;11|60;29;11|,52;29;19|52;29;19|,52;29;19|52;29;19|,100|100|,0;0;0|0;0;0|,100|100|,52;29;19|52;29;19|,52;29;19|52;29;19|,100|100|,100|100|
6,100|100|,52;29;19|52;29;19|,52;29;19|52;29;19|,45;31;24|45;31;24|,45;31;24|45;31;24|,100|100|,0;0;0|0;0;0|,100|100|,45;31;24|45;31;24|,45;31;24|45;31;24|,100|100|,100|100|
7,100|100|,45;31;24|45;31;24|,45;31;24|45;31;24|,40;30;30|40;30;30|,40;30;30|40;30;30|,100|100|,0;0;0|0;0;0|,100|100|,40;30;30|40;30;30|,40;30;30|40;30;30|,100|100|,100|100|
8,100|100|,40;30;30|40;30;30|,40;30;30|40;30;30|,35;32;33|35;32;33|,35;32;33|35;32;33|,100|100|,0;0;0|0;0;0|,100|100|,35;32;33|35;32;33|,35;32;33|35;32;33|,100|100|,100|100|
9,100|100|,35;32;33|35;32;33|,35;32;33|35;32;33|,29;32;39|29;32;39|,29;32;39|29;32;39|,100|100|,0;0;0|0;0;0|,100|100|,29;32;39|29;32;39|,29;32;39|29;32;39|,100|100|,100|100|
10,100|100|,29;32;39|29;32;39|,29;32;39|29;32;39|,18;37;45|18;37;45|,18;37;45|18;37;45|,100|100|,0;0;0|0;0;0|,100|100|,18;37;45|18;37;45|,18;37;45|18;37;45|,100|100|,100|100|
11,100|100|,18;37;45|18;37;45|,18;37;45|18;37;45|,16;29;55|16;29;55|,16;29;55|16;29;55|,100|100|,0;0;0|0;0;0|,100|100|,16;29;55|16;29;55|,16;29;55|16;29;55|,100|100|,100|100|
12,100|100|,16;29;55|16;29;55|,16;29;55|16;29;55|,13;25;62|13;25;62|,13;25;62|13;25;62|,100|100|,0;0;0|0;0;0|,100|100|,13;25;62|13;25;62|,13;25;62|13;25;62|,100|100|,100|100|
13,100|100|,13;25;62|13;25;62|,13;25;62|13;25;62|,12;18;70|12;18;70|,12;18;70|12;18;70|,100|100|,0;0;0|0;0;0|,100|100|,12;18;70|12;18;70|,12;18;70|12;18;70|,100|100|,100|100|
14,100|100|,12;18;70|12;18;70|,12;18;70|12;18;70|,12;14;74|12;14;74|,12;14;74|12;14;74|,100|100|,0;0;0|0;0;0|,100|100|,12;14;74|12;14;74|,12;14;74|12;14;74|,100|100|,100|100|
15,100|100|,12;14;74|12;14;74|,12;14;74|12;14;74|,11;14;75|11;14;75|,11;14;75|11;14;75|,100|100|,0;0;0|0;0;0|,100|100|,11;14;75|11;14;75|,11;14;75|11;14;75|,100|100|,100|100|
16,100|100|,11;14;75|11;14;75|,11;14;75|11;14;75|,10;14;76|10;14;76|,10;14;76|10;14;76|,100|100|,0;0;0|0;0;0|,100|100|,10;14;76|10;14;76|,10;14;76|10;14;76|,100|100|,100|100|
17,100|100|,10;14;76|10;14;76|,10;14;76|10;14;76|,9;9;82|9;9;82|,9;9;82|9;9;82|,100|100|,0;0;0|0;0;0|,100|100|,9;9;82|9;9;82|,9;9;82|9;9;82|,100|100|,100|100|
18,100|100|,9;9;82|9;9;82|,9;9;82|9;9;82|,9;8;83|9;8;83|,9;8;83|9;8;83|,100|100|,0;0;0|0;0;0|,100|100|,9;8;83|9;8;83|,9;8;83|9;8;83|,100|100|,100|100|
