Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,93;7;0|93;7;0|,10.0|10.0|,93;7;0|93;7;0|,91;9;0|91;9;0|,91;9;0|91;9;0|,100|100|,0;0;0|0;0;0|,100|100|,91;9;0|91;9;0|,91;9;0|91;9;0|,100|100|,100|100|
1,100|100|,91;9;0|91;9;0|,9.2|9.2|,91;9;0|91;9;0|,87;12;1|87;12;1|,87;12;1|87;12;1|,100|100|,0;0;0|0;0;0|,100|100|,87;12;1|87;12;1|,87;12;1|87;12;1|,100|100|,100|100|
2,100|100|,87;12;1|87;12;1|,8.72|8.72|,87;12;1|87;12;1|,85;14;1|85;14;1|,85;14;1|85;14;1|,100|100|,0;0;0|0;0;0|,100|100|,85;14;1|85;14;1|,85;14;1|85;14;1|,100|100|,100|100|
3,100|100|,85;14;1|85;14;1|,8.61|8.61|,85;14;1|85;14;1|,80;19;1|80;19;1|,80;19;1|80;19;1|,100|100|,0;0;0|0;0;0|,100|100|,80;19;1|80;19;1|,80;19;1|80;19;1|,100|100|,100|100|
4,100|100|,80;19;1|80;19;1|,8.72|8.72|,80;19;1|80;19;1|,74;24;2|74;24;2|,74;24;2|74;24;2|,100|100|,0;0;0|0;0;0|,100|100|,74;24;2|74;24;2|,74;24;2|74;24;2|,100|100|,100|100|
5,100|100|,74;24;2|74;24;2|,9.31|9.31|,74;24;2|74;24;2|,70;26;4|70;26;4|,70;26;4|70;26;4|,100|100|,0;0;0|0;0;0|,100|100|,70;26;4|70;26;4|,70;26;4|70;26;4|,100|100|,100|100|
6,100|100|,70;26;4|70;26;4|,10.32|10.32|,70;26;4|70;26;4|,61;34;5|61;34;5|,61;34;5|61;34;5|,100|100|,0;0;0|0;0;0|,100|100|,61;34;5|61;34;5|,61;34;5|61;34;5|,100|100|,100|100|
7,100|100|,61;34;5|61;34;5|,11.37|11.37|,61;34;5|61;34;5|,53;37;10|53;37;10|,53;37;10|53;37;10|,100|100|,0;0;0|0;0;0|,100|100|,53;37;10|53;37;10|,53;37;10|53;37;10|,100|100|,100|100|
8,100|100|,53;37;10|53;37;10|,13.06|13.06|,53;37;10|53;37;10|,50;38;12|50;38;12|,50;38;12|50;38;12|,100|100|,0;0;0|0;0;0|,100|100|,50;38;12|50;38;12|,50;38;12|50;38;12|,100|100|,100|100|
9,100|100|,50;38;12|50;38;12|,14.8|14.8|,50;38;12|50;38;12|,35;51;14|35;51;14|,35;51;14|35;51;14|,100|100|,0;0;0|0;0;0|,100|100|,35;51;14|35;51;14|,35;51;14|35;51;14|,100|100|,100|100|
10,100|100|,35;51;14|35;51;14|,16.38|16.38|,35;51;14|35;51;14|,26;59;15|26;59;15|,26;59;15|26;59;15|,100|100|,0;0;0|0;0;0|,100|100|,26;59;15|26;59;15|,26;59;15|26;59;15|,100|100|,100|100|
