Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,90;10;0|90;10;0|,10.0|10.0|,90;10;0|90;10;0|,84;16;0|84;16;0|,84;16;0|84;16;0|,100|100|,0;0;0|0;0;0|,100|100|,84;16;0|84;16;0|,84;16;0|84;16;0|,100|100|,100|100|
1,100|100|,84;16;0|84;16;0|,9.5|9.5|,84;16;0|84;16;0|,80;20;0|80;20;0|,80;20;0|80;20;0|,100|100|,0;0;0|0;0;0|,100|100|,80;20;0|80;20;0|,80;20;0|80;20;0|,100|100|,100|100|
2,100|100|,80;20;0|80;20;0|,9.68|9.68|,80;20;0|80;20;0|,74;25;1|74;25;1|,74;25;1|74;25;1|,100|100|,0;0;0|0;0;0|,100|100|,74;25;1|74;25;1|,74;25;1|74;25;1|,100|100|,100|100|
3,100|100|,74;25;1|74;25;1|,10.22|10.22|,74;25;1|74;25;1|,68;27;5|68;27;5|,68;27;5|68;27;5|,100|100|,0;0;0|0;0;0|,100|100|,68;27;5|68;27;5|,68;27;5|68;27;5|,100|100|,100|100|
4,100|100|,68;27;5|68;27;5|,11.19|11.19|,68;27;5|68;27;5|,63;32;5|63;32;5|,63;32;5|63;32;5|,100|100|,0;0;0|0;0;0|,100|100|,63;32;5|63;32;5|,63;32;5|63;32;5|,100|100|,100|100|
5,100|100|,63;32;5|63;32;5|,12.21|12.21|,63;32;5|63;32;5|,52;42;6|52;42;6|,52;42;6|52;42;6|,100|100|,0;0;0|0;0;0|,100|100|,52;42;6|52;42;6|,52;42;6|52;42;6|,100|100|,100|100|
6,100|100|,52;42;6|52;42;6|,13.58|13.58|,52;42;6|52;42;6|,47;47;6|47;47;6|,47;47;6|47;47;6|,100|100|,0;0;0|0;0;0|,100|100|,47;47;6|47;47;6|,47;47;6|47;47;6|,100|100|,100|100|
7,100|100|,47;47;6|47;47;6|,15.74|15.74|,47;47;6|47;47;6|,42;51;7|42;51;7|,42;51;7|42;51;7|,100|100|,0;0;0|0;0;0|,100|100|,42;51;7|42;51;7|,42;51;7|42;51;7|,100|100|,100|100|
8,100|100|,42;51;7|42;51;7|,18.08|18.08|,42;51;7|42;51;7|,36;55;9|36;55;9|,36;55;9|36;55;9|,100|100|,0;0;0|0;0;0|,100|100|,36;55;9|36;55;9|,36;55;9|36;55;9|,100|100|,100|100|
9,100|100|,36;55;9|36;55;9|,20.47|20.47|,36;55;9|36;55;9|,26;64;10|26;64;10|,26;64;10|26;64;10|,100|100|,0;0;0|0;0;0|,100|100|,26;64;10|26;64;10|,26;64;10|26;64;10|,100|100|,100|100|
10,100|100|,26;64;10|26;64;10|,22.9|22.9|,26;64;10|26;64;10|,22;65;13|22;65;13|,22;65;13|22;65;13|,100|100|,0;0;0|0;0;0|,100|100|,22;65;13|22;65;13|,22;65;13|22;65;13|,100|100|,100|100|
11,100|100|,22;65;13|22;65;13|,25.86|25.86|,22;65;13|22;65;13|,14;70;16|14;70;16|,14;70;16|14;70;16|,100|100|,0;0;0|0;0;0|,100|100|,14;70;16|14;70;16|,14;70;16|14;70;16|,100|100|,100|100|
12,100|100|,14;70;16|14;70;16|,28.48|28.48|,14;70;16|14;70;16|,11;68;21|11;68;21|,11;68;21|11;68;21|,100|100|,0;0;0|0;0;0|,100|100|,11;68;21|11;68;21|,11;68;21|11;68;21|,100|100|,100|100|
13,100|100|,11;68;21|11;68;21|,31.21|31.21|,11;68;21|11;68;21|,10;65;25|10;65;25|,10;65;25|10;65;25|,100|100|,0;0;0|0;0;0|,100|100|,10;65;25|10;65;25|,10;65;25|10;65;25|,100|100|,100|100|
14,100|100|,10;65;25|10;65;25|,33.33|33.33|,10;65;25|10;65;25|,10;57;33|10;57;33|,10;57;33|10;57;33|,100|100|,0;0;0|0;0;0|,100|100|,10;57;33|10;57;33|,10;57;33|10;57;33|,100|100|,100|100|
15,100|100|,10;57;33|10;57;33|,34.83|34.83|,10;57;33|10;57;33|,9;55;36|9;55;36|,9;55;36|9;55;36|,100|100|,0;0;0|0;0;0|,100|100|,9;55;36|9;55;36|,9;55;36|9;55;36|,100|100|,100|100|
16,100|100|,9;55;36|9;55;36|,35.31|35.31|,9;55;36|9;55;36|,5;52;43|5;52;43|,5;52;43|5;52;43|,100|100|,0;0;0|0;0;0|,100|100|,5;52;43|5;52;43|,5;52;43|5;52;43|,100|100|,100|100|
17,100|100|,5;52;43|5;52;43|,35.51|35.51|,5;52;43|5;52;43|,4;52;44|4;52;44|,4;52;44|4;52;44|,100|100|,0;0;0|0;0;0|,100|100|,4;52;44|4;52;44|,4;52;44|4;52;44|,100|100|,100|100|
18,100|100|,4;52;44|4;52;44|,35.38|35.38|,4;52;44|4;52;44|,2;52;46|2;52;46|,2;52;46|2;52;46|,100|100|,0;0;0|0;0;0|,100|100|,2;52;46|2;52;46|,2;52;46|2;52;46|,100|100|,100|100|
19,100|100|,2;52;46|2;52;46|,35.28|35.28|,2;52;46|2;52;46|,2;42;56|2;42;56|,2;42;56|2;42;56|,100|100|,0;0;0|0;0;0|,100|100|,2;42;56|2;42;56|,2;42;56|2;42;56|,100|100|,100|100|
20,100|100|,2;42;56|2;42;56|,35.18|35.18|,2;42;56|2;42;56|,2;42;56|2;42;56|,2;42;56|2;42;56|,100|100|,0;0;0|0;0;0|,100|100|,2;42;56|2;42;56|,2;42;56|2;42;56|,100|100|,100|100|
21,100|100|,2;42;56|2;42;56|,34.11|34.11|,2;42;56|2;42;56|,2;40;58|2;40;58|,2;40;58|2;40;58|,100|100|,0;0;0|0;0;0|,100|100|,2;40;58|2;40;58|,2;40;58|2;40;58|,100|100|,100|100|
22,100|100|,2;40;58|2;40;58|,33.19|33.19|,2;40;58|2;40;58|,2;40;58|2;40;58|,2;40;58|2;40;58|,100|100|,0;0;0|0;0;0|,100|100|,2;40;58|2;40;58|,2;40;58|2;40;58|,100|100|,100|100|
23,100|100|,2;40;58|2;40;58|,32.21|32.21|,2;40;58|2;40;58|,2;40;58|2;40;58|,2;40;58|2;40;58|,100|100|,0;0;0|0;0;0|,100|100|,2;40;58|2;40;58|,2;40;58|2;40;58|,100|100|,100|100|
24,100|100|,2;40;58|2;40;58|,31.38|31.38|,2;40;58|2;40;58|,2;38;60|2;38;60|,2;38;60|2;38;60|,100|100|,0;0;0|0;0;0|,100|100|,2;38;60|2;38;60|,2;38;60|2;38;60|,100|100|,100|100|
