Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,91;0;9;0|91;0;9;0|,0.0|0.0|,91;0;9;0|91;0;9;0|,89;2;8;1|89;2;8;1|,89;2;8;1|89;2;8;1|,100|100|,0;0;0;0|0;0;0;0|,100|100|,89;2;8;1|89;2;8;1|,89;2;8;1|89;2;8;1|,100|100|,100|100|
1,100|100|,89;2;8;1|89;2;8;1|,0.0|0.0|,89;2;8;1|89;2;8;1|,80;11;7;2|80;11;7;2|,80;11;7;2|80;11;7;2|,100|100|,0;0;0;0|0;0;0;0|,100|100|,80;11;7;2|80;11;7;2|,80;11;7;2|80;11;7;2|,100|100|,100|100|
2,100|100|,80;11;7;2|80;11;7;2|,0.0|0.0|,80;11;7;2|80;11;7;2|,78;7;10;5|78;7;10;5|,78;7;10;5|78;7;10;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,78;7;10;5|78;7;10;5|,78;7;10;5|78;7;10;5|,100|100|,100|100|
3,100|100|,78;7;10;5|78;7;10;5|,0.0|0.0|,78;7;10;5|78;7;10;5|,76;8;8;8|76;8;8;8|,76;8;8;8|76;8;8;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,76;8;8;8|76;8;8;8|,76;8;8;8|76;8;8;8|,100|100|,100|100|
4,100|100|,76;8;8;8|76;8;8;8|,0.0|0.0|,76;8;8;8|76;8;8;8|,74;4;13;9|74;4;13;9|,74;4;13;9|74;4;13;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,74;4;13;9|74;4;13;9|,74;4;13;9|74;4;13;9|,100|100|,100|100|
5,100|100|,74;4;13;9|74;4;13;9|,0.0|0.0|,74;4;13;9|74;4;13;9|,65;12;10;13|65;12;10;13|,65;12;10;13|65;12;10;13|,100|100|,0;0;0;0|0;0;0;0|,100|100|,65;12;10;13|65;12;10;13|,65;12;10;13|65;12;10;13|,100|100|,100|100|
6,100|100|,65;12;10;13|65;12;10;13|,0.0|0.0|,65;12;10;13|65;12;10;13|,64;8;14;14|64;8;14;14|,64;8;14;14|64;8;14;14|,100|100|,0;0;0;0|0;0;0;0|,100|100|,64;8;14;14|64;8;14;14|,64;8;14;14|64;8;14;14|,100|100|,100|100|
7,100|100|,64;8;14;14|64;8;14;14|,0.0|0.0|,64;8;14;14|64;8;14;14|,60;7;16;17|60;7;16;17|,60;7;16;17|60;7;16;17|,100|100|,0;0;0;0|0;0;0;0|,100|100|,60;7;16;17|60;7;16;17|,60;7;16;17|60;7;16;17|,100|100|,100|100|
8,100|100|,60;7;16;17|60;7;16;17|,0.0|0.0|,60;7;16;17|60;7;16;17|,58;5;19;18|58;5;19;18|,58;5;19;18|58;5;19;18|,100|100|,0;0;0;0|0;0;0;0|,100|100|,58;5;19;18|58;5;19;18|,58;5;19;18|58;5;19;18|,100|100|,100|100|
9,100|100|,58;5;19;18|58;5;19;18|,0.0|0.0|,58;5;19;18|58;5;19;18|,53;8;16;23|53;8;16;23|,53;8;16;23|53;8;16;23|,100|100|,0;0;0;0|0;0;0;0|,100|100|,53;8;16;23|53;8;16;23|,53;8;16;23|53;8;16;23|,100|100|,100|100|
10,100|100|,53;8;16;23|53;8;16;23|,0.0|0.0|,53;8;16;23|53;8;16;23|,47;8;17;28|47;8;17;28|,47;8;17;28|47;8;17;28|,100|100|,0;0;0;0|0;0;0;0|,100|100|,47;8;17;28|47;8;17;28|,47;8;17;28|47;8;17;28|,100|100|,100|100|
11,100|100|,47;8;17;28|47;8;17;28|,0.0|0.0|,47;8;17;28|47;8;17;28|,46;6;13;35|46;6;13;35|,46;6;13;35|46;6;13;35|,100|100|,0;0;0;0|0;0;0;0|,100|100|,46;6;13;35|46;6;13;35|,46;6;13;35|46;6;13;35|,100|100|,100|100|
12,100|100|,46;6;13;35|46;6;13;35|,0.0|0.0|,46;6;13;35|46;6;13;35|,44;6;13;37|44;6;13;37|,44;6;13;37|44;6;13;37|,100|100|,0;0;0;0|0;0;0;0|,100|100|,44;6;13;37|44;6;13;37|,44;6;13;37|44;6;13;37|,100|100|,100|100|
13,100|100|,44;6;13;37|44;6;13;37|,0.0|0.0|,44;6;13;37|44;6;13;37|,40;8;11;41|40;8;11;41|,40;8;11;41|40;8;11;41|,100|100|,0;0;0;0|0;0;0;0|,100|100|,40;8;11;41|40;8;11;41|,40;8;11;41|40;8;11;41|,100|100|,100|100|
14,100|100|,40;8;11;41|40;8;11;41|,0.0|0.0|,40;8;11;41|40;8;11;41|,39;5;13;43|39;5;13;43|,39;5;13;43|39;5;13;43|,100|100|,0;0;0;0|0;0;0;0|,100|100|,39;5;13;43|39;5;13;43|,39;5;13;43|39;5;13;43|,100|100|,100|100|
15,100|100|,39;5;13;43|39;5;13;43|,0.0|0.0|,39;5;13;43|39;5;13;43|,39;2;11;48|39;2;11;48|,39;2;11;48|39;2;11;48|,100|100|,0;0;0;0|0;0;0;0|,100|100|,39;2;11;48|39;2;11;48|,39;2;11;48|39;2;11;48|,100|100|,100|100|
16,100|100|,39;2;11;48|39;2;11;48|,0.0|0.0|,39;2;11;48|39;2;11;48|,37;3;11;49|37;3;11;49|,37;3;11;49|37;3;11;49|,100|100|,0;0;0;0|0;0;0;0|,100|100|,37;3;11;49|37;3;11;49|,37;3;11;49|37;3;11;49|,100|100|,100|100|
17,100|100|,37;3;11;49|37;3;11;49|,0.0|0.0|,37;3;11;49|37;3;11;49|,37;2;8;53|37;2;8;53|,37;2;8;53|37;2;8;53|,100|100|,0;0;0;0|0;0;0;0|,100|100|,37;2;8;53|37;2;8;53|,37;2;8;53|37;2;8;53|,100|100|,100|100|
18,100|100|,37;2;8;53|37;2;8;53|,0.0|0.0|,37;2;8;53|37;2;8;53|,36;1;7;56|36;1;7;56|,36;1;7;56|36;1;7;56|,100|100|,0;0;0;0|0;0;0;0|,100|100|,36;1;7;56|36;1;7;56|,36;1;7;56|36;1;7;56|,100|100|,100|100|
19,100|100|,36;1;7;56|36;1;7;56|,0.0|0.0|,36;1;7;56|36;1;7;56|,34;2;8;56|34;2;8;56|,34;2;8;56|34;2;8;56|,100|100|,0;0;0;0|0;0;0;0|,100|100|,34;2;8;56|34;2;8;56|,34;2;8;56|34;2;8;56|,100|100|,100|100|
20,100|100|,34;2;8;56|34;2;8;56|,0.0|0.0|,34;2;8;56|34;2;8;56|,33;3;7;57|33;3;7;57|,33;3;7;57|33;3;7;57|,100|100|,0;0;0;0|0;0;0;0|,100|100|,33;3;7;57|33;3;7;57|,33;3;7;57|33;3;7;57|,100|100|,100|100|
21,100|100|,33;3;7;57|33;3;7;57|,0.0|0.0|,33;3;7;57|33;3;7;57|,32;2;6;60|32;2;6;60|,32;2;6;60|32;2;6;60|,100|100|,0;0;0;0|0;0;0;0|,100|100|,32;2;6;60|32;2;6;60|,32;2;6;60|32;2;6;60|,100|100|,100|100|
22,100|100|,32;2;6;60|32;2;6;60|,0.0|0.0|,32;2;6;60|32;2;6;60|,31;3;6;60|31;3;6;60|,31;3;6;60|31;3;6;60|,100|100|,0;0;0;0|0;0;0;0|,100|100|,31;3;6;60|31;3;6;60|,31;3;6;60|31;3;6;60|,100|100|,100|100|
23,100|100|,31;3;6;60|31;3;6;60|,0.0|0.0|,31;3;6;60|31;3;6;60|,29;3;7;61|29;3;7;61|,29;3;7;61|29;3;7;61|,100|100|,0;0;0;0|0;0;0;0|,100|100|,29;3;7;61|29;3;7;61|,29;3;7;61|29;3;7;61|,100|100|,100|100|
24,100|100|,29;3;7;61|29;3;7;61|,0.0|0.0|,29;3;7;61|29;3;7;61|,29;3;7;61|29;3;7;61|,29;3;7;61|29;3;7;61|,100|100|,0;0;0;0|0;0;0;0|,100|100|,29;3;7;61|29;3;7;61|,29;3;7;61|29;3;7;61|,100|100|,100|100|
25,100|100|,29;3;7;61|29;3;7;61|,0.0|0.0|,29;3;7;61|29;3;7;61|,28;4;5;63|28;4;5;63|,28;4;5;63|28;4;5;63|,100|100|,0;0;0;0|0;0;0;0|,100|100|,28;4;5;63|28;4;5;63|,28;4;5;63|28;4;5;63|,100|100|,100|100|
26,100|100|,28;4;5;63|28;4;5;63|,0.0|0.0|,28;4;5;63|28;4;5;63|,26;5;6;63|26;5;6;63|,26;5;6;63|26;5;6;63|,100|100|,0;0;0;0|0;0;0;0|,100|100|,26;5;6;63|26;5;6;63|,26;5;6;63|26;5;6;63|,100|100|,100|100|
27,100|100|,26;5;6;63|26;5;6;63|,0.0|0.0|,26;5;6;63|26;5;6;63|,25;3;7;65|25;3;7;65|,25;3;7;65|25;3;7;65|,100|100|,0;0;0;0|0;0;0;0|,100|100|,25;3;7;65|25;3;7;65|,25;3;7;65|25;3;7;65|,100|100|,100|100|
28,100|100|,25;3;7;65|25;3;7;65|,0.0|0.0|,25;3;7;65|25;3;7;65|,25;1;8;66|25;1;8;66|,25;1;8;66|25;1;8;66|,100|100|,0;0;0;0|0;0;0;0|,100|100|,25;1;8;66|25;1;8;66|,25;1;8;66|25;1;8;66|,100|100|,100|100|
29,100|100|,25;1;8;66|25;1;8;66|,0.0|0.0|,25;1;8;66|25;1;8;66|,25;0;9;66|25;0;9;66|,25;0;9;66|25;0;9;66|,100|100|,0;0;0;0|0;0;0;0|,100|100|,25;0;9;66|25;0;9;66|,25;0;9;66|25;0;9;66|,100|100|,100|100|
