Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;12;0|88;12;0|,10.0|10.0|,88;12;0|88;12;0|,80;20;0|80;20;0|,80;20;0|80;20;0|,100|100|,0;0;0|0;0;0|,100|100|,80;20;0|80;20;0|,80;20;0|80;20;0|,100|100|,100|100|
1,100|100|,80;20;0|80;20;0|,9.7|9.7|,80;20;0|80;20;0|,72;27;1|72;27;1|,72;27;1|72;27;1|,100|100|,0;0;0|0;0;0|,100|100|,72;27;1|72;27;1|,72;27;1|72;27;1|,100|100|,100|100|
2,100|100|,72;27;1|72;27;1|,10.24|10.24|,72;27;1|72;27;1|,63;35;2|63;35;2|,63;35;2|63;35;2|,100|100|,0;0;0|0;0;0|,100|100|,63;35;2|63;35;2|,63;35;2|63;35;2|,100|100|,100|100|
3,100|100|,63;35;2|63;35;2|,11.41|11.41|,63;35;2|63;35;2|,55;43;2|55;43;2|,55;43;2|55;43;2|,100|100|,0;0;0|0;0;0|,100|100|,55;43;2|55;43;2|,55;43;2|55;43;2|,100|100|,100|100|
4,100|100|,55;43;2|55;43;2|,13.2|13.2|,55;43;2|55;43;2|,48;48;4|48;48;4|,48;48;4|48;48;4|,100|100|,0;0;0|0;0;0|,100|100|,48;48;4|48;48;4|,48;48;4|48;48;4|,100|100|,100|100|
5,100|100|,48;48;4|48;48;4|,15.52|15.52|,48;48;4|48;48;4|,41;55;4|41;55;4|,41;55;4|41;55;4|,100|100|,0;0;0|0;0;0|,100|100|,41;55;4|41;55;4|,41;55;4|41;55;4|,100|100|,100|100|
6,100|100|,41;55;4|41;55;4|,17.99|17.99|,41;55;4|41;55;4|,29;63;8|29;63;8|,29;63;8|29;63;8|,100|100|,0;0;0|0;0;0|,100|100|,29;63;8|29;63;8|,29;63;8|29;63;8|,100|100|,100|100|
7,100|100|,29;63;8|29;63;8|,20.79|20.79|,29;63;8|29;63;8|,24;64;12|24;64;12|,24;64;12|24;64;12|,100|100|,0;0;0|0;0;0|,100|100|,24;64;12|24;64;12|,24;64;12|24;64;12|,100|100|,100|100|
8,100|100|,24;64;12|24;64;12|,23.97|23.97|,24;64;12|24;64;12|,21;65;14|21;65;14|,21;65;14|21;65;14|,100|100|,0;0;0|0;0;0|,100|100|,21;65;14|21;65;14|,21;65;14|21;65;14|,100|100|,100|100|
9,100|100|,21;65;14|21;65;14|,26.78|26.78|,21;65;14|21;65;14|,15;65;20|15;65;20|,15;65;20|15;65;20|,100|100|,0;0;0|0;0;0|,100|100|,15;65;20|15;65;20|,15;65;20|15;65;20|,100|100|,100|100|
10,100|100|,15;65;20|15;65;20|,29.26|29.26|,15;65;20|15;65;20|,12;65;23|12;65;23|,12;65;23|12;65;23|,100|100|,0;0;0|0;0;0|,100|100|,12;65;23|12;65;23|,12;65;23|12;65;23|,100|100|,100|100|
11,100|100|,12;65;23|12;65;23|,31.37|31.37|,12;65;23|12;65;23|,11;63;26|11;63;26|,11;63;26|11;63;26|,100|100|,0;0;0|0;0;0|,100|100|,11;63;26|11;63;26|,11;63;26|11;63;26|,100|100|,100|100|
12,100|100|,11;63;26|11;63;26|,33.17|33.17|,11;63;26|11;63;26|,10;57;33|10;57;33|,10;57;33|10;57;33|,100|100|,0;0;0|0;0;0|,100|100|,10;57;33|10;57;33|,10;57;33|10;57;33|,100|100|,100|100|
13,100|100|,10;57;33|10;57;33|,34.49|34.49|,10;57;33|10;57;33|,6;57;37|6;57;37|,6;57;37|6;57;37|,100|100|,0;0;0|0;0;0|,100|100|,6;57;37|6;57;37|,6;57;37|6;57;37|,100|100|,100|100|
14,100|100|,6;57;37|6;57;37|,35.02|35.02|,6;57;37|6;57;37|,5;55;40|5;55;40|,5;55;40|5;55;40|,100|100|,0;0;0|0;0;0|,100|100|,5;55;40|5;55;40|,5;55;40|5;55;40|,100|100|,100|100|
