Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,85;0;15;0|85;0;15;0|,85;0;15;0|85;0;15;0|,80;5;14;1|80;5;14;1|,80;5;14;1|80;5;14;1|,100|100|,0;0;0;0|0;0;0;0|,100|100|,80;5;14;1|80;5;14;1|,80;5;14;1|80;5;14;1|,100|100|,100|100|
1,100|100|,80;5;14;1|80;5;14;1|,80;5;14;1|80;5;14;1|,73;9;15;3|73;9;15;3|,73;9;15;3|73;9;15;3|,100|100|,0;0;0;0|0;0;0;0|,100|100|,73;9;15;3|73;9;15;3|,73;9;15;3|73;9;15;3|,100|100|,100|100|
2,100|100|,73;9;15;3|73;9;15;3|,73;9;15;3|73;9;15;3|,66;12;17;5|66;12;17;5|,66;12;17;5|66;12;17;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,66;12;17;5|66;12;17;5|,66;12;17;5|66;12;17;5|,100|100|,100|100|
3,100|100|,66;12;17;5|66;12;17;5|,66;12;17;5|66;12;17;5|,63;8;21;8|63;8;21;8|,63;8;21;8|63;8;21;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,63;8;21;8|63;8;21;8|,63;8;21;8|63;8;21;8|,100|100|,100|100|
4,100|100|,63;8;21;8|63;8;21;8|,63;8;21;8|63;8;21;8|,55;14;18;13|55;14;18;13|,55;14;18;13|55;14;18;13|,100|100|,0;0;0;0|0;0;0;0|,100|100|,55;14;18;13|55;14;18;13|,55;14;18;13|55;14;18;13|,100|100|,100|100|
5,100|100|,55;14;18;13|55;14;18;13|,55;14;18;13|55;14;18;13|,50;12;19;19|50;12;19;19|,50;12;19;19|50;12;19;19|,100|100|,0;0;0;0|0;0;0;0|,100|100|,50;12;19;19|50;12;19;19|,50;12;19;19|50;12;19;19|,100|100|,100|100|
6,100|100|,50;12;19;19|50;12;19;19|,50;12;19;19|50;12;19;19|,42;14;20;24|42;14;20;24|,42;14;20;24|42;14;20;24|,100|100|,0;0;0;0|0;0;0;0|,100|100|,42;14;20;24|42;14;20;24|,42;14;20;24|42;14;20;24|,100|100|,100|100|
7,100|100|,42;14;20;24|42;14;20;24|,42;14;20;24|42;14;20;24|,35;12;26;27|35;12;26;27|,35;12;26;27|35;12;26;27|,100|100|,0;0;0;0|0;0;0;0|,100|100|,35;12;26;27|35;12;26;27|,35;12;26;27|35;12;26;27|,100|100|,100|100|
8,100|100|,35;12;26;27|35;12;26;27|,35;12;26;27|35;12;26;27|,32;10;26;32|32;10;26;32|,32;10;26;32|32;10;26;32|,100|100|,0;0;0;0|0;0;0;0|,100|100|,32;10;26;32|32;10;26;32|,32;10;26;32|32;10;26;32|,100|100|,100|100|
9,100|100|,32;10;26;32|32;10;26;32|,32;10;26;32|32;10;26;32|,23;14;26;37|23;14;26;37|,23;14;26;37|23;14;26;37|,100|100|,0;0;0;0|0;0;0;0|,100|100|,23;14;26;37|23;14;26;37|,23;14;26;37|23;14;26;37|,100|100|,100|100|
10,100|100|,23;14;26;37|23;14;26;37|,23;14;26;37|23;14;26;37|,21;8;27;44|21;8;27;44|,21;8;27;44|21;8;27;44|,100|100|,0;0;0;0|0;0;0;0|,100|100|,21;8;27;44|21;8;27;44|,21;8;27;44|21;8;27;44|,100|100|,100|100|
11,100|100|,21;8;27;44|21;8;27;44|,21;8;27;44|21;8;27;44|,17;8;27;48|17;8;27;48|,17;8;27;48|17;8;27;48|,100|100|,0;0;0;0|0;0;0;0|,100|100|,17;8;27;48|17;8;27;48|,17;8;27;48|17;8;27;48|,100|100|,100|100|
12,100|100|,17;8;27;48|17;8;27;48|,17;8;27;48|17;8;27;48|,14;8;28;50|14;8;28;50|,14;8;28;50|14;8;28;50|,100|100|,0;0;0;0|0;0;0;0|,100|100|,14;8;28;50|14;8;28;50|,14;8;28;50|14;8;28;50|,100|100|,100|100|
13,100|100|,14;8;28;50|14;8;28;50|,14;8;28;50|14;8;28;50|,11;6;28;55|11;6;28;55|,11;6;28;55|11;6;28;55|,100|100|,0;0;0;0|0;0;0;0|,100|100|,11;6;28;55|11;6;28;55|,11;6;28;55|11;6;28;55|,100|100|,100|100|
14,100|100|,11;6;28;55|11;6;28;55|,11;6;28;55|11;6;28;55|,9;4;24;63|9;4;24;63|,9;4;24;63|9;4;24;63|,100|100|,0;0;0;0|0;0;0;0|,100|100|,9;4;24;63|9;4;24;63|,9;4;24;63|9;4;24;63|,100|100|,100|100|
