Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,88;12;0|88;12;0|,88;12;0|88;12;0|,84;12;4|84;12;4|,84;12;4|84;12;4|,100|100|,0;0;0|0;0;0|,100|100|,84;12;4|84;12;4|,84;12;4|84;12;4|,100|100|,100|100|
1,100|100|,84;12;4|84;12;4|,84;12;4|84;12;4|,82;12;6|82;12;6|,82;12;6|82;12;6|,100|100|,0;0;0|0;0;0|,100|100|,82;12;6|82;12;6|,82;12;6|82;12;6|,100|100|,100|100|
2,100|100|,82;12;6|82;12;6|,82;12;6|82;12;6|,77;16;7|77;16;7|,77;16;7|77;16;7|,100|100|,0;0;0|0;0;0|,100|100|,77;16;7|77;16;7|,77;16;7|77;16;7|,100|100|,100|100|
3,100|100|,77;16;7|77;16;7|,77;16;7|77;16;7|,74;14;12|74;14;12|,74;14;12|74;14;12|,100|100|,0;0;0|0;0;0|,100|100|,74;14;12|74;14;12|,74;14;12|74;14;12|,100|100|,100|100|
4,100|100|,74;14;12|74;14;12|,74;14;12|74;14;12|,70;14;16|70;14;16|,70;14;16|70;14;16|,100|100|,0;0;0|0;0;0|,100|100|,70;14;16|70;14;16|,70;14;16|70;14;16|,100|100|,100|100|
5,100|100|,70;14;16|70;14;16|,70;14;16|70;14;16|,64;17;19|64;17;19|,64;17;19|64;17;19|,100|100|,0;0;0|0;0;0|,100|100|,64;17;19|64;17;19|,64;17;19|64;17;19|,100|100|,100|100|
6,100|100|,64;17;19|64;17;19|,64;17;19|64;17;19|,60;17;23|60;17;23|,60;17;23|60;17;23|,100|100|,0;0;0|0;0;0|,100|100|,60;17;23|60;17;23|,60;17;23|60;17;23|,100|100|,100|100|
7,100|100|,60;17;23|60;17;23|,60;17;23|60;17;23|,55;16;29|55;16;29|,55;16;29|55;16;29|,100|100|,0;0;0|0;0;0|,100|100|,55;16;29|55;16;29|,55;16;29|55;16;29|,100|100|,100|100|
8,100|100|,55;16;29|55;16;29|,55;16;29|55;16;29|,54;13;33|54;13;33|,54;13;33|54;13;33|,100|100|,0;0;0|0;0;0|,100|100|,54;13;33|54;13;33|,54;13;33|54;13;33|,100|100|,100|100|
9,100|100|,54;13;33|54;13;33|,54;13;33|54;13;33|,50;13;37|50;13;37|,50;13;37|50;13;37|,100|100|,0;0;0|0;0;0|,100|100|,50;13;37|50;13;37|,50;13;37|50;13;37|,100|100|,100|100|
10,100|100|,50;13;37|50;13;37|,50;13;37|50;13;37|,47;12;41|47;12;41|,47;12;41|47;12;41|,100|100|,0;0;0|0;0;0|,100|100|,47;12;41|47;12;41|,47;12;41|47;12;41|,100|100|,100|100|
11,100|100|,47;12;41|47;12;41|,47;12;41|47;12;41|,46;7;47|46;7;47|,46;7;47|46;7;47|,100|100|,0;0;0|0;0;0|,100|100|,46;7;47|46;7;47|,46;7;47|46;7;47|,100|100|,100|100|
12,100|100|,46;7;47|46;7;47|,46;7;47|46;7;47|,45;8;47|45;8;47|,45;8;47|45;8;47|,100|100|,0;0;0|0;0;0|,100|100|,45;8;47|45;8;47|,45;8;47|45;8;47|,100|100|,100|100|
13,100|100|,45;8;47|45;8;47|,45;8;47|45;8;47|,43;8;49|43;8;49|,43;8;49|43;8;49|,100|100|,0;0;0|0;0;0|,100|100|,43;8;49|43;8;49|,43;8;49|43;8;49|,100|100|,100|100|
14,100|100|,43;8;49|43;8;49|,43;8;49|43;8;49|,40;10;50|40;10;50|,40;10;50|40;10;50|,100|100|,0;0;0|0;0;0|,100|100|,40;10;50|40;10;50|,40;10;50|40;10;50|,100|100|,100|100|
15,100|100|,40;10;50|40;10;50|,40;10;50|40;10;50|,39;10;51|39;10;51|,39;10;51|39;10;51|,100|100|,0;0;0|0;0;0|,100|100|,39;10;51|39;10;51|,39;10;51|39;10;51|,100|100|,100|100|
16,100|100|,39;10;51|39;10;51|,39;10;51|39;10;51|,37;12;51|37;12;51|,37;12;51|37;12;51|,100|100|,0;0;0|0;0;0|,100|100|,37;12;51|37;12;51|,37;12;51|37;12;51|,100|100|,100|100|
17,100|100|,37;12;51|37;12;51|,37;12;51|37;12;51|,35;8;57|35;8;57|,35;8;57|35;8;57|,100|100|,0;0;0|0;0;0|,100|100|,35;8;57|35;8;57|,35;8;57|35;8;57|,100|100|,100|100|
18,100|100|,35;8;57|35;8;57|,35;8;57|35;8;57|,34;7;59|34;7;59|,34;7;59|34;7;59|,100|100|,0;0;0|0;0;0|,100|100|,34;7;59|34;7;59|,34;7;59|34;7;59|,100|100|,100|100|
19,100|100|,34;7;59|34;7;59|,34;7;59|34;7;59|,34;4;62|34;4;62|,34;4;62|34;4;62|,100|100|,0;0;0|0;0;0|,100|100|,34;4;62|34;4;62|,34;4;62|34;4;62|,100|100|,100|100|
20,100|100|,34;4;62|34;4;62|,34;4;62|34;4;62|,33;3;64|33;3;64|,33;3;64|33;3;64|,100|100|,0;0;0|0;0;0|,100|100|,33;3;64|33;3;64|,33;3;64|33;3;64|,100|100|,100|100|
21,100|100|,33;3;64|33;3;64|,33;3;64|33;3;64|,33;2;65|33;2;65|,33;2;65|33;2;65|,100|100|,0;0;0|0;0;0|,100|100|,33;2;65|33;2;65|,33;2;65|33;2;65|,100|100|,100|100|
22,100|100|,33;2;65|33;2;65|,33;2;65|33;2;65|,33;2;65|33;2;65|,33;2;65|33;2;65|,100|100|,0;0;0|0;0;0|,100|100|,33;2;65|33;2;65|,33;2;65|33;2;65|,100|100|,100|100|
23,100|100|,33;2;65|33;2;65|,33;2;65|33;2;65|,33;2;65|33;2;65|,33;2;65|33;2;65|,100|100|,0;0;0|0;0;0|,100|100|,33;2;65|33;2;65|,33;2;65|33;2;65|,100|100|,100|100|
24,100|100|,33;2;65|33;2;65|,33;2;65|33;2;65|,33;1;66|33;1;66|,33;1;66|33;1;66|,100|100|,0;0;0|0;0;0|,100|100|,33;1;66|33;1;66|,33;1;66|33;1;66|,100|100|,100|100|
25,100|100|,33;1;66|33;1;66|,33;1;66|33;1;66|,33;1;66|33;1;66|,33;1;66|33;1;66|,100|100|,0;0;0|0;0;0|,100|100|,33;1;66|33;1;66|,33;1;66|33;1;66|,100|100|,100|100|
26,100|100|,33;1;66|33;1;66|,33;1;66|33;1;66|,33;1;66|33;1;66|,33;1;66|33;1;66|,100|100|,0;0;0|0;0;0|,100|100|,33;1;66|33;1;66|,33;1;66|33;1;66|,100|100|,100|100|
