Year,N_Initial,States_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;0;8;0|92;0;8;0|,92;0;8;0|92;0;8;0|,90;2;4;4|90;2;4;4|,90;2;4;4|90;2;4;4|,100|100|,0;0;0;0|0;0;0;0|,100|100|,90;2;4;4|90;2;4;4|,90;2;4;4|90;2;4;4|,100|100|,100|100|
1,100|100|,90;2;4;4|90;2;4;4|,90;2;4;4|90;2;4;4|,90;2;3;5|90;2;3;5|,90;2;3;5|90;2;3;5|,100|100|,0;0;0;0|0;0;0;0|,100|100|,90;2;3;5|90;2;3;5|,90;2;3;5|90;2;3;5|,100|100|,100|100|
2,100|100|,90;2;3;5|90;2;3;5|,90;2;3;5|90;2;3;5|,89;2;3;6|89;2;3;6|,89;2;3;6|89;2;3;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,89;2;3;6|89;2;3;6|,89;2;3;6|89;2;3;6|,100|100|,100|100|
3,100|100|,89;2;3;6|89;2;3;6|,89;2;3;6|89;2;3;6|,89;1;4;6|89;1;4;6|,89;1;4;6|89;1;4;6|,100|100|,0;0;0;0|0;0;0;0|,100|100|,89;1;4;6|89;1;4;6|,89;1;4;6|89;1;4;6|,100|100|,100|100|
4,100|100|,89;1;4;6|89;1;4;6|,89;1;4;6|89;1;4;6|,88;1;4;7|88;1;4;7|,88;1;4;7|88;1;4;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,88;1;4;7|88;1;4;7|,88;1;4;7|88;1;4;7|,100|100|,100|100|
5,100|100|,88;1;4;7|88;1;4;7|,88;1;4;7|88;1;4;7|,88;0;5;7|88;0;5;7|,88;0;5;7|88;0;5;7|,100|100|,0;0;0;0|0;0;0;0|,100|100|,88;0;5;7|88;0;5;7|,88;0;5;7|88;0;5;7|,100|100|,100|100|
6,100|100|,88;0;5;7|88;0;5;7|,88;0;5;7|88;0;5;7|,85;3;4;8|85;3;4;8|,85;3;4;8|85;3;4;8|,100|100|,0;0;0;0|0;0;0;0|,100|100|,85;3;4;8|85;3;4;8|,85;3;4;8|85;3;4;8|,100|100|,100|100|
7,100|100|,85;3;4;8|85;3;4;8|,85;3;4;8|85;3;4;8|,82;5;4;9|82;5;4;9|,82;5;4;9|82;5;4;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,82;5;4;9|82;5;4;9|,82;5;4;9|82;5;4;9|,100|100|,100|100|
8,100|100|,82;5;4;9|82;5;4;9|,82;5;4;9|82;5;4;9|,82;1;8;9|82;1;8;9|,82;1;8;9|82;1;8;9|,100|100|,0;0;0;0|0;0;0;0|,100|100|,82;1;8;9|82;1;8;9|,82;1;8;9|82;1;8;9|,100|100|,100|100|
9,100|100|,82;1;8;9|82;1;8;9|,82;1;8;9|82;1;8;9|,79;3;8;10|79;3;8;10|,79;3;8;10|79;3;8;10|,100|100|,0;0;0;0|0;0;0;0|,100|100|,79;3;8;10|79;3;8;10|,79;3;8;10|79;3;8;10|,100|100|,100|100|
