Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,93;7;0|93;7;0|,0.0|0.0|,93;7;0|93;7;0|,89;10;1|89;10;1|,89;10;1|89;10;1|,100|100|,0;0;0|0;0;0|,100|100|,89;10;1|89;10;1|,89;10;1|89;10;1|,100|100|,100|100|
1,100|100|,89;10;1|89;10;1|,0.0|0.0|,89;10;1|89;10;1|,84;14;2|84;14;2|,84;14;2|84;14;2|,100|100|,0;0;0|0;0;0|,100|100|,84;14;2|84;14;2|,84;14;2|84;14;2|,100|100|,100|100|
2,100|100|,84;14;2|84;14;2|,0.0|0.0|,84;14;2|84;14;2|,81;15;4|81;15;4|,81;15;4|81;15;4|,100|100|,0;0;0|0;0;0|,100|100|,81;15;4|81;15;4|,81;15;4|81;15;4|,100|100|,100|100|
3,100|100|,81;15;4|81;15;4|,0.0|0.0|,81;15;4|81;15;4|,75;20;5|75;20;5|,75;20;5|75;20;5|,100|100|,0;0;0|0;0;0|,100|100|,75;20;5|75;20;5|,75;20;5|75;20;5|,100|100|,100|100|
4,100|100|,75;20;5|75;20;5|,0.0|0.0|,75;20;5|75;20;5|,73;21;6|73;21;6|,73;21;6|73;21;6|,100|100|,0;0;0|0;0;0|,100|100|,73;21;6|73;21;6|,73;21;6|73;21;6|,100|100|,100|100|
5,100|100|,73;21;6|73;21;6|,0.0|0.0|,73;21;6|73;21;6|,63;30;7|63;30;7|,63;30;7|63;30;7|,100|100|,0;0;0|0;0;0|,100|100|,63;30;7|63;30;7|,63;30;7|63;30;7|,100|100|,100|100|
6,100|100|,63;30;7|63;30;7|,0.0|0.0|,63;30;7|63;30;7|,51;33;16|51;33;16|,51;33;16|51;33;16|,100|100|,0;0;0|0;0;0|,100|100|,51;33;16|51;33;16|,51;33;16|51;33;16|,100|100|,100|100|
7,100|100|,51;33;16|51;33;16|,0.0|0.0|,51;33;16|51;33;16|,42;34;24|42;34;24|,42;34;24|42;34;24|,100|100|,0;0;0|0;0;0|,100|100|,42;34;24|42;34;24|,42;34;24|42;34;24|,100|100|,100|100|
8,100|100|,42;34;24|42;34;24|,0.0|0.0|,42;34;24|42;34;24|,33;35;32|33;35;32|,33;35;32|33;35;32|,100|100|,0;0;0|0;0;0|,100|100|,33;35;32|33;35;32|,33;35;32|33;35;32|,100|100|,100|100|
9,100|100|,33;35;32|33;35;32|,0.0|0.0|,33;35;32|33;35;32|,26;36;38|26;36;38|,26;36;38|26;36;38|,100|100|,0;0;0|0;0;0|,100|100|,26;36;38|26;36;38|,26;36;38|26;36;38|,100|100|,100|100|
10,100|100|,26;36;38|26;36;38|,0.0|0.0|,26;36;38|26;36;38|,20;33;47|20;33;47|,20;33;47|20;33;47|,100|100|,0;0;0|0;0;0|,100|100|,20;33;47|20;33;47|,20;33;47|20;33;47|,100|100|,100|100|
11,100|100|,20;33;47|20;33;47|,0.0|0.0|,20;33;47|20;33;47|,15;31;54|15;31;54|,15;31;54|15;31;54|,100|100|,0;0;0|0;0;0|,100|100|,15;31;54|15;31;54|,15;31;54|15;31;54|,100|100|,100|100|
12,100|100|,15;31;54|15;31;54|,0.0|0.0|,15;31;54|15;31;54|,11;29;60|11;29;60|,11;29;60|11;29;60|,100|100|,0;0;0|0;0;0|,100|100|,11;29;60|11;29;60|,11;29;60|11;29;60|,100|100|,100|100|
13,100|100|,11;29;60|11;29;60|,0.0|0.0|,11;29;60|11;29;60|,10;24;66|10;24;66|,10;24;66|10;24;66|,100|100|,0;0;0|0;0;0|,100|100|,10;24;66|10;24;66|,10;24;66|10;24;66|,100|100|,100|100|
14,100|100|,10;24;66|10;24;66|,0.0|0.0|,10;24;66|10;24;66|,10;14;76|10;14;76|,10;14;76|10;14;76|,100|100|,0;0;0|0;0;0|,100|100|,10;14;76|10;14;76|,10;14;76|10;14;76|,100|100|,100|100|
15,100|100|,10;14;76|10;14;76|,0.0|0.0|,10;14;76|10;14;76|,9;11;80|9;11;80|,9;11;80|9;11;80|,100|100|,0;0;0|0;0;0|,100|100|,9;11;80|9;11;80|,9;11;80|9;11;80|,100|100|,100|100|
16,100|100|,9;11;80|9;11;80|,0.0|0.0|,9;11;80|9;11;80|,9;7;84|9;7;84|,9;7;84|9;7;84|,100|100|,0;0;0|0;0;0|,100|100|,9;7;84|9;7;84|,9;7;84|9;7;84|,100|100|,100|100|
17,100|100|,9;7;84|9;7;84|,0.0|0.0|,9;7;84|9;7;84|,9;7;84|9;7;84|,9;7;84|9;7;84|,100|100|,0;0;0|0;0;0|,100|100|,9;7;84|9;7;84|,9;7;84|9;7;84|,100|100|,100|100|
18,100|100|,9;7;84|9;7;84|,0.0|0.0|,9;7;84|9;7;84|,8;7;85|8;7;85|,8;7;85|8;7;85|,100|100|,0;0;0|0;0;0|,100|100|,8;7;85|8;7;85|,8;7;85|8;7;85|,100|100|,100|100|
19,100|100|,8;7;85|8;7;85|,0.0|0.0|,8;7;85|8;7;85|,5;9;86|5;9;86|,5;9;86|5;9;86|,100|100|,0;0;0|0;0;0|,100|100|,5;9;86|5;9;86|,5;9;86|5;9;86|,100|100|,100|100|
20,100|100|,5;9;86|5;9;86|,0.0|0.0|,5;9;86|5;9;86|,5;8;87|5;8;87|,5;8;87|5;8;87|,100|100|,0;0;0|0;0;0|,100|100|,5;8;87|5;8;87|,5;8;87|5;8;87|,100|100|,100|100|
21,100|100|,5;8;87|5;8;87|,0.0|0.0|,5;8;87|5;8;87|,5;6;89|5;6;89|,5;6;89|5;6;89|,100|100|,0;0;0|0;0;0|,100|100|,5;6;89|5;6;89|,5;6;89|5;6;89|,100|100|,100|100|
22,100|100|,5;6;89|5;6;89|,0.0|0.0|,5;6;89|5;6;89|,5;4;91|5;4;91|,5;4;91|5;4;91|,100|100|,0;0;0|0;0;0|,100|100|,5;4;91|5;4;91|,5;4;91|5;4;91|,100|100|,100|100|
23,100|100|,5;4;91|5;4;91|,0.0|0.0|,5;4;91|5;4;91|,4;2;94|4;2;94|,4;2;94|4;2;94|,100|100|,0;0;0|0;0;0|,100|100|,4;2;94|4;2;94|,4;2;94|4;2;94|,100|100|,100|100|
24,100|100|,4;2;94|4;2;94|,0.0|0.0|,4;2;94|4;2;94|,4;2;94|4;2;94|,4;2;94|4;2;94|,100|100|,0;0;0|0;0;0|,100|100|,4;2;94|4;2;94|,4;2;94|4;2;94|,100|100|,100|100|
25,100|100|,4;2;94|4;2;94|,0.0|0.0|,4;2;94|4;2;94|,4;2;94|4;2;94|,4;2;94|4;2;94|,100|100|,0;0;0|0;0;0|,100|100|,4;2;94|4;2;94|,4;2;94|4;2;94|,100|100|,100|100|
26,100|100|,4;2;94|4;2;94|,0.0|0.0|,4;2;94|4;2;94|,4;2;94|4;2;94|,4;2;94|4;2;94|,100|100|,0;0;0|0;0;0|,100|100|,4;2;94|4;2;94|,4;2;94|4;2;94|,100|100|,100|100|
27,100|100|,4;2;94|4;2;94|,0.0|0.0|,4;2;94|4;2;94|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
28,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
29,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
30,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
31,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
32,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
33,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
34,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
35,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
36,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
37,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
38,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
39,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
40,100|100|,4;0;96|4;0;96|,0.0|0.0|,4;0;96|4;0;96|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,0;0;0|0;0;0|,100|100|,4;0;96|4;0;96|,4;0;96|4;0;96|,100|100|,100|100|
