Year,N_Initial,States_GetMetrics,EnvResivoir_GetMetrics,States_AfterAnyAddedInds,States_SecondUpdate,States_SecondUpdate_AfterDeathsRemoved,N_AfterEmigration,States_AddedAge0s,N_AfterEmiMort,States_ThirdUpdate,States_ThirdUpdate_AfterDeathsRemoved,N_AfterImmigration,N_AfterImmiMort
0,100|100|,92;8;0|92;8;0|,10.0|10.0|,92;8;0|92;8;0|,86;13;1|86;13;1|,86;13;1|86;13;1|,100|100|,0;0;0|0;0;0|,100|100|,86;13;1|86;13;1|,86;13;1|86;13;1|,100|100|,100|100|
1,100|100|,86;13;1|86;13;1|,9.3|9.3|,86;13;1|86;13;1|,83;16;1|83;16;1|,83;16;1|83;16;1|,100|100|,0;0;0|0;0;0|,100|100|,83;16;1|83;16;1|,83;16;1|83;16;1|,100|100|,100|100|
2,100|100|,83;16;1|83;16;1|,9.2|9.2|,83;16;1|83;16;1|,76;22;2|76;22;2|,76;22;2|76;22;2|,100|100|,0;0;0|0;0;0|,100|100|,76;22;2|76;22;2|,76;22;2|76;22;2|,100|100|,100|100|
3,100|100|,76;22;2|76;22;2|,9.42|9.42|,76;22;2|76;22;2|,66;30;4|66;30;4|,66;30;4|66;30;4|,100|100|,0;0;0|0;0;0|,100|100|,66;30;4|66;30;4|,66;30;4|66;30;4|,100|100|,100|100|
4,100|100|,66;30;4|66;30;4|,10.21|10.21|,66;30;4|66;30;4|,53;40;7|53;40;7|,53;40;7|53;40;7|,100|100|,0;0;0|0;0;0|,100|100|,53;40;7|53;40;7|,53;40;7|53;40;7|,100|100|,100|100|
5,100|100|,53;40;7|53;40;7|,11.68|11.68|,53;40;7|53;40;7|,42;51;7|42;51;7|,42;51;7|42;51;7|,100|100|,0;0;0|0;0;0|,100|100|,42;51;7|42;51;7|,42;51;7|42;51;7|,100|100|,100|100|
6,100|100|,42;51;7|42;51;7|,13.93|13.93|,42;51;7|42;51;7|,39;51;10|39;51;10|,39;51;10|39;51;10|,100|100|,0;0;0|0;0;0|,100|100|,39;51;10|39;51;10|,39;51;10|39;51;10|,100|100|,100|100|
7,100|100|,39;51;10|39;51;10|,16.94|16.94|,39;51;10|39;51;10|,30;60;10|30;60;10|,30;60;10|30;60;10|,100|100|,0;0;0|0;0;0|,100|100|,30;60;10|30;60;10|,30;60;10|30;60;10|,100|100|,100|100|
8,100|100|,30;60;10|30;60;10|,19.5|19.5|,30;60;10|30;60;10|,23;65;12|23;65;12|,23;65;12|23;65;12|,100|100|,0;0;0|0;0;0|,100|100|,23;65;12|23;65;12|,23;65;12|23;65;12|,100|100|,100|100|
9,100|100|,23;65;12|23;65;12|,22.57|22.57|,23;65;12|23;65;12|,19;63;18|19;63;18|,19;63;18|19;63;18|,100|100|,0;0;0|0;0;0|,100|100|,19;63;18|19;63;18|,19;63;18|19;63;18|,100|100|,100|100|
10,100|100|,19;63;18|19;63;18|,25.69|25.69|,19;63;18|19;63;18|,12;68;20|12;68;20|,12;68;20|12;68;20|,100|100|,0;0;0|0;0;0|,100|100|,12;68;20|12;68;20|,12;68;20|12;68;20|,100|100|,100|100|
11,100|100|,12;68;20|12;68;20|,28.13|28.13|,12;68;20|12;68;20|,12;67;21|12;67;21|,12;67;21|12;67;21|,100|100|,0;0;0|0;0;0|,100|100|,12;67;21|12;67;21|,12;67;21|12;67;21|,100|100|,100|100|
